design,n_ranks,total_cells,total_output_nets,avg_block_mean_fanout,pooled_mean_fanout,median_block_mean_fanout,p90_block_mean_fanout,max_block_max_fanout,max_block_sum_fanout,p90_top1000_path_net_fanout,top_path_net_obs_count
aes,25,15957,31834,0.997880,0.995278,0.977000,1.623400,5,4317,10.0,22152
bitonic_sorter,8,48128,92160,1.400000,1.400000,1.400000,1.400000,3,21504,10.0,7968
double_fpu,25,2176,4352,0.998120,0.998109,0.723000,2.281600,5,548,10.0,12266
e203,25,103,155,1.421640,1.232245,1.000000,2.700000,4,64,10.0,13800
jpeg_encoder,25,5960,11876,1.825720,1.439819,1.423000,4.750000,82,4398,10.0,15195
reed_solomon,25,6292,12544,1.081640,1.001821,1.000000,1.795200,8,6336,10.0,8840
sha512,25,6860,13434,1.098800,1.420938,1.406000,1.749200,5,5759,10.0,15734
systolic_tpu,25,170514,212912,0.927880,1.842785,1.250000,1.921400,18,92239,5.0,22030
uberddr3,25,540,556,1.532280,1.283932,1.500000,2.333000,4,110,10.0,15315
verilog_axi,25,3840,3408,1.690920,1.674122,1.756000,1.800000,4,384,9.0,13099
viterbi,25,9463,18670,1.404520,1.463542,1.500000,2.133200,64,4216,6.0,43781
wb_dma,25,2665,3624,0.902040,1.334663,1.000000,1.791200,5,2688,1785.0,1000
