# slack_ns	startpoint	endpoint	cells
0.542690	reset_n	core.aes_core_ctrl_reg[0]$_DFF_PN1_/SN	core.aes_core_ctrl_reg[0]$_DFF_PN1_
0.542690	reset_n	core.dec_block.dec_ctrl_reg[0]$_DFF_PN1_/SN	core.dec_block.dec_ctrl_reg[0]$_DFF_PN1_
0.542690	reset_n	core.dec_block.ready_reg$_DFFE_PN1P_/SN	core.dec_block.ready_reg$_DFFE_PN1P_
0.542690	reset_n	core.enc_block.enc_ctrl_reg[0]$_DFF_PN1_/SN	core.enc_block.enc_ctrl_reg[0]$_DFF_PN1_
0.542690	reset_n	core.enc_block.ready_reg$_DFFE_PN1P_/SN	core.enc_block.ready_reg$_DFFE_PN1P_
0.542690	reset_n	core.keymem.key_mem_ctrl_reg[0]$_DFF_PN1_/SN	core.keymem.key_mem_ctrl_reg[0]$_DFF_PN1_
0.542690	reset_n	core.keymem.ready_reg$_DFFE_PN1P_/SN	core.keymem.ready_reg$_DFFE_PN1P_
0.542690	reset_n	core.ready_reg$_DFFE_PN1P_/SN	core.ready_reg$_DFFE_PN1P_
0.554328	reset_n	block_reg[0][0]$_DFFE_PN0P_/RN	block_reg[0][0]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][10]$_DFFE_PN0P_/RN	block_reg[0][10]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][11]$_DFFE_PN0P_/RN	block_reg[0][11]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][12]$_DFFE_PN0P_/RN	block_reg[0][12]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][13]$_DFFE_PN0P_/RN	block_reg[0][13]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][14]$_DFFE_PN0P_/RN	block_reg[0][14]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][15]$_DFFE_PN0P_/RN	block_reg[0][15]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][16]$_DFFE_PN0P_/RN	block_reg[0][16]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][17]$_DFFE_PN0P_/RN	block_reg[0][17]$_DFFE_PN0P_
0.554328	reset_n	block_reg[0][18]$_DFFE_PN0P_/RN	block_reg[0][18]$_DFFE_PN0P_
