# slack_ns	startpoint	endpoint	cells
0.438155	reset_n	core.keymem.key_mem[13][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[13][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.438239	reset_n	core.keymem.key_mem[12][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[12][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.438244	reset_n	core.keymem.key_mem[14][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[14][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.438298	reset_n	core.keymem.key_mem[10][58]$_DFFE_PN0P_/RN	core.keymem.key_mem[10][58]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.438934	reset_n	core.keymem.key_mem[10][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[10][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439016	reset_n	core.keymem.key_mem[2][58]$_DFFE_PN0P_/RN	core.keymem.key_mem[2][58]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439406	reset_n	core.keymem.key_mem[7][58]$_DFFE_PN0P_/RN	core.keymem.key_mem[7][58]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439557	reset_n	core.keymem.key_mem[2][53]$_DFFE_PN0P_/RN	core.keymem.key_mem[2][53]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439564	reset_n	core.keymem.key_mem[2][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[2][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439650	reset_n	core.keymem.key_mem[3][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[3][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.439836	reset_n	core.keymem.key_mem[0][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.440181	reset_n	core.keymem.key_mem[9][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[9][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.440299	reset_n	core.keymem.key_mem[5][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[5][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.440626	reset_n	core.keymem.key_mem[11][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[11][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.444469	reset_n	core.keymem.key_mem[6][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[6][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.444665	reset_n	core.keymem.key_mem[5][53]$_DFFE_PN0P_/RN	core.keymem.key_mem[5][53]$_DFFE_PN0P_|hold12732|input10|place12270|place12271
0.445859	reset_n	core.keymem.key_mem[13][15]$_DFFE_PN0P_/RN	core.keymem.key_mem[13][15]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.445913	reset_n	core.keymem.key_mem[3][37]$_DFFE_PN0P_/RN	core.keymem.key_mem[3][37]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446087	reset_n	core.keymem.key_mem[7][15]$_DFFE_PN0P_/RN	core.keymem.key_mem[7][15]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446111	reset_n	core.keymem.key_mem[5][15]$_DFFE_PN0P_/RN	core.keymem.key_mem[5][15]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446608	reset_n	block_reg[2][8]$_DFFE_PN0P_/RN	block_reg[2][8]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.446643	reset_n	block_reg[0][8]$_DFFE_PN0P_/RN	block_reg[0][8]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.446670	reset_n	block_reg[1][8]$_DFFE_PN0P_/RN	block_reg[1][8]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.446681	reset_n	block_reg[3][8]$_DFFE_PN0P_/RN	block_reg[3][8]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.446757	reset_n	core.keymem.key_mem[1][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[1][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446828	reset_n	core.keymem.key_mem[7][37]$_DFFE_PN0P_/RN	core.keymem.key_mem[7][37]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446842	reset_n	core.keymem.key_mem[3][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[3][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.446892	reset_n	core.keymem.key_mem[14][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[14][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.447253	reset_n	core.keymem.key_mem[2][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[2][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.447373	reset_n	core.keymem.key_mem[8][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[8][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.447592	reset_n	core.enc_block.block_w0_reg[8]$_DFFE_PN0P_/RN	core.enc_block.block_w0_reg[8]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.447677	reset_n	core.enc_block.block_w0_reg[26]$_DFFE_PN0P_/RN	core.enc_block.block_w0_reg[26]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.448018	reset_n	core.enc_block.block_w1_reg[26]$_DFFE_PN0P_/RN	core.enc_block.block_w1_reg[26]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.448572	reset_n	core.keymem.key_mem[0][102]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][102]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.448641	reset_n	core.keymem.key_mem[7][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[7][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.449142	reset_n	core.keymem.key_mem[0][11]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][11]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.449545	reset_n	core.enc_block.block_w3_reg[26]$_DFFE_PN0P_/RN	core.enc_block.block_w3_reg[26]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.449812	reset_n	core.keymem.key_mem[0][15]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][15]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.449939	reset_n	core.keymem.key_mem[0][110]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][110]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.449943	reset_n	key_reg[0][10]$_DFFE_PN0P_/RN	hold12732|input10|key_reg[0][10]$_DFFE_PN0P_|place12296|place12298
0.449980	reset_n	core.keymem.key_mem[0][123]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][123]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.450754	reset_n	core.keymem.key_mem[0][69]$_DFFE_PN0P_/RN	core.keymem.key_mem[0][69]$_DFFE_PN0P_|hold12732|input10|place12296|place12298
0.450805	reset_n	core.enc_block.block_w3_reg[3]$_DFFE_PN0P_/RN	core.enc_block.block_w3_reg[3]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.450884	reset_n	core.enc_block.block_w2_reg[26]$_DFFE_PN0P_/RN	core.enc_block.block_w2_reg[26]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.451737	reset_n	core.keymem.key_mem[6][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[6][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
0.451738	reset_n	block_reg[2][18]$_DFFE_PN0P_/RN	block_reg[2][18]$_DFFE_PN0P_|hold12732|input10|place12323|place12329
0.451823	reset_n	core.keymem.key_mem[7][29]$_DFFE_PN0P_/RN	core.keymem.key_mem[7][29]$_DFFE_PN0P_|hold12732|input10|place12264|place12265
