# slack_ns	startpoint	endpoint	cells
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[0]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[0]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35385_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[10]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[10]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35374_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[11]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[11]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35373_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[12]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[12]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35372_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[13]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[13]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35371_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[14]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[14]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35370_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[1]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[1]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35384_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[2]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[2]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35383_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[3]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[3]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35382_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[4]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[4]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35381_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[5]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[5]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35379_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[6]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[6]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35378_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[7]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[7]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35377_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[8]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[8]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35376_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[9]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H[9]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35369_|_35375_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[0]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[0]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35391_|_35401_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[10]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[10]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35390_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[11]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[11]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35389_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[12]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[12]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35388_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[13]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[13]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35387_|_39823_
-0.182861	data_in[345]	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[14]$_DFF_P_/D	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L[14]$_DFF_P_|_22217_|_35346_|_35347_|_35367_|_35368_|_35380_|_35386_|_39823_
