# slack_ns	startpoint	endpoint	cells
0.521590	rst	fdct_zigzag.dct_mod.ddcnt$_DFFE_PN1P_/SN	fdct_zigzag.dct_mod.ddcnt$_DFFE_PN1P_
0.521590	rst	fdct_zigzag.dct_mod.dddcnt$_DFFE_PN1P_/SN	fdct_zigzag.dct_mod.dddcnt$_DFFE_PN1P_
0.533228	rst	fdct_zigzag.dct_mod.ddgo$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddgo$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[1]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[1]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[2]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[2]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[3]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[3]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[5]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[5]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[6]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[6]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[7]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[7]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.dgo$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.dgo$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.douten$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.douten$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.go$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.go$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[0]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[0]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[1]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[1]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[2]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[2]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[3]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[3]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[4]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[4]$_DFFE_PN0P_
0.533228	rst	fdct_zigzag.dct_mod.sample_cnt[5]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[5]$_DFFE_PN0P_
0.533228	rst	qnr.dep[0]$_DFFE_PN0P_/RN	qnr.dep[0]$_DFFE_PN0P_
0.533228	rst	qnr.dep[10]$_DFFE_PN0P_/RN	qnr.dep[10]$_DFFE_PN0P_
0.533228	rst	qnr.dep[11]$_DFFE_PN0P_/RN	qnr.dep[11]$_DFFE_PN0P_
0.533228	rst	qnr.dep[12]$_DFFE_PN0P_/RN	qnr.dep[12]$_DFFE_PN0P_
0.533228	rst	qnr.dep[13]$_DFFE_PN0P_/RN	qnr.dep[13]$_DFFE_PN0P_
0.533228	rst	qnr.dep[14]$_DFFE_PN0P_/RN	qnr.dep[14]$_DFFE_PN0P_
0.533228	rst	qnr.dep[15]$_DFFE_PN0P_/RN	qnr.dep[15]$_DFFE_PN0P_
0.533228	rst	qnr.dep[1]$_DFFE_PN0P_/RN	qnr.dep[1]$_DFFE_PN0P_
0.533228	rst	qnr.dep[2]$_DFFE_PN0P_/RN	qnr.dep[2]$_DFFE_PN0P_
0.533228	rst	qnr.dep[3]$_DFFE_PN0P_/RN	qnr.dep[3]$_DFFE_PN0P_
