# slack_ns	startpoint	endpoint	cells
0.512496	rst	qnr.dep[12]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[12]$_DFFE_PN0P_
0.512520	rst	qnr.dep[11]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[11]$_DFFE_PN0P_
0.512529	rst	qnr.dep[10]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[10]$_DFFE_PN0P_
0.512636	rst	qnr.dep[14]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[14]$_DFFE_PN0P_
0.513114	rst	rle.rle.state$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.state$_DFFE_PN0P_
0.513148	rst	rle.rle.rlen[1]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.rlen[1]$_DFFE_PN0P_
0.513161	rst	rle.rle.rlen[3]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.rlen[3]$_DFFE_PN0P_
0.513168	rst	rle.rle.rlen[2]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.rlen[2]$_DFFE_PN0P_
0.513224	rst	rle.rle.dcterm$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.dcterm$_DFFE_PN0P_
0.513241	rst	rle.rle.rlen[0]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.rlen[0]$_DFFE_PN0P_
0.513444	rst	qnr.dep[13]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[13]$_DFFE_PN0P_
0.513616	rst	qnr.dep[15]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|qnr.dep[15]$_DFFE_PN0P_
0.514603	rst	rle.rz1.den$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rz1.den$_DFFE_PN0P_
0.514624	rst	rle.rz1.state$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rz1.state$_DFFE_PN0P_
0.514940	rst	rle.rz1.deno$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rz1.deno$_DFFE_PN0P_
0.515521	rst	rle.rle.den$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11241|rle.rle.den$_DFFE_PN0P_
0.522447	rst	rle.rz2.den$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|hold11897|input20|rle.rz2.den$_DFFE_PN0P_
0.522634	rst	rle.rz2.state$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|hold11897|input20|rle.rz2.state$_DFFE_PN0P_
