# slack_ns	startpoint	endpoint	cells
0.485690	RESET	RsDecodeDelay.writePointer[0]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[0]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[1]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[1]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[2]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[2]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[3]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[3]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[4]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[4]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[6]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[6]$_DFFE_PN1P_
0.485690	RESET	RsDecodeDelay.writePointer[8]$_DFFE_PN1P_/SN	RsDecodeDelay.writePointer[8]$_DFFE_PN1P_
0.497328	RESET	DataOutInner[0]$_DFF_PN0_/RN	DataOutInner[0]$_DFF_PN0_
0.497328	RESET	DataOutInner[1]$_DFF_PN0_/RN	DataOutInner[1]$_DFF_PN0_
0.497328	RESET	DataOutInner[2]$_DFF_PN0_/RN	DataOutInner[2]$_DFF_PN0_
0.497328	RESET	DataOutInner[3]$_DFF_PN0_/RN	DataOutInner[3]$_DFF_PN0_
0.497328	RESET	DataOutInner[4]$_DFF_PN0_/RN	DataOutInner[4]$_DFF_PN0_
0.497328	RESET	DataOutInner[5]$_DFF_PN0_/RN	DataOutInner[5]$_DFF_PN0_
0.497328	RESET	DataOutInner[6]$_DFF_PN0_/RN	DataOutInner[6]$_DFF_PN0_
0.497328	RESET	DataOutInner[7]$_DFF_PN0_/RN	DataOutInner[7]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[0]$_DFF_PN0_/RN	DelayedDataOutInner[0]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[1]$_DFF_PN0_/RN	DelayedDataOutInner[1]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[2]$_DFF_PN0_/RN	DelayedDataOutInner[2]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[3]$_DFF_PN0_/RN	DelayedDataOutInner[3]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[4]$_DFF_PN0_/RN	DelayedDataOutInner[4]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[5]$_DFF_PN0_/RN	DelayedDataOutInner[5]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[6]$_DFF_PN0_/RN	DelayedDataOutInner[6]$_DFF_PN0_
0.497328	RESET	DelayedDataOutInner[7]$_DFF_PN0_/RN	DelayedDataOutInner[7]$_DFF_PN0_
0.497328	RESET	OutputValidReg$_DFFE_PN0P_/RN	OutputValidReg$_DFFE_PN0P_
0.497328	RESET	OutputValidRegInner$_DFF_PN0_/RN	OutputValidRegInner$_DFF_PN0_
0.497328	RESET	RsDecodeChien.count[0]$_DFFE_PN0P_/RN	RsDecodeChien.count[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[1]$_DFFE_PN0P_/RN	RsDecodeChien.count[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[2]$_DFFE_PN0P_/RN	RsDecodeChien.count[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[3]$_DFFE_PN0P_/RN	RsDecodeChien.count[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[4]$_DFFE_PN0P_/RN	RsDecodeChien.count[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[5]$_DFFE_PN0P_/RN	RsDecodeChien.count[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[6]$_DFFE_PN0P_/RN	RsDecodeChien.count[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.count[7]$_DFFE_PN0P_/RN	RsDecodeChien.count[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[0]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[1]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[2]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[3]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[4]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[5]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[6]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0InvReg[7]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0InvReg[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[0]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[1]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[2]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[3]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[4]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[5]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[6]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE0Reg[7]$_DFFE_PN0P_/RN	RsDecodeChien.denomE0Reg[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[0]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[1]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[2]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[3]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[4]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[5]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[6]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1InvReg[7]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1InvReg[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[0]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[1]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[2]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[3]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[4]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[5]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[6]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.denomE1Reg[7]$_DFFE_PN0P_/RN	RsDecodeChien.denomE1Reg[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[0]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[1]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[2]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[3]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[4]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[5]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[6]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonOddReg[7]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonOddReg[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[0]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[0]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[1]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[1]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[2]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[2]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[3]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[3]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[4]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[4]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[5]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[5]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[6]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[6]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_0[7]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_0[7]$_DFFE_PN0P_
0.497328	RESET	RsDecodeChien.epsilonReg_10[0]$_DFFE_PN0P_/RN	RsDecodeChien.epsilonReg_10[0]$_DFFE_PN0P_
