# slack_ns	startpoint	endpoint	cells
0.268647	RESET	lambdaReg_20[7]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_20[7]$_DFFE_PN0P_|place6876|place6877|place6887
0.268674	RESET	lambdaReg_20[5]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_20[5]$_DFFE_PN0P_|place6876|place6877|place6887
0.269048	RESET	lambdaReg_20[6]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_20[6]$_DFFE_PN0P_|place6876|place6877|place6887
0.269058	RESET	lambdaReg2_20[5]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_20[5]$_DFFE_PN0P_|place6876|place6877|place6887
0.269069	RESET	lambdaReg2_20[6]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_20[6]$_DFFE_PN0P_|place6876|place6877|place6887
0.269252	RESET	lambdaReg_20[4]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_20[4]$_DFFE_PN0P_|place6876|place6877|place6887
0.269305	RESET	lambdaReg_21[2]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_21[2]$_DFFE_PN0P_|place6876|place6877|place6887
0.269364	RESET	lambdaReg_21[5]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_21[5]$_DFFE_PN0P_|place6876|place6877|place6887
0.269524	RESET	lambdaReg_21[0]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_21[0]$_DFFE_PN0P_|place6876|place6877|place6887
0.269641	RESET	lambdaReg2_21[0]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_21[0]$_DFFE_PN0P_|place6876|place6877|place6887
0.269695	RESET	lambdaReg2_21[2]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_21[2]$_DFFE_PN0P_|place6876|place6877|place6887
0.269750	RESET	lambdaReg2_21[1]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_21[1]$_DFFE_PN0P_|place6876|place6877|place6887
0.269922	RESET	lambdaReg2_20[4]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_20[4]$_DFFE_PN0P_|place6876|place6877|place6887
0.269938	RESET	lambdaReg2_20[7]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_20[7]$_DFFE_PN0P_|place6876|place6877|place6887
0.269967	RESET	lambdaReg_21[1]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_21[1]$_DFFE_PN0P_|place6876|place6877|place6887
0.270616	RESET	lambdaReg2_21[5]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_21[5]$_DFFE_PN0P_|place6876|place6877|place6887
0.271484	RESET	lambdaReg2_21[3]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg2_21[3]$_DFFE_PN0P_|place6876|place6877|place6887
0.271679	RESET	lambdaReg_21[6]$_DFFE_PN0P_/RN	hold7267|hold7268|hold7269|hold7270|hold7271|hold7272|input7|lambdaReg_21[6]$_DFFE_PN0P_|place6876|place6877|place6887
