# slack_ns	startpoint	endpoint	cells
1.030390	reset_n	core.ready_reg$_DFFE_PN1P_/SN	core.ready_reg$_DFFE_PN1P_
1.030390	reset_n	core.sha512_ctrl_reg[0]$_DFF_PN1_/SN	core.sha512_ctrl_reg[0]$_DFF_PN1_
1.030390	reset_n	mode_reg[0]$_DFFE_PN1P_/SN	mode_reg[0]$_DFFE_PN1P_
1.030390	reset_n	mode_reg[1]$_DFFE_PN1P_/SN	mode_reg[1]$_DFFE_PN1P_
1.030390	reset_n	work_factor_num_reg[16]$_DFFE_PN1P_/SN	work_factor_num_reg[16]$_DFFE_PN1P_
1.030390	reset_n	work_factor_num_reg[17]$_DFFE_PN1P_/SN	work_factor_num_reg[17]$_DFFE_PN1P_
1.030390	reset_n	work_factor_num_reg[18]$_DFFE_PN1P_/SN	work_factor_num_reg[18]$_DFFE_PN1P_
1.030390	reset_n	work_factor_num_reg[19]$_DFFE_PN1P_/SN	work_factor_num_reg[19]$_DFFE_PN1P_
1.042028	reset_n	block_reg[0][0]$_DFFE_PN0P_/RN	block_reg[0][0]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][10]$_DFFE_PN0P_/RN	block_reg[0][10]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][11]$_DFFE_PN0P_/RN	block_reg[0][11]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][12]$_DFFE_PN0P_/RN	block_reg[0][12]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][13]$_DFFE_PN0P_/RN	block_reg[0][13]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][14]$_DFFE_PN0P_/RN	block_reg[0][14]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][15]$_DFFE_PN0P_/RN	block_reg[0][15]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][16]$_DFFE_PN0P_/RN	block_reg[0][16]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][17]$_DFFE_PN0P_/RN	block_reg[0][17]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][18]$_DFFE_PN0P_/RN	block_reg[0][18]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][19]$_DFFE_PN0P_/RN	block_reg[0][19]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][1]$_DFFE_PN0P_/RN	block_reg[0][1]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][20]$_DFFE_PN0P_/RN	block_reg[0][20]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][21]$_DFFE_PN0P_/RN	block_reg[0][21]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][22]$_DFFE_PN0P_/RN	block_reg[0][22]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][23]$_DFFE_PN0P_/RN	block_reg[0][23]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][24]$_DFFE_PN0P_/RN	block_reg[0][24]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][25]$_DFFE_PN0P_/RN	block_reg[0][25]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][26]$_DFFE_PN0P_/RN	block_reg[0][26]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][27]$_DFFE_PN0P_/RN	block_reg[0][27]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][28]$_DFFE_PN0P_/RN	block_reg[0][28]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][29]$_DFFE_PN0P_/RN	block_reg[0][29]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][2]$_DFFE_PN0P_/RN	block_reg[0][2]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][30]$_DFFE_PN0P_/RN	block_reg[0][30]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][31]$_DFFE_PN0P_/RN	block_reg[0][31]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][3]$_DFFE_PN0P_/RN	block_reg[0][3]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][4]$_DFFE_PN0P_/RN	block_reg[0][4]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][5]$_DFFE_PN0P_/RN	block_reg[0][5]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][6]$_DFFE_PN0P_/RN	block_reg[0][6]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][7]$_DFFE_PN0P_/RN	block_reg[0][7]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][8]$_DFFE_PN0P_/RN	block_reg[0][8]$_DFFE_PN0P_
1.042028	reset_n	block_reg[0][9]$_DFFE_PN0P_/RN	block_reg[0][9]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][0]$_DFFE_PN0P_/RN	block_reg[10][0]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][10]$_DFFE_PN0P_/RN	block_reg[10][10]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][11]$_DFFE_PN0P_/RN	block_reg[10][11]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][12]$_DFFE_PN0P_/RN	block_reg[10][12]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][13]$_DFFE_PN0P_/RN	block_reg[10][13]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][14]$_DFFE_PN0P_/RN	block_reg[10][14]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][15]$_DFFE_PN0P_/RN	block_reg[10][15]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][16]$_DFFE_PN0P_/RN	block_reg[10][16]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][17]$_DFFE_PN0P_/RN	block_reg[10][17]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][18]$_DFFE_PN0P_/RN	block_reg[10][18]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][19]$_DFFE_PN0P_/RN	block_reg[10][19]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][1]$_DFFE_PN0P_/RN	block_reg[10][1]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][20]$_DFFE_PN0P_/RN	block_reg[10][20]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][21]$_DFFE_PN0P_/RN	block_reg[10][21]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][22]$_DFFE_PN0P_/RN	block_reg[10][22]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][23]$_DFFE_PN0P_/RN	block_reg[10][23]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][24]$_DFFE_PN0P_/RN	block_reg[10][24]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][25]$_DFFE_PN0P_/RN	block_reg[10][25]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][26]$_DFFE_PN0P_/RN	block_reg[10][26]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][27]$_DFFE_PN0P_/RN	block_reg[10][27]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][28]$_DFFE_PN0P_/RN	block_reg[10][28]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][29]$_DFFE_PN0P_/RN	block_reg[10][29]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][2]$_DFFE_PN0P_/RN	block_reg[10][2]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][30]$_DFFE_PN0P_/RN	block_reg[10][30]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][31]$_DFFE_PN0P_/RN	block_reg[10][31]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][3]$_DFFE_PN0P_/RN	block_reg[10][3]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][4]$_DFFE_PN0P_/RN	block_reg[10][4]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][5]$_DFFE_PN0P_/RN	block_reg[10][5]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][6]$_DFFE_PN0P_/RN	block_reg[10][6]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][7]$_DFFE_PN0P_/RN	block_reg[10][7]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][8]$_DFFE_PN0P_/RN	block_reg[10][8]$_DFFE_PN0P_
1.042028	reset_n	block_reg[10][9]$_DFFE_PN0P_/RN	block_reg[10][9]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][0]$_DFFE_PN0P_/RN	block_reg[11][0]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][10]$_DFFE_PN0P_/RN	block_reg[11][10]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][11]$_DFFE_PN0P_/RN	block_reg[11][11]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][12]$_DFFE_PN0P_/RN	block_reg[11][12]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][13]$_DFFE_PN0P_/RN	block_reg[11][13]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][14]$_DFFE_PN0P_/RN	block_reg[11][14]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][15]$_DFFE_PN0P_/RN	block_reg[11][15]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][16]$_DFFE_PN0P_/RN	block_reg[11][16]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][17]$_DFFE_PN0P_/RN	block_reg[11][17]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][18]$_DFFE_PN0P_/RN	block_reg[11][18]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][19]$_DFFE_PN0P_/RN	block_reg[11][19]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][1]$_DFFE_PN0P_/RN	block_reg[11][1]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][20]$_DFFE_PN0P_/RN	block_reg[11][20]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][21]$_DFFE_PN0P_/RN	block_reg[11][21]$_DFFE_PN0P_
1.042028	reset_n	block_reg[11][22]$_DFFE_PN0P_/RN	block_reg[11][22]$_DFFE_PN0P_
