# slack_ns	startpoint	endpoint	cells
0.867981	reset_n	core.H7_reg[47]$_DFFE_PN0P_/RN	core.H7_reg[47]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872450	reset_n	core.g_reg[46]$_DFFE_PN0P_/RN	core.g_reg[46]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872631	reset_n	core.H5_reg[44]$_DFFE_PN0P_/RN	core.H5_reg[44]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872764	reset_n	core.h_reg[16]$_DFFE_PN0P_/RN	core.h_reg[16]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872798	reset_n	core.H6_reg[46]$_DFFE_PN0P_/RN	core.H6_reg[46]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872869	reset_n	core.H7_reg[16]$_DFFE_PN0P_/RN	core.H7_reg[16]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.872930	reset_n	core.h_reg[46]$_DFFE_PN0P_/RN	core.h_reg[46]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.873366	reset_n	core.H6_reg[45]$_DFFE_PN0P_/RN	core.H6_reg[45]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.873488	reset_n	core.h_reg[45]$_DFFE_PN0P_/RN	core.h_reg[45]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.873630	reset_n	digest_reg[16]$_DFFE_PN0P_/RN	digest_reg[16]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.874888	reset_n	core.e_reg[21]$_DFFE_PN0P_/RN	core.e_reg[21]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.874891	reset_n	core.e_reg[20]$_DFFE_PN0P_/RN	core.e_reg[20]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.877000	reset_n	core.H6_reg[18]$_DFFE_PN0P_/RN	core.H6_reg[18]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.877221	reset_n	core.H7_reg[17]$_DFFE_PN0P_/RN	core.H7_reg[17]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.877225	reset_n	core.H7_reg[18]$_DFFE_PN0P_/RN	core.H7_reg[18]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.877277	reset_n	core.h_reg[18]$_DFFE_PN0P_/RN	core.h_reg[18]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.879895	reset_n	core.e_reg[17]$_DFFE_PN0P_/RN	core.e_reg[17]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.880033	reset_n	digest_reg[145]$_DFFE_PN0P_/RN	digest_reg[145]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.880553	reset_n	digest_reg[80]$_DFFE_PN0P_/RN	digest_reg[80]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.880871	reset_n	block_reg[28][2]$_DFFE_PN0P_/RN	block_reg[28][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.881003	reset_n	block_reg[18][2]$_DFFE_PN0P_/RN	block_reg[18][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.882500	reset_n	core.w_mem_inst.w_mem[5][62]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[5][62]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.882968	reset_n	block_reg[26][2]$_DFFE_PN0P_/RN	block_reg[26][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883068	reset_n	core.w_mem_inst.w_mem[15][7]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[15][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883258	reset_n	block_reg[14][2]$_DFFE_PN0P_/RN	block_reg[14][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883331	reset_n	core.w_mem_inst.w_mem[9][34]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[9][34]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883400	reset_n	digest_reg[48]$_DFFE_PN0P_/RN	digest_reg[48]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.883427	reset_n	block_reg[21][7]$_DFFE_PN0P_/RN	block_reg[21][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883465	reset_n	core.w_mem_inst.w_mem[13][34]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[13][34]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883499	reset_n	core.w_mem_inst.w_mem[9][7]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[9][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883558	reset_n	core.H7_reg[48]$_DFFE_PN0P_/RN	core.H7_reg[48]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.883569	reset_n	core.w_mem_inst.w_mem[13][7]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[13][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.883805	reset_n	core.g_reg[18]$_DFFE_PN0P_/RN	core.g_reg[18]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.883868	reset_n	digest_reg[17]$_DFFE_PN0P_/RN	digest_reg[17]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.884293	reset_n	block_reg[30][2]$_DFFE_PN0P_/RN	block_reg[30][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.884502	reset_n	core.g_reg[45]$_DFFE_PN0P_/RN	core.g_reg[45]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.884522	reset_n	digest_reg[112]$_DFFE_PN0P_/RN	digest_reg[112]$_DFFE_PN0P_|input10|place8047|place8049|place8050|place8100
0.884663	reset_n	block_reg[22][2]$_DFFE_PN0P_/RN	block_reg[22][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.885018	reset_n	block_reg[19][7]$_DFFE_PN0P_/RN	block_reg[19][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.885502	reset_n	block_reg[6][2]$_DFFE_PN0P_/RN	block_reg[6][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.886116	reset_n	core.w_mem_inst.w_mem[0][2]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[0][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.886327	reset_n	core.w_mem_inst.w_mem[3][62]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[3][62]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886416	reset_n	block_reg[10][26]$_DFFE_PN0P_/RN	block_reg[10][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886450	reset_n	core.w_mem_inst.w_mem[4][62]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[4][62]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886500	reset_n	block_reg[27][7]$_DFFE_PN0P_/RN	block_reg[27][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.886633	reset_n	core.w_mem_inst.w_mem[0][1]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[0][1]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.886661	reset_n	core.w_mem_inst.w_mem[6][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[6][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886671	reset_n	block_reg[8][30]$_DFFE_PN0P_/RN	block_reg[8][30]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886691	reset_n	block_reg[10][30]$_DFFE_PN0P_/RN	block_reg[10][30]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886885	reset_n	core.w_mem_inst.w_mem[5][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[5][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.886995	reset_n	block_reg[6][30]$_DFFE_PN0P_/RN	block_reg[6][30]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887021	reset_n	block_reg[9][7]$_DFFE_PN0P_/RN	block_reg[9][7]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.887031	reset_n	block_reg[14][26]$_DFFE_PN0P_/RN	block_reg[14][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887100	reset_n	block_reg[20][26]$_DFFE_PN0P_/RN	block_reg[20][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887154	reset_n	core.w_mem_inst.w_mem[11][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[11][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887175	reset_n	block_reg[12][26]$_DFFE_PN0P_/RN	block_reg[12][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887260	reset_n	block_reg[6][26]$_DFFE_PN0P_/RN	block_reg[6][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887269	reset_n	block_reg[16][26]$_DFFE_PN0P_/RN	block_reg[16][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887614	reset_n	core.w_mem_inst.w_mem[3][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[3][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887669	reset_n	core.w_mem_inst.w_mem[13][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[13][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887733	reset_n	core.w_mem_inst.w_mem[7][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[7][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887732	reset_n	core.w_mem_inst.w_mem[8][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[8][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887774	reset_n	core.w_mem_inst.w_mem[10][0]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[10][0]$_DFFE_PN0P_|input10|place8046|place8049|place8050|place8100
0.887779	reset_n	core.w_mem_inst.w_mem[4][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[4][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887816	reset_n	core.w_mem_inst.w_mem[10][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[10][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.887909	reset_n	block_reg[26][26]$_DFFE_PN0P_/RN	block_reg[26][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.888740	reset_n	core.H6_reg[31]$_DFFE_PN0P_/RN	core.H6_reg[31]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.888785	reset_n	core.h_reg[47]$_DFFE_PN0P_/RN	core.h_reg[47]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889112	reset_n	core.h_reg[42]$_DFFE_PN0P_/RN	core.h_reg[42]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889156	reset_n	core.h_reg[38]$_DFFE_PN0P_/RN	core.h_reg[38]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889189	reset_n	core.g_reg[30]$_DFFE_PN0P_/RN	core.g_reg[30]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889221	reset_n	block_reg[22][26]$_DFFE_PN0P_/RN	block_reg[22][26]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.889277	reset_n	core.w_mem_inst.w_mem[1][2]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[1][2]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.889296	reset_n	digest_reg[49]$_DFFE_PN0P_/RN	digest_reg[49]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889299	reset_n	block_reg[24][2]$_DFFE_PN0P_/RN	block_reg[24][2]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889371	reset_n	block_reg[10][2]$_DFFE_PN0P_/RN	block_reg[10][2]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889394	reset_n	core.e_reg[30]$_DFFE_PN0P_/RN	core.e_reg[30]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889722	reset_n	core.h_reg[32]$_DFFE_PN0P_/RN	core.h_reg[32]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889732	reset_n	core.w_mem_inst.w_mem[9][33]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[9][33]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889802	reset_n	core.w_mem_inst.w_mem[0][33]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[0][33]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889879	reset_n	core.H7_reg[39]$_DFFE_PN0P_/RN	core.H7_reg[39]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889882	reset_n	core.a_reg[47]$_DFFE_PN0P_/RN	core.a_reg[47]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.889894	reset_n	core.H7_reg[38]$_DFFE_PN0P_/RN	core.H7_reg[38]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.889940	reset_n	core.w_mem_inst.w_mem[1][9]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[1][9]$_DFFE_PN0P_|input10|place8062|place8063|place8068|place8100
0.889973	reset_n	block_reg[12][2]$_DFFE_PN0P_/RN	block_reg[12][2]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890030	reset_n	core.a_reg[46]$_DFFE_PN0P_/RN	core.a_reg[46]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.890047	reset_n	core.H7_reg[44]$_DFFE_PN0P_/RN	core.H7_reg[44]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890052	reset_n	core.H7_reg[35]$_DFFE_PN0P_/RN	core.H7_reg[35]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890115	reset_n	core.g_reg[31]$_DFFE_PN0P_/RN	core.g_reg[31]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.890298	reset_n	core.a_reg[48]$_DFFE_PN0P_/RN	core.a_reg[48]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.890338	reset_n	core.h_reg[39]$_DFFE_PN0P_/RN	core.h_reg[39]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890385	reset_n	block_reg[0][2]$_DFFE_PN0P_/RN	block_reg[0][2]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890479	reset_n	core.h_reg[37]$_DFFE_PN0P_/RN	core.h_reg[37]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890528	reset_n	core.H7_reg[41]$_DFFE_PN0P_/RN	core.H7_reg[41]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.890974	reset_n	core.H7_reg[40]$_DFFE_PN0P_/RN	core.H7_reg[40]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.891024	reset_n	core.a_reg[44]$_DFFE_PN0P_/RN	core.a_reg[44]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.891139	reset_n	core.H7_reg[37]$_DFFE_PN0P_/RN	core.H7_reg[37]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
0.891322	reset_n	core.a_reg[43]$_DFFE_PN0P_/RN	core.a_reg[43]$_DFFE_PN0P_|input10|place8048|place8049|place8050|place8100
0.891348	reset_n	core.w_mem_inst.w_mem[12][58]$_DFFE_PN0P_/RN	core.w_mem_inst.w_mem[12][58]$_DFFE_PN0P_|input10|place7999|place8000|place8011
0.891654	reset_n	core.H6_reg[17]$_DFFE_PN0P_/RN	core.H6_reg[17]$_DFFE_PN0P_|input10|place8065|place8067|place8068|place8100
