# slack_ns	startpoint	endpoint	cells
-0.336116	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[93]	_42744_|clone16100|index_wb_data$_SDFFE_PP0P_|output2590|place14432|place14433|place15124|place15125|rebuffer16099|rebuffer16466
-0.334541	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[446]	_43108_|index_wb_data$_SDFFE_PP0P_|place14019|place14020|place15121|place15123|place15138|place7113|rebuffer15859|rebuffer16465
-0.334335	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[36]	_42675_|index_wb_data$_SDFFE_PP0P_|place14503|place15110|place15112|place15138|place7137|rebuffer15892|rebuffer16465
-0.333827	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[118]	_42770_|index_wb_data$_SDFFE_PP0P_|output2106|place14401|place15152|place15153|place15157|place15158|rebuffer15516|rebuffer16469|rebuffer16597
-0.331179	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[108]	_42760_|index_wb_data$_SDFFE_PP0P_|output2095|place14413|place14414|place15152|place15153|place15157|place15158|rebuffer15516|rebuffer16469
-0.330547	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[193]	_42849_|index_wb_data$_SDFFE_PP0P_|output2189|place14308|place14309|place15111|place15112|place15138|rebuffer15892|rebuffer16465
-0.328609	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43589_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.328609	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43589_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.328607	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43589_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.328607	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43589_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.328250	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[509]	_43174_|index_wb_data$_SDFFE_PP0P_|place13945|place15123|place15138|place7064|rebuffer15859|rebuffer16403|rebuffer16465
-0.327726	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43195_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327725	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43195_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327724	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43195_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327724	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43195_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327543	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43586_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.327543	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43586_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.327542	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43586_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.327542	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43586_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.327386	index_wb_data$_SDFFE_PP0P_/Q	o_wb_data[57]	_42702_|index_wb_data$_SDFFE_PP0P_|place14478|place14479|place15121|place15123|place15138|place7057|rebuffer15859|rebuffer16465
-0.327227	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[2]	_43192_|_43193_|_43194_|lane[1]$_SDFFE_PP0P_|output2032|place12604|place15047|place15049|place15062
-0.327228	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[2]	_43192_|_43193_|_43194_|lane[1]$_SDFFE_PP0P_|output2032|place12604|place15047|place15049|place15062
-0.327226	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[2]	_43192_|_43193_|_43194_|lane[1]$_SDFFE_PP0P_|output2032|place12604|place15047|place15049|place15062
-0.327226	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[2]	_43192_|_43193_|_43194_|lane[1]$_SDFFE_PP0P_|output2032|place12604|place15047|place15049|place15062
-0.327100	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43196_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327099	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43196_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327098	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43196_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.327098	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43196_|_43197_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.326358	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43588_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326358	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43588_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326356	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43588_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326356	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43588_|_43590_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326041	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43199_|_43200_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.326041	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43199_|_43200_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.326040	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43199_|_43200_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.326040	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[1]	_43199_|_43200_|_43201_|lane[1]$_SDFFE_PP0P_|output2031|place12603|place15052|place15062
-0.326010	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43585_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326009	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43585_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326009	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43585_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.326008	lane[1]$_SDFFE_PP0P_/Q	o_phy_idelay_data_cntvaluein[4]	_43585_|_43587_|_43591_|lane[1]$_SDFFE_PP0P_|output2034|place12558|place15047|place15049|place15062
-0.325985	lane[1]$_SDFFE_PP0P_/Q	o_phy_odelay_dqs_cntvaluein[3]	_43183_|_43185_|_43187_|lane[1]$_SDFFE_PP0P_|output2072|place15047|place15049|place15062
-0.325984	lane[1]$_SDFFE_PP0P_/Q	o_phy_odelay_dqs_cntvaluein[3]	_43183_|_43185_|_43187_|lane[1]$_SDFFE_PP0P_|output2072|place15047|place15049|place15062
-0.325984	lane[1]$_SDFFE_PP0P_/Q	o_phy_odelay_dqs_cntvaluein[3]	_43183_|_43185_|_43187_|lane[1]$_SDFFE_PP0P_|output2072|place15047|place15049|place15062
