# slack_ns	startpoint	endpoint	cells
1.176090	rst_an_i	bmu_ready_d1_r$_DFF_PN1_/SN	bmu_ready_d1_r$_DFF_PN1_
1.176090	rst_an_i	state_r[0]$_DFF_PN1_/SN	state_r[0]$_DFF_PN1_
1.187728	rst_an_i	acs_en_r[15]$_DFFE_PN0P_/RN	acs_en_r[15]$_DFFE_PN0P_
1.187728	rst_an_i	acs_en_r[31]$_DFFE_PN0P_/RN	acs_en_r[31]$_DFFE_PN0P_
1.187728	rst_an_i	acs_en_r[62]$_DFFE_PN0P_/RN	acs_en_r[62]$_DFFE_PN0P_
1.187728	rst_an_i	acs_en_r[7]$_DFFE_PN0P_/RN	acs_en_r[7]$_DFFE_PN0P_
1.187728	rst_an_i	acs_inst_0.pm_r[0]$_DFF_PN0_/RN	acs_inst_0.pm_r[0]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[1]$_DFF_PN0_/RN	acs_inst_0.pm_r[1]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[2]$_DFF_PN0_/RN	acs_inst_0.pm_r[2]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[3]$_DFF_PN0_/RN	acs_inst_0.pm_r[3]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[4]$_DFF_PN0_/RN	acs_inst_0.pm_r[4]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[5]$_DFF_PN0_/RN	acs_inst_0.pm_r[5]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[6]$_DFF_PN0_/RN	acs_inst_0.pm_r[6]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[7]$_DFF_PN0_/RN	acs_inst_0.pm_r[7]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.pm_r[8]$_DFF_PN0_/RN	acs_inst_0.pm_r[8]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.survivor_path_r$_DFF_PN0_/RN	acs_inst_0.survivor_path_r$_DFF_PN0_
1.187728	rst_an_i	acs_inst_0.valid_r$_DFF_PN0_/RN	acs_inst_0.valid_r$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[0]$_DFF_PN0_/RN	acs_inst_1.pm_r[0]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[1]$_DFF_PN0_/RN	acs_inst_1.pm_r[1]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[2]$_DFF_PN0_/RN	acs_inst_1.pm_r[2]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[3]$_DFF_PN0_/RN	acs_inst_1.pm_r[3]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[4]$_DFF_PN0_/RN	acs_inst_1.pm_r[4]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[5]$_DFF_PN0_/RN	acs_inst_1.pm_r[5]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[6]$_DFF_PN0_/RN	acs_inst_1.pm_r[6]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[7]$_DFF_PN0_/RN	acs_inst_1.pm_r[7]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.pm_r[8]$_DFF_PN0_/RN	acs_inst_1.pm_r[8]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_1.survivor_path_r$_DFF_PN0_/RN	acs_inst_1.survivor_path_r$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[0]$_DFF_PN0_/RN	acs_inst_10.pm_r[0]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[1]$_DFF_PN0_/RN	acs_inst_10.pm_r[1]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[2]$_DFF_PN0_/RN	acs_inst_10.pm_r[2]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[3]$_DFF_PN0_/RN	acs_inst_10.pm_r[3]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[4]$_DFF_PN0_/RN	acs_inst_10.pm_r[4]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[5]$_DFF_PN0_/RN	acs_inst_10.pm_r[5]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[6]$_DFF_PN0_/RN	acs_inst_10.pm_r[6]$_DFF_PN0_
1.187728	rst_an_i	acs_inst_10.pm_r[7]$_DFF_PN0_/RN	acs_inst_10.pm_r[7]$_DFF_PN0_
