# slack_ns	startpoint	endpoint	cells
0.978802	rst_an_i	last_loop_r$_DFFE_PN0P_/RN	input85|last_loop_r$_DFFE_PN0P_|place16422|place16423|place16424|place16425
0.978886	rst_an_i	busy_r$_DFFE_PN0P_/RN	busy_r$_DFFE_PN0P_|input85|place16422|place16423|place16424|place16425
0.979464	rst_an_i	dst_wr_d1_r$_DFF_PN0_/RN	dst_wr_d1_r$_DFF_PN0_|input85|place16422|place16423|place16424|place16425
0.980397	rst_an_i	trellis_idx_r[4]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[4]$_DFFE_PN0P_
0.980534	rst_an_i	frame_done_r$_DFFE_PN0P_/RN	frame_done_r$_DFFE_PN0P_|input85|place16422|place16423|place16424|place16425
0.980621	rst_an_i	trellis_idx_r[1]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[1]$_DFFE_PN0P_
0.980663	rst_an_i	trellis_idx_r[2]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[2]$_DFFE_PN0P_
0.980716	rst_an_i	trellis_idx_r[3]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[3]$_DFFE_PN0P_
0.980969	rst_an_i	trellis_idx_r[0]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[0]$_DFFE_PN0P_
0.981114	rst_an_i	state_r[1]$_DFF_PN0_/RN	input85|place16422|place16423|place16424|place16425|state_r[1]$_DFF_PN0_
0.981164	rst_an_i	state_r[2]$_DFF_PN0_/RN	input85|place16422|place16423|place16424|place16425|state_r[2]$_DFF_PN0_
0.981164	rst_an_i	state_r[4]$_DFF_PN0_/RN	input85|place16422|place16423|place16424|place16425|state_r[4]$_DFF_PN0_
0.981369	rst_an_i	trellis_idx_r[5]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[5]$_DFFE_PN0P_
0.981904	rst_an_i	trellis_idx_r[12]$_DFFE_PN0P_/RN	input85|place16422|place16423|place16424|place16425|trellis_idx_r[12]$_DFFE_PN0P_
0.982357	rst_an_i	state_r[0]$_DFF_PN1_/SN	input85|place16422|place16423|place16424|place16425|state_r[0]$_DFF_PN1_
0.982558	rst_an_i	pm_normalize_inst.pm_nom_r[47][5]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[47][5]$_DFFE_PN0P_
0.982693	rst_an_i	pm_normalize_inst.pm_nom_r[47][4]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[47][4]$_DFFE_PN0P_
0.982703	rst_an_i	pm_normalize_inst.pm_nom_r[47][2]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[47][2]$_DFFE_PN0P_
0.982734	rst_an_i	pm_normalize_inst.pm_nom_r[46][6]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[46][6]$_DFFE_PN0P_
0.982768	rst_an_i	pm_normalize_inst.pm_nom_r[47][1]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[47][1]$_DFFE_PN0P_
0.982776	rst_an_i	pm_normalize_inst.pm_nom_r[46][4]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[46][4]$_DFFE_PN0P_
0.982808	rst_an_i	pm_normalize_inst.pm_nom_r[46][0]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[46][0]$_DFFE_PN0P_
0.982910	rst_an_i	pm_normalize_inst.pm_nom_r[62][8]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[62][8]$_DFFE_PN0P_
0.982918	rst_an_i	pm_normalize_inst.pm_nom_r[47][6]$_DFFE_PN0P_/RN	input85|place16381|place16382|place16390|place16425|pm_normalize_inst.pm_nom_r[47][6]$_DFFE_PN0P_
