# slack_ns	startpoint	endpoint	cells
0.531948	rst_i	u0.u11.ch_am1_r[13]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u11.ch_am1_r[13]$_DFFE_PP1P_
0.532053	rst_i	u0.u2.ch_am1_r[13]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u2.ch_am1_r[13]$_DFFE_PP1P_
0.532122	rst_i	u0.u5.ch_am1_r[13]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u5.ch_am1_r[13]$_DFFE_PP1P_
0.532514	rst_i	u0.u2.ch_am0_r[13]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u2.ch_am0_r[13]$_DFFE_PP1P_
0.532935	rst_i	u0.u3.ch_am1_r[14]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u3.ch_am1_r[14]$_DFFE_PP1P_
0.533107	rst_i	u0.u14.ch_am1_r[13]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u14.ch_am1_r[13]$_DFFE_PP1P_
0.533183	rst_i	u0.u12.ch_am1_r[14]$_DFFE_PP1P_/SN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u12.ch_am1_r[14]$_DFFE_PP1P_
0.534447	rst_i	u0.u15.int_src_r[1]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u15.int_src_r[1]$_DFFE_PP0P_
0.534524	rst_i	u0.u0.ch_csr_r3[1]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u0.ch_csr_r3[1]$_DFFE_PP0P_
0.534808	rst_i	u0.u15.int_src_r[2]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u15.int_src_r[2]$_DFFE_PP0P_
0.535227	rst_i	u0.u8.ch_csr_r3[1]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u8.ch_csr_r3[1]$_DFFE_PP0P_
0.535354	rst_i	u0.u12.ch_csr_r3[2]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u12.ch_csr_r3[2]$_DFFE_PP0P_
0.535428	rst_i	u0.u8.int_src_r[2]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u8.int_src_r[2]$_DFFE_PP0P_
0.535660	rst_i	u0.u12.ch_csr_r3[1]$_DFFE_PP0P_/RN	_33446_|hold5916|hold5917|input49|place4859|place4860|place4878|u0.u12.ch_csr_r3[1]$_DFFE_PP0P_
