design,feedback,n_epochs,gm_total_time_s,gm_pnr_fmax_ratio
aes,synth,3,983.3220671605294,1.2171369105559355
aes,predict,3,1012.9574554927901,1.2177968598387856
aes,pnr,1,3454.515000000001,1.2047207856328468
sha512,synth,3,727.7498065273077,1.2940778776403326
sha512,predict,3,744.690718656467,1.2994224712449798
sha512,pnr,1,3459.0710000000026,1.3207200058959276
double_fpu,synth,3,728.5093840761634,1.2326496771990136
double_fpu,predict,3,1450.8574561743783,1.1793323891439036
double_fpu,pnr,1,3928.196999999997,1.3060307923451506
bitonic_sorter,synth,3,1526.475328931014,0.9809193678369759
bitonic_sorter,predict,3,2222.0244780243415,0.9966714038625819
bitonic_sorter,pnr,1,4876.621000000001,1.001271349421362
e203,synth,3,1280.196678110265,0.9914737609479747
e203,predict,3,1686.5568148409795,1.0516749981315594
e203,pnr,1,3934.8889999999983,1.377121788204349
reed_solomon,synth,3,1438.7468312555814,1.4379564983098774
reed_solomon,predict,3,1280.9490665747558,1.4424666383792004
reed_solomon,pnr,1,4482.399999999997,1.413400657787641
systolic_tpu,synth,3,1546.4705959908079,1.5604890692792166
systolic_tpu,predict,3,1850.540030818278,1.4492559286251503
systolic_tpu,pnr,1,5493.551000000001,1.4578913997330962
viterbi,synth,3,3064.603606011725,1.7075834972667792
viterbi,predict,3,3256.259286211426,1.4700045667384714
viterbi,pnr,1,6345.845,1.0756180574779342
verilog_axi,synth,3,903.8204992579559,1.0420636795764213
verilog_axi,predict,3,2259.645462532417,1.0478607926676464
verilog_axi,pnr,1,4231.077000000002,1.031009237543382
uberddr3,synth,3,1891.6109373636148,1.0040643109316791
uberddr3,predict,3,6662.276146963958,1.0592875531385322
uberddr3,pnr,1,8325.863,1.0433721803443927
wb_dma,synth,3,1802.8386890897903,1.1280315993412606
wb_dma,predict,3,3654.485034370999,1.218557161593112
wb_dma,pnr,1,6169.4149999999945,1.3292460180543297
jpeg_encoder,synth,3,1386.8764019762816,1.1534841244692906
jpeg_encoder,predict,3,1130.735656068315,1.1253593260874535
jpeg_encoder,pnr,1,4952.369999999996,1.0681461896752111
cordic,synth,3,1235.543092123353,1.0325767853964265
cordic,predict,3,1226.082995080967,1.0239898205328932
cordic,pnr,1,3877.3059999999996,1.030120105242805
fir,synth,3,3806.8187815175183,0.9966114207713923
fir,predict,3,2558.7359250299114,1.0095389076370018
fir,pnr,1,5127.749000000003,1.07530457301911
wb_conmax,synth,3,1614.7224492787707,1.1264884342575159
wb_conmax,predict,3,2051.5064329913107,1.2447055103755025
wb_conmax,pnr,1,7334.288999999998,1.2287076956225
modexp,synth,3,4199.866234192698,1.0096047973234512
modexp,predict,3,4658.11631958398,0.9857309288317867
modexp,pnr,1,5714.4259999999995,1.0356679380177358
