design,n,gm_synth_uplift_pct,gm_pnr_uplift_pct,mean_synth_minus_pnr_pct,spearman_synth_pnr,n_both_gain,n_synth_gain_pnr_within_noise,n_synth_gain_pnr_loss,frac_both_gain,frac_synth_gain_pnr_within_noise,frac_synth_gain_pnr_loss
aes,12,4.910899394277934,5.195448486068921,-0.5191125830300577,0.741653166461895,3,1,0,0.25,0.08333333333333333,0.0
bitonic_sorter,12,-3.8350498984456083,-3.641247719965357,-2.0377168634205054,0.05166931171103986,2,0,1,0.16666666666666666,0.0,0.08333333333333333
double_fpu,12,5.40747309317231,5.817257300454526,-0.2888005916979339,0.8885637736640858,5,0,0,0.4166666666666667,0.0,0.0
e203,10,2.3644972569518474,-0.21538087168083697,2.657270865470597,0.06748974310538337,0,5,0,0.0,0.5,0.0
jpeg_encoder,12,6.553200827327466,4.303461762551342,2.4551844880349845,0.46748754094517553,3,2,0,0.25,0.16666666666666666,0.0
reed_solomon,10,13.317742121244812,10.58892021399187,2.9821865483784373,0.9757575757575757,5,0,0,0.5,0.0,0.0
sha512,12,9.939376239215392,7.146422261271579,2.585110639530786,0.9440559440559441,4,3,0,0.3333333333333333,0.25,0.0
systolic_tpu,12,14.247247828883891,11.78157038948282,2.269737700232558,0.6013986013986014,8,2,0,0.6666666666666666,0.16666666666666666,0.0
uberddr3,12,3.375473213598368,-0.09195348982800056,3.6720880003421965,0.0979020979020979,0,2,0,0.0,0.16666666666666666,0.0
verilog_axi,12,7.070889905027045,1.196776861214821,6.050087119098374,0.06993006993006994,1,5,0,0.08333333333333333,0.4166666666666667,0.0
viterbi,12,18.934933374216413,14.040236593932121,6.745951696781455,0.9290780141843972,5,0,0,0.4166666666666667,0.0,0.0
wb_dma,12,61.833709443612996,3.114685189399502,143.6809915064376,0.6441281138790037,2,4,0,0.16666666666666666,0.3333333333333333,0.0
