design,epoch,run,edit_1_synth_pct,edit_1_pnr_pct,edit_2_synth_pct,edit_2_pnr_pct,edit_3_synth_pct,edit_3_pnr_pct,edit_4_synth_pct,edit_4_pnr_pct,final_synth_pct,final_pnr_pct,best_synth_pct,best_pnr_pct,best_iter
aes,1,pnr_aes_sha512_doublefpu_bitonicsorter_n_1_d_4,fail-TB,fail-TB,+10.602,+18.801,+9.763,+0.412,+0.986,+0.990,+22.596,+20.472,+22.596,+20.472,4
sha512,1,pnr_aes_sha512_doublefpu_bitonicsorter_n_1_d_4,+6.430,+19.408,+12.575,+8.594,+11.416,+1.187,-0.516,+0.657,+32.802,+32.072,+32.802,+32.072,4
double_fpu,1,pnr_aes_sha512_doublefpu_bitonicsorter_n_1_d_4,-2.206,-0.192,-1.280,-0.282,+6.840,+3.934,+26.912,+26.258,+30.904,+30.603,+30.904,+30.603,4
bitonic_sorter,1,pnr_aes_sha512_doublefpu_bitonicsorter_n_1_d_4,-0.054,-0.627,+0.000,+0.759,+0.000,-0.298,+0.000,-0.076,-0.054,-0.247,-0.054,+0.127,2
e203,1,pnr_e203_reedsolomon_systolictpu_viterbi_n_1_d_4,+0.002,+2.904,+0.000,-1.229,+0.000,+29.119,+0.000,+4.935,+0.002,+37.712,+0.002,+37.712,4
reed_solomon,1,pnr_e203_reedsolomon_systolictpu_viterbi_n_1_d_4,+21.373,+20.482,+21.967,+10.619,+1.235,+4.931,+8.006,+1.067,+61.863,+41.340,+61.863,+41.340,4
systolic_tpu,1,pnr_e203_reedsolomon_systolictpu_viterbi_n_1_d_4,+36.768,+25.910,+9.655,+14.030,+1.969,+1.542,fail-TB,fail-TB,fail-TB,fail-TB,+52.927,+45.789,3
viterbi,1,pnr_viterbi_rerun_n_1_d_4,+7.126,+1.725,+12.077,+1.076,-1.429,+2.585,-7.692,+1.976,+9.245,+7.562,+9.245,+7.562,4
verilog_axi,1,pnr_verilogaxi_uberddr3_wbdma_jpegencoder_n_1_d_4,+1.666,-0.938,+0.000,+4.078,+1.566,-0.118,+0.000,+0.000,+3.258,+2.979,+1.666,+3.101,2
uberddr3,1,pnr_verilogaxi_uberddr3_wbdma_jpegencoder_n_1_d_4,+2.419,+1.877,-5.490,+2.415,fail-TB,fail-TB,fail-TB,fail-TB,fail-TB,fail-TB,-3.204,+4.337,2
wb_dma,1,pnr_verilogaxi_uberddr3_wbdma_jpegencoder_n_1_d_4,-0.110,+2.704,fail-TB,fail-TB,+0.000,-6.285,+0.000,+38.104,-0.110,+32.925,-0.110,+32.925,4
jpeg_encoder,1,pnr_verilogaxi_uberddr3_wbdma_jpegencoder_n_1_d_4,-1.877,-2.301,+3.827,+4.417,-1.082,+1.912,+44.563,+2.741,+45.685,+6.815,+45.685,+6.815,4
cordic,1,pnr_cordic_fir_wbconmax_modexp_n_1_d_4,+0.161,+2.399,+3.557,+0.599,+0.000,-2.539,-0.881,+1.076,+2.810,+1.476,+3.724,+3.012,2
fir,1,pnr_cordic_fir_wbconmax_modexp_n_1_d_4,+38.641,-0.859,+0.000,+0.000,+36.145,+8.462,-1.165,-3.350,+86.555,+3.928,+88.753,+7.530,3
wb_conmax,1,pnr_cordic_fir_wbconmax_modexp_n_1_d_4,-0.006,+13.625,-4.659,-0.619,+0.000,+8.811,-0.545,-3.388,-5.184,+18.708,-4.664,+22.871,3
modexp,1,pnr_cordic_fir_wbconmax_modexp_n_1_d_4,+0.768,-0.265,+2.035,+1.050,-5.753,+0.603,+6.104,+2.147,+2.818,+3.567,+2.818,+3.567,4
