design,epoch,run,edit_1_synth_pct,edit_1_pnr_pct,edit_2_synth_pct,edit_2_pnr_pct,edit_3_synth_pct,edit_3_pnr_pct,edit_4_synth_pct,edit_4_pnr_pct,final_synth_pct,final_pnr_pct,best_synth_pct,best_pnr_pct,best_iter
aes,1,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+12.605,+17.285,+7.810,+3.789,-2.845,-4.806,+0.958,-1.770,+19.075,+13.828,+21.399,+21.729,2
aes,2,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+12.605,+17.596,+4.742,-1.306,-7.865,-3.361,+16.255,+11.235,+26.333,+24.760,+26.333,+24.760,4
aes,3,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+7.727,+16.031,+6.456,+2.753,+6.901,-0.256,fail-synth,fail-synth,fail-synth,fail-synth,+22.596,+18.920,3
sha512,1,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+19.258,+29.829,+14.308,+0.786,+1.615,+0.205,-2.622,+1.112,+34.891,+32.575,+38.523,+31.117,3
sha512,2,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+22.670,+23.672,-3.230,-2.949,+6.382,+7.197,-0.972,-0.247,+25.055,+28.346,+26.283,+28.663,3
sha512,3,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+23.258,+21.660,-3.245,+5.235,+9.659,+1.134,+5.923,+0.445,+38.523,+30.058,+38.523,+30.058,4
double_fpu,1,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-4.072,+0.419,+15.420,+11.464,-5.548,-2.880,+5.874,+4.297,+10.719,+13.379,+10.719,+13.379,4
double_fpu,2,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-14.900,-13.004,+26.393,+20.314,+1.447,+7.538,+12.176,+11.613,+22.403,+25.629,+22.403,+25.629,4
double_fpu,3,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+1.754,+3.774,+0.000,+1.472,+8.811,+7.062,+3.811,+2.145,+14.939,+15.156,+14.939,+15.156,4
bitonic_sorter,1,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+5.632,+0.129,+3.942,-5.420,-7.309,+4.160,+7.885,-3.994,+9.797,-5.298,+5.632,+0.129,1
bitonic_sorter,2,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-0.054,-0.399,+0.000,-0.329,+0.000,+0.819,+0.000,-0.813,-0.054,-0.726,-0.054,-0.399,1
bitonic_sorter,3,predict_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-0.054,-0.726,+5.689,+0.605,+0.000,+0.000,+0.000,+1.045,+5.632,+0.918,-0.054,-0.726,1
e203,1,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+0.002,+7.827,+0.000,+0.523,+0.000,+5.983,fail-pnr,fail-pnr,fail-pnr,fail-pnr,+0.002,+7.827,1
e203,2,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+0.002,+2.904,fail-pnr,fail-pnr,+0.000,+6.598,fail-pnr,fail-pnr,fail-pnr,fail-pnr,+0.002,+2.904,1
e203,3,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+0.002,+2.459,+9.608,-0.400,-0.208,-0.275,+0.000,+3.007,+9.381,+4.829,+9.381,+4.829,4
reed_solomon,1,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+49.865,+39.001,-3.574,-0.235,+10.535,+4.016,+0.000,+1.169,+59.732,+45.931,+59.732,+45.931,4
reed_solomon,2,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+1.134,-0.611,+51.938,+41.963,+6.762,-1.514,-2.634,+5.079,+59.732,+46.016,+59.732,+46.016,4
reed_solomon,3,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+42.807,+27.360,+8.981,+9.309,+0.000,+0.000,+5.410,+1.176,+64.053,+40.854,+64.053,+40.854,4
systolic_tpu,1,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+17.167,+30.614,+2.315,+6.924,+17.184,+0.179,-9.790,+3.047,+26.726,+44.170,+40.479,+39.907,3
systolic_tpu,2,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+8.949,+28.756,+26.650,+11.744,-5.854,-0.816,+6.218,+0.822,+37.983,+43.877,+37.983,+43.877,2
systolic_tpu,3,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+40.479,+28.437,+8.861,+12.621,-1.931,-1.229,+13.105,+5.844,+69.628,+51.218,+69.628,+51.218,4
viterbi,1,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+2.066,-2.173,+52.665,+16.399,+5.629,+15.034,-14.930,+1.872,+40.018,+33.441,+55.819,+13.869,2
viterbi,2,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,+69.646,+53.536,-17.697,-0.348,+38.521,+2.067,+17.890,-2.164,+128.011,+52.785,+128.011,+52.785,4
viterbi,3,predict_e203_reedsolomon_systolictpu_viterbi_n_3_d_4,fail-synth,fail-synth,fail-synth,fail-synth,fail-synth,fail-synth,+158.887,+82.587,+158.887,+82.587,+158.887,+82.587,4
verilog_axi,1,predict_verilogaxi_uberddr3_wbdma_jpegencoder_n_3_d_4,+2.456,+3.838,+0.000,+0.511,+26.538,-0.159,+0.000,+0.000,+29.646,+4.202,+29.646,+4.202,3
verilog_axi,2,predict_verilogaxi_uberddr3_wbdma_jpegencoder_n_3_d_4,+3.258,+2.512,+25.555,+0.046,+0.000,+0.000,-1.928,+1.751,+27.146,+4.355,+27.146,+4.355,4
verilog_axi,3,predict_verilogaxi_uberddr3_wbdma_jpegencoder_n_3_d_4,+3.258,+1.698,-1.542,+1.649,+0.000,-0.041,+6.571,+2.396,+8.347,+5.808,+8.347,+5.808,4
uberddr3,1,predict_verilogaxi_uberddr3_wbdma_jpegencoder_n_3_d_4,-3.204,+0.263,+12.334,+1.667,-2.991,+12.354,+3.084,-6.084,+8.735,+7.560,+5.482,+14.527,3
