design,epoch,run,edit_1_synth_pct,edit_1_pnr_pct,edit_2_synth_pct,edit_2_pnr_pct,edit_3_synth_pct,edit_3_pnr_pct,edit_4_synth_pct,edit_4_pnr_pct,final_synth_pct,final_pnr_pct,best_synth_pct,best_pnr_pct,best_iter
aes,1,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+12.605,+17.596,+4.742,-1.306,-2.767,-1.793,+10.160,+8.814,+26.333,+24.025,+26.333,+24.025,4
aes,2,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+12.605,+17.596,+3.758,+1.610,+5.974,+1.584,-3.830,-3.451,+19.075,+17.193,+23.817,+21.381,3
aes,3,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+4.998,+16.759,+10.239,-0.734,+0.940,-2.987,+5.974,+6.522,+23.817,+19.773,+23.817,+19.773,4
sha512,1,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+22.088,+30.379,-0.472,-4.310,+3.927,+1.105,+7.380,+2.095,+35.602,+28.780,+35.602,+28.780,4
sha512,2,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+9.139,+17.110,+7.773,+7.078,+12.326,+3.204,+3.179,-0.381,+36.321,+28.925,+36.321,+28.925,4
sha512,3,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+19.258,+26.270,+13.705,+2.486,-1.043,+0.303,+5.503,+0.558,+41.572,+30.526,+41.572,+30.526,4
double_fpu,1,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-4.072,-0.062,+14.578,+10.529,+5.377,+5.468,+2.359,+3.561,+18.554,+20.649,+18.554,+20.649,4
double_fpu,2,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-4.072,+0.419,+11.332,+7.963,-2.081,+2.027,+14.264,+12.231,+19.493,+24.143,+19.493,+24.143,4
double_fpu,3,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-4.072,-1.076,+11.332,+11.094,-2.081,+1.388,+14.264,+12.226,+19.493,+25.047,+19.493,+25.047,4
bitonic_sorter,1,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,-6.747,-38.769,+13.275,+63.617,+3.942,-5.030,-7.309,+3.325,+1.772,-1.691,+9.797,-4.854,3
bitonic_sorter,2,synth_aes_sha512_doublefpu_bitonicsorter_n_3_d_4,+1.772,-0.074,+0.000,-35.481,-3.525,-3.182,-37.474,+2.908,-38.609,-35.765,+1.772,-0.074,1
