design,stage,p,n_seeds,n_pairs,top_k,min_list_len,max_list_len,mean_rbo,std_rbo,min_rbo,max_rbo,mean_dedup_drops,max_dedup_drops
aes,1_synth,0.6,8,28,100,100,100,0.9547264592710226,0.05214537424228529,0.8510821980140237,0.999173428743865,92.0,95
aes,1_synth,0.9,8,28,100,100,100,0.9393450647676035,0.021165047058094442,0.8872030484209547,0.9733455167403982,92.0,95
aes,1_synth,0.96,8,28,100,100,100,0.9385927643318119,0.009522439474778915,0.9153317451835274,0.9591043637427366,92.0,95
aes,6_final,0.6,8,28,100,100,100,0.6111960080116268,0.21158920617377305,0.228232680008917,0.9386272978897383,96.0,96
aes,6_final,0.9,8,28,100,100,100,0.657815685529693,0.09004148890833548,0.46929805815873704,0.843885130468628,96.0,96
aes,6_final,0.96,8,28,100,100,100,0.760201730398836,0.04448478913918812,0.6757653659676698,0.8610924809624829,96.0,96
bitonic_sorter,1_synth,0.6,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
bitonic_sorter,1_synth,0.9,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
bitonic_sorter,1_synth,0.96,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
bitonic_sorter,6_final,0.6,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
bitonic_sorter,6_final,0.9,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
bitonic_sorter,6_final,0.96,8,28,100,8,8,1.0,0.0,1.0,1.0,0.0,0
double_fpu,1_synth,0.6,8,28,100,100,100,0.5438747356646078,0.2599869634482422,0.21447196732936644,0.9902001253855368,23.875,31
double_fpu,1_synth,0.9,8,28,100,100,100,0.7589027412087838,0.0866250242630215,0.6305484837401315,0.9404660945743321,23.875,31
double_fpu,1_synth,0.96,8,28,100,100,100,0.7884192654614276,0.04536480028120745,0.7047026495425505,0.8784069753103847,23.875,31
double_fpu,6_final,0.6,8,28,100,100,100,0.38347664810821136,0.23243609855194125,0.08040192111803529,0.9024820131622839,15.875,20
double_fpu,6_final,0.9,8,28,100,100,100,0.6828012489069327,0.10319316719007424,0.4884564786919637,0.8755199505105437,15.875,20
