design,stage,p,seed_a,seed_b,n_eval,rbo
aes,1_synth,0.6,0,1,100,0.999173428743865
aes,1_synth,0.6,0,2,100,0.9774633285236919
aes,1_synth,0.6,0,3,100,0.8572863928494041
aes,1_synth,0.6,0,4,100,0.9773966110831305
aes,1_synth,0.6,0,5,100,0.992254206909069
aes,1_synth,0.6,0,6,100,0.9729010105638466
aes,1_synth,0.6,0,7,100,0.9760520547082913
aes,1_synth,0.6,1,2,100,0.9778964399437937
aes,1_synth,0.6,1,3,100,0.8576852177640364
aes,1_synth,0.6,1,4,100,0.9770882549634454
aes,1_synth,0.6,1,5,100,0.9928289384257204
aes,1_synth,0.6,1,6,100,0.9721902673279715
aes,1_synth,0.6,1,7,100,0.9764870518327623
aes,1_synth,0.6,2,3,100,0.8796714263003049
aes,1_synth,0.6,2,4,100,0.9988370496764696
aes,1_synth,0.6,2,5,100,0.9710744566431757
aes,1_synth,0.6,2,6,100,0.9938717397873527
aes,1_synth,0.6,2,7,100,0.9978626412375151
aes,1_synth,0.6,3,4,100,0.8786403798494231
aes,1_synth,0.6,3,5,100,0.8510821980140237
aes,1_synth,0.6,3,6,100,0.8738202083580442
aes,1_synth,0.6,3,7,100,0.8778087213910892
aes,1_synth,0.6,4,5,100,0.9704504635337279
aes,1_synth,0.6,4,6,100,0.9938665271396103
aes,1_synth,0.6,4,7,100,0.9973559738883264
aes,1_synth,0.6,5,6,100,0.9759096109744108
aes,1_synth,0.6,5,7,100,0.972794650581347
aes,1_synth,0.6,6,7,100,0.9925916085747826
aes,1_synth,0.9,0,1,100,0.9733455167403982
aes,1_synth,0.9,0,2,100,0.9482655768093046
aes,1_synth,0.9,0,3,100,0.9024346025118877
aes,1_synth,0.9,0,4,100,0.9483256448127841
aes,1_synth,0.9,0,5,100,0.9450635748409296
aes,1_synth,0.9,0,6,100,0.9459933631864895
aes,1_synth,0.9,0,7,100,0.9410416408167415
aes,1_synth,0.9,1,2,100,0.951385064430752
aes,1_synth,0.9,1,3,100,0.9057139396091801
aes,1_synth,0.9,1,4,100,0.9433237209243953
aes,1_synth,0.9,1,5,100,0.9520496391380542
aes,1_synth,0.9,1,6,100,0.9392243630262096
aes,1_synth,0.9,1,7,100,0.9459256070897422
aes,1_synth,0.9,2,3,100,0.927421727886379
aes,1_synth,0.9,2,4,100,0.9667366524307035
aes,1_synth,0.9,2,5,100,0.9317737374415618
aes,1_synth,0.9,2,6,100,0.9574656804207117
aes,1_synth,0.9,2,7,100,0.9635461699244078
aes,1_synth,0.9,3,4,100,0.9138275705723354
aes,1_synth,0.9,3,5,100,0.8872030484209547
