# start	end	slack_synth_ns	slack_route_ns
core.enc_block.sword_ctr_reg[I]	core.keymem.key_mem[I][J]	-0.387938	-0.425738
core.aes_core_ctrl_reg[I]	core.keymem.key_mem[I][J]	-0.345034	-0.410213
init_reg	core.keymem.key_mem[I][J]	-0.341837	-0.402148
core.enc_block.block_wI_reg[J]	core.keymem.key_mem[I][J]	-0.338328	-0.353940
core.enc_block.enc_ctrl_reg[I]	core.keymem.key_mem[I][J]	-0.328751	-0.410886
core.dec_block.sword_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.323040	-0.282960
core.enc_block.sword_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	-0.321984	-0.382630
core.enc_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.298021	-0.267495
core.dec_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.287776	-0.290454
encdec_reg	core.dec_block.block_wI_reg[J]	-0.282742	-0.304339
init_reg	core.keymem.prev_keyI_reg[J]	-0.280430	-0.371639
core.aes_core_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	-0.271304	-0.358052
core.enc_block.block_wI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.269502	-0.298189
core.enc_block.enc_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	-0.268492	-0.354702
core.keymem.prev_keyI_reg[J]	core.keymem.key_mem[I][J]	-0.264530	-0.345843
core.dec_block.dec_ctrl_reg[I]	core.dec_block.block_wI_reg[J]	-0.248166	-0.165559
core.keymem.prev_keyI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.205451	-0.310979
core.enc_block.sword_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.179221	-0.307581
address[I]	read_data[I]	-0.151681	-0.202340
init_reg	core.enc_block.block_wI_reg[J]	-0.151607	-0.283128
core.aes_core_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.146297	-0.277535
core.enc_block.enc_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.139669	-0.284563
core.dec_block.block_wI_reg[J]	core.dec_block.block_wI_reg[J]	-0.138331	-0.209844
core.enc_block.block_wI_reg[J]	core.enc_block.block_wI_reg[J]	-0.126740	-0.210913
core.keymem.prev_keyI_reg[J]	core.enc_block.block_wI_reg[J]	-0.061852	-0.176442
we	read_data[I]	-0.057916	-0.083902
cs	read_data[I]	-0.047455	-0.064433
core.enc_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.046588	-0.025592
core.keymem.key_mem[I][J]	core.dec_block.block_wI_reg[J]	-0.045442	-0.085173
core.dec_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.037982	-0.036435
encdec_reg	core.enc_block.block_wI_reg[J]	-0.037767	-0.052651
keylen_reg	read_data[I]	0.067009	0.006400
address[I]	key_reg[I][J]	0.079640	0.254121
core.keymem.round_ctr_reg[I]	core.keymem.key_mem[I][J]	0.082409	0.030323
address[I]	block_reg[I][J]	0.093914	0.255360
cs	key_reg[I][J]	0.094844	0.317751
we	key_reg[I][J]	0.095244	0.317829
core.keymem.round_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	0.106403	0.089500
keylen_reg	core.enc_block.block_wI_reg[J]	0.136205	0.107130
cs	block_reg[I][J]	0.167799	0.360016
we	block_reg[I][J]	0.169299	0.361392
core.keymem.rcon_reg[I]	core.keymem.key_mem[I][J]	0.169956	0.170211
encdec_reg	read_data[I]	0.170342	-0.078608
core.keymem.round_ctr_reg[I]	core.keymem.rcon_reg[I]	0.187759	0.155033
address[I]	init_reg	0.195110	0.374307
address[I]	next_reg	0.195110	0.379584
address[I]	encdec_reg	0.202252	0.333321
address[I]	keylen_reg	0.202253	0.323779
keylen_reg	core.keymem.key_mem[I][J]	0.218570	0.193242
keylen_reg	core.keymem.prev_keyI_reg[J]	0.245529	0.195102
core.keymem.round_ctr_reg[I]	core.keymem.round_ctr_reg[I]	0.251149	0.342122
result_reg[I]	read_data[I]	0.256315	-0.036718
core.keymem.rcon_reg[I]	core.keymem.prev_keyI_reg[J]	0.272793	0.225844
init_reg	read_data[I]	0.279081	-0.048870
cs	encdec_reg	0.280820	0.481327
cs	keylen_reg	0.280821	0.471785
next_reg	read_data[I]	0.281427	-0.049388
we	encdec_reg	0.282320	0.482704
we	keylen_reg	0.282321	0.473162
keylen_reg	core.keymem.rcon_reg[I]	0.287861	0.192244
core.dec_block.sword_ctr_reg[I]	core.dec_block.round_ctr_reg[I]	0.309445	0.371846
ready_reg	read_data[I]	0.312071	0.016859
