# start	end	slack_synth_ns	slack_route_ns
uI.mul_a[J]	uI.product_a[J]	-0.605278	-0.459104
uI.mul_b[J]	uI.product_a[J]	-0.603297	-0.455643
uI.mul_a[J]	uI.product_c[J]	-0.574227	-0.466983
uI.mul_b[J]	uI.product_c[J]	-0.572246	-0.439437
uI.mul_a[J]	uI.product_b[J]	-0.558450	-0.467887
uI.mul_b[J]	uI.product_b[J]	-0.556469	-0.432247
uI.mul_a[J]	uI.product_e[J]	-0.536732	-0.438040
uI.mul_b[J]	uI.product_e[J]	-0.534752	-0.454378
uI.mul_a[J]	uI.product_j[J]	-0.519232	-0.328584
uI.mul_b[J]	uI.product_j[J]	-0.517252	-0.387742
uI.mul_a[J]	uI.product_g[J]	-0.461600	-0.411054
uI.mul_b[J]	uI.product_g[J]	-0.459619	-0.406300
uI.mul_a[J]	uI.product_f[J]	-0.445562	-0.415161
uI.mul_b[J]	uI.product_f[J]	-0.443582	-0.416491
uI.mul_a[J]	uI.product_i[J]	-0.383170	-0.300505
uI.mul_b[J]	uI.product_i[J]	-0.374951	-0.357518
uI.mul_a[J]	uI.product_h[J]	-0.329498	-0.311491
uI.mul_b[J]	uI.product_h[J]	-0.327518	-0.331275
uI.dividend_reg[J]	uI.remainder_msb	0.121152	0.118414
uI.dividend_reg[J]	uI.dividend_reg[J]	0.128139	0.076300
uI.divisor_reg[J]	uI.remainder_msb	0.134502	0.148861
uI.dividend_reg[J]	uI.quotient[J]	0.137533	0.099875
uI.mul_a[J]	uI.product_d[J]	0.138704	0.040650
uI.mul_b[J]	uI.product_d[J]	0.138715	-0.095450
uI.divisor_reg[J]	uI.dividend_reg[J]	0.141488	0.106748
uI.dividend_a[J]	uI.dividend_shift_J[K]	0.141797	0.142463
uI.exponent_J[K]	uI.product_J[K]	0.144327	0.147484
uI.divisor_reg[J]	uI.quotient[J]	0.150883	0.130323
uI.diff[J]	uI.diff_shift_J[K]	0.159789	0.141233
uI.divisor_b[J]	uI.divisor_shift_J[K]	0.162919	0.133052
uI.minuend[J]	uI.diff[J]	0.178540	0.119513
uI.product_h[J]	uI.sum_J[K]	0.193946	0.128255
uI.subtra_shift_J[K]	uI.diff[J]	0.199307	0.159095
uI.sum_J[K]	uI.sum_J[K]	0.199716	0.115653
uI.remainder_shift_term[J]	uI.remainder_b[J]	0.201974	0.180069
uI.exponent_small[J]	uI.exponent_diff[J]	0.211884	0.176918
uI.large_add[J]	uI.sum[J]	0.215989	0.156300
uI.exponent_large[J]	uI.exponent_diff[J]	0.220517	0.187099
uI.large_norm_small_denorm	uI.exponent_diff[J]	0.221643	0.194725
uI.small_shift_J[K]	uI.sum[J]	0.221643	0.166914
uI.diffshift_gt_exponent	uI.diff_J[K]	0.224414	0.176157
uI.product_shift_J[K]	uI.product_J[K]	0.228625	0.202758
rst	uI.mana_gtet_manb	0.230264	0.444644
rst	uI.small_shift[J]	0.235437	0.484219
rst	uI.expon_uf_term_J[K]	0.236065	0.452404
rst	uI.expon_final_J[K]	0.236081	0.421743
rst	uI.dividend_reg[J]	0.237112	0.438551
rst	uI.count_out[J]	0.237517	0.559179
rst	uI.sum[J]	0.237576	0.444265
rst	uI.sum_J[K]	0.240504	0.402581
mantissa_round[I]	uI.sum_round[J]	0.241616	0.194926
uI.product_e[J]	uI.sum_J[K]	0.241874	0.146913
uI.product_j[J]	uI.sum_J[K]	0.244041	0.194061
rst	uI.out_J[K]	0.244963	0.455550
rst	uI.divisor_reg[J]	0.245458	0.464844
rst	uI.subtra_shift[J]	0.245499	0.442786
rst	uI.a_gtet_b	0.245537	0.465036
rst	uI.a_is_norm	0.245657	0.579099
rst	uI.b_is_norm	0.245657	0.579792
rst	uI.product_e[J]	0.245657	0.433013
rst	uI.product_j[J]	0.245657	0.481509
rst	uI.product_lsb	0.245657	0.461351
rst	uI.diff[J]	0.246142	0.441876
rst	uI.enable_trigger	0.246410	0.468772
rst	uI.underflow_trigger	0.246410	0.465467
rst	uI.invalid_trigger	0.247108	0.513137
rst	count_ready[I]	0.248208	0.497064
rst	ready_I	0.248208	0.498128
rst	uI.product_f[J]	0.249650	0.473533
rst	uI.product_g[J]	0.249650	0.413120
rst	uI.product_h[J]	0.249650	0.454006
rst	uI.product_i[J]	0.249650	0.457797
rst	uI.product_b[J]	0.250796	0.439384
rst	uI.small_shift_J[K]	0.251775	0.447789
uI.diff_shift_J[K]	uI.diff_J[K]	0.253417	0.216037
uI.product_c[J]	uI.sum_J[K]	0.253444	0.169544
rst	uI.product_J[K]	0.245657	0.407587
rst	uI.exponent_diff[J]	0.255056	0.471995
uI.product_a[J]	uI.sum_J[K]	0.255273	0.137722
rst	uI.opa_SNaN	0.257793	0.461529
uI.product_g[J]	uI.sum_J[K]	0.257907	0.208023
uI.product_b[J]	uI.sum_J[K]	0.258621	0.131232
rst	uI.mantissa_large[J]	0.259177	0.447955
rst	uI.expon_term[J]	0.259600	0.467560
rst	uI.exponent_terms[J]	0.259757	0.519215
rst	uI.exponent[J]	0.259762	0.452754
rst	uI.exponent_J[K]	0.255056	0.410373
rst	uI.opa_QNaN	0.262036	0.465763
rst	uI.sum_round[J]	0.262724	0.498388
rst	uI.remainder_b[J]	0.263191	0.428214
rst	uI.dividend_shift_J[K]	0.263225	0.458336
rst	uI.a_NaN	0.263305	0.544395
rst	uI.diff_J[K]	0.263335	0.465126
rst	uI.NaN_out_trigger	0.263342	0.525124
rst	uI.subtra_shift_J[K]	0.263363	0.426648
rst	uI.divisor_shift_J[K]	0.263367	0.477956
rst	uI.NaN_output[J]	0.263436	0.475347
rst	uI.quotient[J]	0.263811	0.475402
rst	fpu_op_reg[I]	0.264504	0.517826
out[I]	out[I]	0.487458	0.146562
ready	ready	0.489612	0.149054
overflow	overflow	0.487458	0.153699
invalid	invalid	0.487458	0.155841
exception	exception	0.487458	0.158075
underflow	underflow	0.487458	0.163638
inexact	inexact	0.487458	0.164973
uI.exponent_large[J]	uI.diff_J[K]	0.265368	0.172922
uI.dividend_shift_J[K]	uI.dividend_a_shifted[J]	0.272701	0.217072
uI.divisor_shift_J[K]	uI.divisor_b_shifted[J]	0.272701	0.219015
uI.product_i[J]	uI.sum_J[K]	0.292734	0.229785
uI.product_f[J]	uI.sum_J[K]	0.301300	0.230544
uI.exponent_diff[J]	uI.small_shift[J]	0.274327	0.234357
uI.exponent_diff[J]	uI.subtra_shift[J]	0.278248	0.243426
uI.product_J[K]	uI.product_J[K]	0.228625	0.202758
mul_enable	uI.product_J[K]	0.482611	0.255780
uI.expon_uf_term_J[K]	uI.mantissa_J[K]	0.285487	0.256998
mul_enable	uI.mul_b[J]	0.518240	0.257028
mul_enable	uI.mantissa_b[J]	0.512424	0.262554
mul_enable	uI.mul_a[J]	0.518240	0.266209
mul_enable	uI.mantissa_a[J]	0.512424	0.266881
opb_reg[I]	uI.divisor_reg[J]	0.397303	0.273188
uI.product_d[J]	uI.sum_J[K]	0.317241	0.273489
uI.enable_reg_J	uI.mantissa_b[J]	0.494007	0.276256
uI.enable_reg_J	uI.divisor_b[J]	0.491750	0.276858
mul_enable	uI.sum_J[K]	0.493623	0.277200
sub_enable	uI.diff_J[K]	0.496793	0.286439
mul_enable	uI.product[J]	0.516418	0.292946
uI.product[J]	uI.product_J[K]	0.341161	0.295289
opa_reg[I]	uI.exponent_out[J]	0.436053	0.297424
sub_enable	uI.mantissa_small[J]	0.557049	0.301095
opb_reg[I]	uI.b_is_zero	0.444942	0.301887
opb_reg[I]	uI.opb_pos_inf	0.472476	0.302017
uI.exponent_J[K]	uI.exponent_J[K]	0.211884	0.176918
uI.b_is_norm	uI.exponent_terms[J]	0.317413	0.303098
uI.a_is_norm	uI.exponent_terms[J]	0.321082	0.306762
opb_reg[I]	uI.opb_neg_inf	0.472476	0.308115
sub_enable	uI.mantissa_large[J]	0.556991	0.308306
sub_enable	uI.subtrahend[J]	0.567473	0.308680
sub_enable	uI.mantissa_a[J]	0.567473	0.310238
sub_enable	uI.mantissa_b[J]	0.567473	0.310851
uI.enable_reg_J	uI.remainder_b[J]	0.518642	0.310988
uI.enable_reg_J	uI.divisor_b_shifted[J]	0.490374	0.313433
opb_reg[I]	uI.opb_inf	0.487048	0.316090
opb_reg[I]	uI.expon_final_J[K]	0.406925	0.316515
op_enable	uI.opa_SNaN	0.543601	0.316802
op_enable	uI.in_et_zero	0.583847	0.317169
opa_reg[I]	uI.dividend_reg[J]	0.371525	0.319365
add_enable	uI.mantissa_b[J]	0.580925	0.321002
op_enable	uI.opa_QNaN	0.547844	0.321036
