# start	end	slack_synth_ns	slack_route_ns
fdct_zigzag.dct_mod.ddin[I]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	-1.080011	-0.403601
fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	-0.376352	-0.295078
fdct_zigzag.dct_mod.ddin[I]	fdct_zigzag.dct_mod.ddin[I]	-0.056657	0.422437
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.coef[K]	0.057395	0.315679
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.result[K]	0.059428	0.321288
ena	qnr.divider.q[I]	0.066636	0.430740
ena	rle.rle.den	0.067690	0.422713
ena	qnr.divider.divider.s_pipe[I][J]	0.069121	0.338765
ena	rle.rle.amp[I]	0.069692	0.417248
ena	fdct_zigzag.dct_mod.dct_block_I.dct_unit_J.macu.mult_res[K]	0.069741	0.320269
ena	rle.rle.size[I]	0.073681	0.380717
ena	rle.rzI.state	0.074383	0.381416
ena	rle.rle.zero_cnt[I]	0.080007	0.373263
ena	rle.rle.rlen[I]	0.080469	0.378396
ena	rle.rle.sample_cnt[I]	0.080705	0.378136
ena	rle.rle.dcterm	0.082466	0.385715
ena	qnr.dep[I]	0.082792	0.369199
ena	fdct_zigzag.dct_mod.douten	0.083693	0.465615
ena	qnr.divider.iz[I]	0.083931	0.363436
ena	rle.rzI.den	0.084858	0.349083
ena	qnr.rq[I]	0.085318	0.365117
ena	fdct_zigzag.dct_mod.sample_cnt[I]	0.086652	0.344005
ena	fdct_zigzag.dct_mod.ddcnt	0.092006	0.391441
ena	fdct_zigzag.dct_mod.ddgo	0.096748	0.378857
ena	fdct_zigzag.dct_mod.ddin[I]	0.096748	0.361679
ena	fdct_zigzag.dct_mod.dgo	0.096748	0.367708
ena	fdct_zigzag.dct_mod.go	0.096748	0.367605
ena	rle.rzI.deno	0.096748	0.370228
ena	qnr.divider.spipe[I]	0.097007	0.405504
ena	fdct_zigzag.zigzag_mod.ld_zigzag	0.097007	0.447975
ena	fdct_zigzag.zigzag_mod.sresult[I][J]	0.097008	0.322231
ena	qnr.divider.divider.d_pipe[I][J]	0.097008	0.346081
ena	qnr.divider.divider.q[I]	0.097008	0.363655
ena	qnr.divider.divider.q_pipe[I][J]	0.097008	0.347412
ena	qnr.divider.id[I]	0.097008	0.400497
ena	rle.rzI.ampo[J]	0.097008	0.363557
ena	rle.rzI.dc	0.097008	0.373490
ena	rle.rzI.dco	0.097008	0.370175
ena	rle.rzI.rleno[J]	0.097008	0.365867
ena	rle.rzI.sizeo[J]	0.097008	0.365099
ena	fdct_zigzag.dct_mod.dddcnt	0.097105	0.439644
ena	dfdct_dout[I]	0.100901	0.400993
