# start	end	slack_synth_ns	slack_route_ns
core.w_mem_inst.w_mem[I][J]	core.a_reg[I]	-1.081769	-0.810667
core.w_mem_inst.w_mem[I][J]	core.e_reg[I]	-0.888267	-0.753767
core.w_mem_inst.w_ctr_reg[I]	core.a_reg[I]	-0.725148	-0.613492
core.round_ctr_reg[I]	core.a_reg[I]	-0.665985	-0.430539
core.w_mem_inst.w_ctr_reg[I]	core.e_reg[I]	-0.567691	-0.547645
core.round_ctr_reg[I]	core.e_reg[I]	-0.508528	-0.367630
core.e_reg[I]	core.a_reg[I]	-0.381575	-0.316187
core.f_reg[I]	core.a_reg[I]	-0.337074	-0.317708
core.g_reg[I]	core.a_reg[I]	-0.330111	-0.314240
core.e_reg[I]	core.e_reg[I]	-0.224120	-0.259284
address[I]	read_data[I]	-0.212857	-0.297200
core.f_reg[I]	core.e_reg[I]	-0.179619	-0.251491
core.g_reg[I]	core.e_reg[I]	-0.172656	-0.248023
address[I]	error	-0.027442	-0.037475
core.h_reg[I]	core.a_reg[I]	-0.013961	0.009209
we	read_data[I]	0.123947	0.044656
core.h_reg[I]	core.e_reg[I]	0.143495	0.052675
cs	read_data[I]	0.145229	0.079537
we	error	0.210476	0.069399
cs	error	0.253709	0.121561
address[I]	block_reg[I][J]	0.323103	0.388087
address[I]	work_factor_num_reg[I]	0.398176	0.646761
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_mem[I][J]	0.475312	0.288718
core.a_reg[I]	core.a_reg[I]	0.513530	0.433334
address[I]	work_factor_reg	0.541525	0.770021
address[I]	mode_reg[I]	0.541884	0.770885
address[I]	init_reg	0.570841	0.797979
address[I]	next_reg	0.570841	0.795936
block_reg[I][J]	read_data[I]	0.586932	0.189891
digest_reg[I]	read_data[I]	0.592667	0.180061
core.c_reg[I]	core.a_reg[I]	0.593062	0.573654
core.b_reg[I]	core.a_reg[I]	0.593464	0.570580
cs	block_reg[I][J]	0.602457	0.697177
we	block_reg[I][J]	0.605221	0.717943
we	work_factor_num_reg[I]	0.643481	0.862455
cs	work_factor_num_reg[I]	0.663589	0.893144
init_reg	read_data[I]	0.751099	0.351815
core.g_reg[I]	core.HI_reg[J]	0.760522	0.492341
next_reg	read_data[I]	0.761566	0.381807
core.c_reg[I]	core.HI_reg[J]	0.766024	0.554392
core.HI_reg[J]	core.HI_reg[J]	0.767145	0.508334
core.d_reg[I]	core.e_reg[I]	0.773974	0.725153
core.d_reg[I]	core.HI_reg[J]	0.779699	0.578422
work_factor_num_reg[I]	read_data[I]	0.783877	0.377629
core.f_reg[I]	core.HI_reg[J]	0.787980	0.528231
core.h_reg[I]	core.HI_reg[J]	0.790558	0.453904
digest_valid_reg	read_data[I]	0.792134	0.405502
ready_reg	read_data[I]	0.799492	0.397730
cs	work_factor_reg	0.799953	1.019097
cs	mode_reg[I]	0.800312	1.019961
we	work_factor_reg	0.800963	1.038098
we	mode_reg[I]	0.801321	1.038962
write_data[I]	block_reg[I][J]	0.803648	0.870848
write_data[I]	work_factor_num_reg[I]	0.803648	0.901090
core.e_reg[I]	core.HI_reg[J]	0.803881	0.419351
mode_reg[I]	read_data[I]	0.813787	0.442573
core.b_reg[I]	core.HI_reg[J]	0.827458	0.638037
work_factor_reg	read_data[I]	0.827614	0.451523
cs	init_reg	0.829269	1.047055
cs	next_reg	0.829269	1.045012
we	init_reg	0.830279	1.066057
we	next_reg	0.830279	1.064013
write_data[I]	init_reg	0.840015	1.118803
write_data[I]	next_reg	0.840015	1.098449
work_factor_num_reg[I]	core.b_reg[I]	0.847436	0.514207
work_factor_num_reg[I]	core.d_reg[I]	0.847443	0.525344
work_factor_num_reg[I]	core.c_reg[I]	0.848420	0.525662
work_factor_num_reg[I]	core.a_reg[I]	0.849754	0.512743
work_factor_num_reg[I]	core.e_reg[I]	0.849754	0.542968
work_factor_num_reg[I]	core.f_reg[I]	0.849754	0.491390
work_factor_num_reg[I]	core.w_mem_inst.w_mem[I][J]	0.849754	0.501072
core.work_factor_ctr_reg[I]	core.b_reg[I]	0.852208	0.531776
core.work_factor_ctr_reg[I]	core.d_reg[I]	0.852215	0.542913
core.work_factor_ctr_reg[I]	core.c_reg[I]	0.853192	0.543231
core.work_factor_ctr_reg[I]	core.a_reg[I]	0.854527	0.530312
core.work_factor_ctr_reg[I]	core.e_reg[I]	0.854527	0.560537
core.work_factor_ctr_reg[I]	core.f_reg[I]	0.854527	0.508959
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_mem[I][J]	0.854527	0.518641
core.a_reg[I]	core.HI_reg[J]	0.860878	0.593948
write_data[I]	work_factor_reg	0.862063	1.106367
write_data[I]	mode_reg[I]	0.862419	1.069897
work_factor_num_reg[I]	core.g_reg[I]	0.869349	0.490051
work_factor_num_reg[I]	core.h_reg[I]	0.869389	0.490133
core.work_factor_ctr_reg[I]	core.g_reg[I]	0.874121	0.507620
core.work_factor_ctr_reg[I]	core.h_reg[I]	0.874162	0.507701
work_factor_num_reg[I]	core.HI_reg[J]	0.874352	0.634070
core.work_factor_ctr_reg[I]	core.HI_reg[J]	0.879124	0.638046
work_factor_num_reg[I]	core.round_ctr_reg[I]	0.881224	0.627921
work_factor_num_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.884006	0.636065
core.work_factor_ctr_reg[I]	core.round_ctr_reg[I]	0.885996	0.645489
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.888778	0.653634
work_factor_num_reg[I]	core.digest_valid_reg	0.913521	0.955041
work_factor_num_reg[I]	core.ready_reg	0.913871	0.956428
core.work_factor_ctr_reg[I]	core.digest_valid_reg	0.918293	0.972609
core.work_factor_ctr_reg[I]	core.ready_reg	0.918643	0.973997
reset_n	core.ready_reg	1.030390	1.005851
reset_n	core.shaI_ctrl_reg[J]	1.030390	1.045419
reset_n	mode_reg[I]	1.030390	0.989719
reset_n	work_factor_num_reg[I]	1.030390	0.923861
reset_n	block_reg[I][J]	1.042028	0.880871
core.w_mem_inst.w_ctr_reg[I]	core.w_mem_inst.w_mem[I][J]	1.094315	0.759825
core.round_ctr_reg[I]	core.work_factor_ctr_reg[I]	1.059601	0.802551
init_reg	core.HI_reg[J]	1.116143	0.805526
core.shaI_ctrl_reg[J]	core.HI_reg[J]	1.122983	0.808185
work_factor_reg	core.g_reg[I]	1.164743	0.817749
work_factor_reg	core.h_reg[I]	1.164783	0.817830
init_reg	core.h_reg[I]	1.137460	0.818886
work_factor_reg	core.f_reg[I]	1.145149	0.819088
core.shaI_ctrl_reg[J]	core.h_reg[I]	1.148241	0.821545
init_reg	core.g_reg[I]	1.144599	0.825075
core.shaI_ctrl_reg[J]	core.g_reg[I]	1.151951	0.827734
work_factor_reg	core.w_mem_inst.w_mem[I][J]	1.145149	0.828769
work_factor_reg	core.a_reg[I]	1.145149	0.840440
work_factor_reg	core.b_reg[I]	1.142830	0.841904
init_reg	core.a_reg[I]	1.129820	0.842947
core.shaI_ctrl_reg[J]	core.a_reg[I]	1.132357	0.845606
work_factor_reg	core.d_reg[I]	1.142837	0.853042
work_factor_reg	core.c_reg[I]	1.143814	0.853359
init_reg	core.c_reg[I]	1.115554	0.856846
core.shaI_ctrl_reg[J]	core.f_reg[I]	1.126442	0.859865
init_reg	core.b_reg[I]	1.127501	0.860694
init_reg	core.e_reg[I]	1.129820	0.865776
reset_n	core.HI_reg[J]	1.042028	0.867981
work_factor_reg	core.e_reg[I]	1.145149	0.870665
