# start	end	slack_synth_ns	slack_route_ns
acs_inst_I.pm_r[J]	pm_normalize_inst.pm_nom_r[I][J]	-2.457875	-0.948660
register_num_i[I]	pm_normalize_inst.pm_nom_r[I][J]	-1.055834	0.361887
src_rdata_i[I]	bmu_inst_I.bm_r[J]	-0.265147	0.120663
register_num_i[I]	acs_inst_I.pm_r[J]	-0.089627	0.270076
register_num_i[I]	acs_inst_I.survivor_path_r	-0.037504	0.315741
bmu_inst_I.bm_r[J]	acs_inst_I.pm_r[J]	0.539338	0.747758
bmu_inst_I.bm_r[J]	acs_inst_I.survivor_path_r	0.591460	0.788806
frame_start_i	fetch_src_cnt_r[I]	0.626401	0.731361
rst_sync_i	fetch_src_cnt_r[I]	0.627251	0.720280
register_num_i[I]	bmu_inst_I.low_codeword_tmp[J]	0.628173	0.458637
infobit_length_i[I]	src_addr_r[I]	0.639365	0.872906
frame_start_i	pm_normalize_inst.pm_nom_r[I][J]	0.646490	0.614209
polynomialI_i[J]	bmu_inst_I.low_codeword_tmp[J]	0.652510	0.765756
tail_biting_en_i	pm_normalize_inst.pm_nom_r[I][J]	0.664863	0.730206
rst_sync_i	pm_normalize_inst.pm_nom_r[I][J]	0.673872	0.540527
valid_polynomials_i[I]	bmu_inst_I.bm_r[J]	0.678635	0.647934
infobit_length_i[I]	src_len_counter_r[I]	0.693703	0.895146
valid_polynomials_i[I]	bmu_inst_I.low_codeword[J]	0.699836	0.747989
frame_start_i	src_addr_r[I]	0.703718	0.833073
register_num_i[I]	acs_en_r[I]	0.710938	0.654457
rst_sync_i	bmu_inst_I.low_codeword_tmp[J]	0.715971	0.767572
rst_sync_i	src_addr_r[I]	0.721690	0.854853
rst_sync_i	bmu_inst_I.low_codeword[J]	0.730987	0.716414
rst_sync_i	acs_inst_I.pm_r[J]	0.736638	0.752463
acs_inst_I.valid_r	tb_addr_o[I]	0.739569	0.597488
rst_sync_i	bmu_inst_I.bm_r[J]	0.771403	0.716563
bmu_inst_I.low_codeword[J]	bmu_inst_I.bm_r[J]	0.781233	0.680300
frame_start_i	dst_addr_r[I]	0.781983	0.847266
rst_sync_i	acs_inst_I.survivor_path_r	0.783790	0.802512
rst_sync_i	src_len_counter_r[I]	0.791553	0.830430
rst_sync_i	bmu_inst_I.calc_codeword_en	0.791688	0.814544
frame_start_i	src_len_counter_r[I]	0.795107	0.894101
frame_start_i	trellis_idx_r[I]	0.800160	0.846684
rst_sync_i	dst_addr_r[I]	0.804994	0.872423
frame_start_i	state_r[I]	0.812756	0.989400
rst_sync_i	first_loop_r	0.822591	1.151514
rst_sync_i	full_tb_start_r	0.822591	1.150589
rst_sync_i	state_r[I]	0.822591	0.927705
rst_sync_i	trellis_idx_r[I]	0.823171	0.813688
rst_sync_i	bmu_inst_I.ready_r	0.824328	1.145076
rst_sync_i	acs_en_r[I]	0.825602	0.961870
frame_start_i	first_loop_r	0.826146	1.175391
frame_start_i	full_tb_start_r	0.826146	1.174466
rst_sync_i	acs_inst_I.valid_r	0.827021	0.990070
frame_start_i	bmu_inst_I.ready_r	0.827883	1.168953
frame_start_i	acs_en_r[I]	0.829157	0.936713
tail_biting_en_i	trellis_idx_r[I]	0.838421	1.090626
rst_sync_i	byte_idx_r[I]	0.840912	1.091374
frame_start_i	byte_idx_r[I]	0.844467	1.115251
frame_start_i	src_rd_r	0.848778	0.918868
rst_sync_i	traceback_ins.tb_counter_r[I]	0.851874	1.086721
frame_start_i	tb_len_r[I]	0.852741	1.006114
rst_sync_i	traceback_ins.tb_addr_r[I]	0.852842	1.209697
rst_sync_i	tb_len_r[I]	0.853592	0.935529
frame_start_i	frame_done_r	0.854895	1.008404
frame_start_i	tb_wr_addr_r[I]	0.854895	1.012196
rst_sync_i	frame_done_r	0.855839	0.964034
rst_sync_i	tb_wr_addr_r[I]	0.855839	0.967427
frame_start_i	flush_all_start_r	0.863119	1.030825
frame_start_i	half_tb_start_r	0.863119	1.030199
frame_start_i	last_loop_r	0.863119	1.021256
rst_sync_i	traceback_ins.tb_rd_r	0.863687	1.262914
rst_sync_i	decoding_start_r	0.863799	1.200887
rst_sync_i	flush_all_start_r	0.863970	0.989804
rst_sync_i	half_tb_start_r	0.863970	0.989173
rst_sync_i	last_loop_r	0.863970	0.979822
rst_sync_i	traceback_start_r	0.864127	1.191325
rst_sync_i	busy_r	0.864387	1.196491
rst_sync_i	dst_wr_r	0.869876	1.121273
rst_sync_i	src_rd_r	0.871790	0.944025
frame_start_i	dst_wr_r	0.873430	1.145150
frame_start_i	bmu_inst_I.calc_polyn_en	0.874131	0.950887
rst_sync_i	bmu_inst_I.calc_polyn_en	0.897142	0.976044
frame_start_i	busy_r	0.903026	1.124511
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.pm_r[J]	0.903555	0.787968
rst_sync_i	dst_wr_dI_r	0.906121	1.140641
rst_sync_i	bmu_ready_dI_r	0.915408	1.163143
infobit_length_i[I]	trellis_idx_r[I]	0.926867	1.146626
decoding_length_i[I]	trellis_idx_r[I]	0.943502	1.170154
pm_normalize_inst.pm_nom_r[I][J]	acs_inst_I.survivor_path_r	0.955677	0.831651
rst_sync_i	soft_data_valid_r	0.958116	1.132703
rst_sync_i	bmu_inst_I.bm_valid_r	0.958181	1.117030
tb_wr_addr_r[I]	tb_addr_o[I]	0.962782	0.672460
traceback_ins.tb_addr_r[I]	tb_addr_o[I]	0.991171	0.682463
dst_start_addr_i[I]	dst_addr_r[I]	0.993176	1.234208
src_start_addr_i[I]	src_addr_r[I]	1.008516	1.261115
acs_inst_I.survivor_path_r	tb_wdata_o[I]	1.019597	0.703865
dst_addr_r[I]	dst_addr_o[I]	1.020753	0.708915
src_addr_r[I]	src_addr_o[I]	1.020800	0.705650
src_rd_r	src_rd_o	1.028280	0.723657
frame_done_r	frame_done_o	1.034576	0.733482
busy_r	busy_o	1.034647	0.736228
