# start	end	slack_synth_ns	slack_route_ns
rst_i	uI.csr_r[J]	-7.552693	0.608181
rst_i	uI.int_maska_r[J]	-7.552693	0.602791
rst_i	uI.int_maskb_r[J]	-7.552693	0.597857
rst_i	uI.uJ.ch_csr_rK[L]	-7.552693	0.534524
rst_i	uI.uJ.ch_done	-7.552693	0.581005
rst_i	uI.uJ.ch_eol	-7.552693	0.565645
rst_i	uI.uJ.int_src_r[K]	-7.552693	0.534447
rst_i	uI.uJ.ptr_valid	-7.552693	0.566629
rst_i	uI.uJ.rest_en	-7.552693	0.566653
rst_i	uI.uJ.sw_pointer_r[K]	-7.552693	0.539981
rst_i	uI.uJ.ch_err	-7.552693	0.599081
rst_i	uI.ch_sel_r[J]	-7.552693	0.604700
rst_i	uI.uJ.state[K]	-7.552693	0.600745
rst_i	uI.state[J]	-7.552693	0.599025
rst_i	uI.uJ.ch_amK_r[L]	-5.683684	0.531948
uI.state[J]	wbIs_data_o[J]	-0.320667	-0.533649
uI.uJ.pri_outK[L]	wbIs_data_o[J]	-0.238457	-0.457074
uI.uJ.state[K]	wbIs_data_o[J]	-0.222239	-0.446526
uI.ch_sel_r[J]	wbIs_data_o[J]	-0.196626	-0.402170
wbI_addr_i[J]	wbIs_data_o[J]	-0.135247	-0.118042
wbI_addr_i[J]	wbI_addr_o[J]	-0.126950	-0.110561
wbI_addr_i[J]	wbI_cyc_o	-0.119818	-0.079190
wbI_addr_i[J]	wbI_err_o	-0.102915	-0.084058
wbI_addr_i[J]	wbI_rty_o	-0.102915	-0.107438
wbI_addr_i[J]	wbIm_data_o[J]	-0.097148	-0.108589
wbI_addr_i[J]	wbI_sel_o[J]	-0.082154	-0.044899
wbI_addr_i[J]	wbI_stb_o	-0.073837	-0.103596
wbI_addr_i[J]	wbI_we_o	-0.073837	-0.097077
wbI_addr_i[J]	wbI_ack_o	-0.072326	-0.102518
wbI_cyc_i	wbI_addr_o[J]	-0.071426	-0.038212
wbI_cyc_i	wbI_err_o	-0.034913	0.007012
wbI_cyc_i	wbI_rty_o	-0.034913	-0.013429
wbI_cyc_i	wbIs_data_o[J]	-0.034636	-0.032203
wbI_cyc_i	wbIm_data_o[J]	-0.032897	-0.035746
wbI_cyc_i	wbI_cyc_o	-0.029860	0.016129
wbI_cyc_i	wbI_ack_o	-0.010291	-0.030222
wbI_cyc_i	wbI_stb_o	-0.004646	-0.031294
wbI_cyc_i	wbI_we_o	-0.004646	-0.022118
wbI_cyc_i	wbI_sel_o[J]	0.018457	0.007674
uI.uJ.ch_csr_r[K]	wbIs_data_o[J]	0.025155	-0.296450
uI.state[J]	uI.mastJ_adr[K]	0.042246	-0.095609
wbI_ack_i	wbI_ack_o	0.056288	0.082325
uI.state[J]	uI.uJ.mast_stb	0.068317	-0.020211
uI.state[J]	uI.chunk_J	0.082551	-0.050641
uI.ndr_r[J]	wbIs_data_o[J]	0.084042	-0.225139
uI.state[J]	uI.uJ.mast_we_r	0.097389	0.089262
uI.state[J]	uI.adrJ_cnt[K]	0.100055	-0.078732
uI.uJ.pri_outK[L]	uI.mastJ_adr[K]	0.103047	-0.033450
uI.state[J]	uI.tsz_cnt[J]	0.106742	-0.024084
uI.state[J]	uI.uJ.ch_done	0.115000	0.066806
uI.uJ.state[K]	uI.mastJ_adr[K]	0.115279	-0.011595
uI.state[J]	uI.read_r	0.123220	0.046757
uI.state[J]	uI.uJ.mast_cyc	0.126442	0.090523
uI.uJ.pri_outK[L]	uI.uJ.mast_stb	0.129118	0.033357
uI.ch_sel_r[J]	uI.mastJ_adr[K]	0.129623	0.040569
uI.state[J]	uI.uJ.ch_txsz_s[K]	0.139183	0.048601
uI.uJ.state[K]	uI.uJ.mast_stb	0.141350	0.066912
uI.state[J]	uI.uJ.ch_csr_r[K]	0.146420	0.066905
uI.state[J]	uI.state[J]	0.147398	0.007810
uI.state[J]	uI.uJ.pointer_sr[K]	0.147466	0.031308
uI.state[J]	uI.uJ.ch_eol	0.147613	0.071270
uI.state[J]	uI.uJ.ch_chk_sz_r[K]	0.148197	-0.018310
uI.state[J]	uI.uJ.ch_adrK_s[L]	0.153434	-0.043461
uI.uJ.pri_outK[L]	uI.chunk_dec	0.154940	0.097007
uI.ch_sel_r[J]	uI.uJ.mast_stb	0.155694	0.111268
wbI_stb_i	wbI_stb_o	0.165396	0.103945
wbI_we_i	wbI_we_o	0.165396	0.095054
wbIs_data_i[J]	wbIm_data_o[J]	0.165396	0.099684
wbIm_data_i[J]	wbIs_data_o[J]	0.165778	0.093300
uI.uJ.pri_outK[L]	uI.adrJ_cnt[K]	0.166587	-0.042567
uI.state[J]	uI.uJ.ch_tot_sz_r[K]	0.166820	0.048602
uI.uJ.state[K]	uI.adrJ_cnt[K]	0.166865	-0.007876
uI.uJ.state[K]	uI.chunk_dec	0.167173	0.130562
uI.state[J]	uI.uJ.ptr_valid	0.168326	0.050660
uI.state[J]	uI.uJ.int_src_r[K]	0.170436	0.064033
uI.state[J]	uI.uJ.ch_adrK_r[L]	0.174963	-0.045841
uI.state[J]	uI.chunk_cnt[J]	0.175425	-0.042496
wbI_sel_i[J]	wbI_sel_o[J]	0.177265	0.128732
uI.uJ.pri_outK[L]	uI.uJ.pointer_sr[K]	0.180191	0.097168
uI.ch_sel_r[J]	uI.chunk_dec	0.181517	0.174918
uI.state[J]	uI.uJ.pointer_r[K]	0.183046	-0.020930
uI.uJ.pri_outK[L]	uI.read_r	0.184021	0.100325
uI.uJ.pri_outK[L]	uI.uJ.ch_chk_sz_r[K]	0.187207	0.097560
uI.uJ.state[K]	uI.tsz_cnt[J]	0.188478	0.086531
uI.state[J]	uI.ch_sel_r[J]	0.189084	0.061191
uI.uJ.pri_outK[L]	uI.uJ.ch_txsz_s[K]	0.189832	0.127665
uI.uJ.pri_outK[L]	uI.uJ.mast_we_r	0.192378	0.159925
wbI_err_i	wbI_err_o	0.192973	0.139851
wbI_rty_i	wbI_rty_o	0.192973	0.146775
uI.state[J]	uI.tsz_cnt_is_J_r	0.193033	0.211188
uI.uJ.pri_outK[L]	uI.tsz_cnt[J]	0.193091	0.054980
uI.uJ.state[K]	uI.chunk_J	0.167173	0.041608
uI.uJ.state[K]	uI.read_r	0.196253	0.133880
uI.uJ.state[K]	uI.uJ.pointer_sr[K]	0.196410	0.119022
uI.uJ.pri_outK[L]	uI.uJ.ch_tot_sz_r[K]	0.196584	0.146549
uI.uJ.state[K]	uI.uJ.ch_txsz_s[K]	0.196860	0.159217
uI.uJ.pri_outK[L]	uI.uJ.ch_done	0.197190	0.146583
uI.uJ.pri_outK[L]	uI.uJ.ch_csr_r[K]	0.197692	0.137022
uI.uJ.pri_outK[L]	uI.uJ.ch_eol	0.198872	0.145100
uI.uJ.state[K]	uI.uJ.mast_we_r	0.200074	0.198835
uI.uJ.mast_dout[K]	wbIs_data_o[J]	0.360269	-0.020332
uI.uJ.pri_outK[L]	uI.chunk_J	0.154940	0.012525
uI.uJ.slv_adr[K]	_I_	0.351677	0.033768
uI.ch_sel_r[J]	uI.adrJ_cnt[K]	0.221249	0.035648
uI.uJ.pri_outK[L]	uI.uJ.pointer_r[K]	0.214055	0.041228
uI.uJ.pri_outK[L]	uI.uJ.ch_adrK_s[L]	0.282984	0.042885
uI.uJ.pri_outK[L]	uI.chunk_cnt[J]	0.251132	0.060589
uI.uJ.state[K]	uI.uJ.pointer_r[K]	0.230274	0.063083
uI.uJ.pri_outK[L]	uI.uJ.ch_adrK_r[L]	0.252559	0.070310
uI.uJ.state[K]	uI.chunk_cnt[J]	0.281579	0.070443
