design,n_paths,wns_ns,stdcell_count,count_at_1pct,count_at_5pct,count_at_10pct,count_at_20pct,count_at_1pct_per_kcell,count_at_5pct_per_kcell,count_at_10pct_per_kcell,count_at_20pct_per_kcell
aes,1000,-0.387938,26753,432,500,500,500,16.147722,18.689493,18.689493,18.689493
bitonic_sorter,500,-0.182861,37606,270,420,500,500,7.179705,11.168431,13.295751,13.295751
double_fpu,500,-0.605278,43123,30,500,500,500,0.695684,11.594741,11.594741,11.594741
e203,1030,-3.029185,24391,1,1,1,501,0.040999,0.040999,0.040999,20.540363
jpeg_encoder,565,-1.080011,45534,23,500,500,500,0.505117,10.980806,10.980806,10.980806
reed_solomon,1000,-0.483629,48278,12,148,500,500,0.248560,3.065579,10.356684,10.356684
sha512,1000,-1.081769,27806,500,500,500,500,17.981731,17.981731,17.981731,17.981731
systolic_tpu,500,-0.645071,51395,26,500,500,500,0.505886,9.728573,9.728573,9.728573
uberddr3,500,-0.395712,51044,500,500,500,500,9.795471,9.795471,9.795471,9.795471
verilog_axi,500,-0.600372,46296,8,164,500,500,0.172801,3.542423,10.800069,10.800069
viterbi,1000,-2.457875,52216,500,500,500,500,9.575609,9.575609,9.575609,9.575609
wb_dma,1000,-7.552693,30874,500,500,500,500,16.194857,16.194857,16.194857,16.194857
