design        , n_paths, wns_ns   , stdcell_count, count_at_1pct, count_at_5pct, count_at_10pct, count_at_20pct, count_at_1pct_per_kcell, count_at_5pct_per_kcell, count_at_10pct_per_kcell, count_at_20pct_per_kcell
aes           ,     100, -0.387900,         26753,             1,             1,              1,              7,                0.037379,                0.037379,                 0.037379,                 0.261653
bitonic_sorter,       8, -0.182900,         37606,             2,             2,              2,              2,                0.053183,                0.053183,                 0.053183,                 0.053183
double_fpu    ,     100, -0.605300,         43123,             2,             2,              6,             10,                0.046379,                0.046379,                 0.139137,                 0.231895
e203          ,     100, -3.029200,         24391,             1,             1,              1,            100,                0.040999,                0.040999,                 0.040999,                 4.099873
jpeg_encoder  ,     100, -1.080000,         45534,             1,             1,              1,              1,                0.021962,                0.021962,                 0.021962,                 0.021962
reed_solomon  ,     100, -0.483600,         48278,             1,             2,              2,              2,                0.020713,                0.041427,                 0.041427,                 0.041427
sha512        ,     100, -1.081800,         27806,             1,             1,              1,              2,                0.035963,                0.035963,                 0.035963,                 0.071927
systolic_tpu  ,      88, -0.645100,         51395,             2,             2,              2,              2,                0.038914,                0.038914,                 0.038914,                 0.038914
uberddr3      ,     100, -0.395700,         51044,             1,             1,              2,              3,                0.019591,                0.019591,                 0.039182,                 0.058773
verilog_axi   ,     100, -0.600400,         46296,             1,             3,              4,              6,                0.021600,                0.064800,                 0.086401,                 0.129601
viterbi       ,     100, -2.457900,         52216,             1,             1,              1,              1,                0.019151,                0.019151,                 0.019151,                 0.019151
wb_dma        ,     100, -7.552700,         30874,            14,            14,             14,             14,                0.453456,                0.453456,                 0.453456,                 0.453456
