design,n_paths,wns_ns,stdcell_count,count_at_1pct,count_at_5pct,count_at_10pct,count_at_20pct,count_at_1pct_per_kcell,count_at_5pct_per_kcell,count_at_10pct_per_kcell,count_at_20pct_per_kcell
aes,342,-0.387900,26753,1,1,1,10,0.037379,0.037379,0.037379,0.373790
bitonic_sorter,8,-0.182900,37606,2,2,2,2,0.053183,0.053183,0.053183,0.053183
double_fpu,100,-0.605300,43123,2,2,6,10,0.046379,0.046379,0.139137,0.231895
e203,100,-3.029200,24391,1,1,1,100,0.040999,0.040999,0.040999,4.099873
jpeg_encoder,100,-1.080000,45534,1,14,57,61,0.021962,0.307463,1.251812,1.339658
reed_solomon,100,-0.483600,48278,2,3,5,18,0.041427,0.062140,0.103567,0.372841
sha512,100,-1.081800,27806,1,1,1,2,0.035963,0.035963,0.035963,0.071927
systolic_tpu,100,-0.645100,51395,2,2,2,2,0.038914,0.038914,0.038914,0.038914
uberddr3,100,-0.395700,51044,1,1,2,3,0.019591,0.019591,0.039182,0.058773
verilog_axi,100,-0.600400,46296,1,4,12,26,0.021600,0.086401,0.259202,0.561604
viterbi,100,-2.457900,52216,2,26,63,64,0.038302,0.497932,1.206527,1.225678
wb_dma,100,-7.552700,30874,100,100,100,100,3.238971,3.238971,3.238971,3.238971
