design,n_paths,wns_ns,density_at_1pct,density_at_5pct,density_at_10pct,density_at_20pct,count_at_1pct,count_at_5pct,count_at_10pct,count_at_20pct
aes,1000,-0.387938,0.432000,0.500000,0.500000,0.500000,432,500,500,500
bitonic_sorter,500,-0.182861,0.540000,0.840000,1.000000,1.000000,270,420,500,500
double_fpu,500,-0.605278,0.060000,1.000000,1.000000,1.000000,30,500,500,500
e203,1030,-3.029185,0.000971,0.000971,0.000971,0.486408,1,1,1,501
jpeg_encoder,565,-1.080011,0.040708,0.884956,0.884956,0.884956,23,500,500,500
reed_solomon,1000,-0.483629,0.012000,0.148000,0.500000,0.500000,12,148,500,500
sha512,1000,-1.081769,0.500000,0.500000,0.500000,0.500000,500,500,500,500
systolic_tpu,500,-0.645071,0.052000,1.000000,1.000000,1.000000,26,500,500,500
uberddr3,500,-0.395712,1.000000,1.000000,1.000000,1.000000,500,500,500,500
verilog_axi,500,-0.600372,0.016000,0.328000,1.000000,1.000000,8,164,500,500
viterbi,1000,-2.457875,0.500000,0.500000,0.500000,0.500000,500,500,500,500
wb_dma,1000,-7.552693,0.500000,0.500000,0.500000,0.500000,500,500,500,500
