design,n_paths,wns_ns,slack_range_ns,entropy_bits_10bins,entropy_bits_20bins,entropy_bits_50bins,entropy_norm_10bins,entropy_norm_20bins,entropy_norm_50bins
aes,1000,-0.387938,0.942266,1.000000,1.000000,1.000000,0.301030,0.231378,0.177184
bitonic_sorter,500,-0.182861,0.010857,2.305714,2.305714,2.305714,0.694089,0.533492,0.408535
double_fpu,500,-0.605278,0.013648,2.501239,3.458357,4.702438,0.752948,0.800188,0.833196
e203,1030,-3.029185,4.093634,1.210102,1.210102,1.210102,0.364277,0.279991,0.214411
jpeg_encoder,565,-1.080011,1.613239,0.514946,0.514946,0.783222,0.155014,0.119147,0.138774
reed_solomon,1000,-0.483629,0.980957,1.000000,1.000000,1.333387,0.301030,0.231378,0.236255
sha512,1000,-1.081769,2.123797,1.000000,1.000000,1.000000,0.301030,0.231378,0.177184
systolic_tpu,500,-0.645071,0.022645,2.855678,3.844607,5.137846,0.859645,0.889558,0.910343
uberddr3,500,-0.395712,0.000673,2.857613,3.673842,4.780786,0.860227,0.850047,0.847078
verilog_axi,500,-0.600372,0.041213,2.575696,3.554934,4.820306,0.775362,0.822534,0.854080
viterbi,1000,-2.457875,3.645603,1.000000,1.000000,1.000000,0.301030,0.231378,0.177184
wb_dma,1000,-7.552693,7.243637,1.000000,1.000000,1.000000,0.301030,0.231378,0.177184
