design        , n_paths, wns_ns   , slack_range_ns, entropy_bits_10bins, entropy_bits_20bins, entropy_bits_50bins, entropy_norm_10bins, entropy_norm_20bins, entropy_norm_50bins
aes           ,     100, -0.387900,       0.872200,            3.102760,            3.933885,            4.850952,            0.934024,            0.910215,            0.859510
bitonic_sorter,       8, -0.182900,       0.327800,            1.500000,            1.500000,            1.500000,            0.451545,            0.347067,            0.265776
double_fpu    ,     100, -0.605300,       0.869800,            1.481773,            2.043965,            3.174566,            0.446058,            0.472929,            0.562482
e203          ,     100, -3.029200,       0.504300,            0.221941,            0.221941,            0.221941,            0.066811,            0.051352,            0.039324
jpeg_encoder  ,     100, -1.080000,       1.566900,            1.527516,            2.474954,            3.206626,            0.459828,            0.572650,            0.568162
reed_solomon  ,     100, -0.483600,       0.599300,            1.234765,            2.193972,            3.372216,            0.371701,            0.507637,            0.597502
sha512        ,     100, -1.081800,       2.123800,            2.479130,            3.024033,            3.912501,            0.746292,            0.699695,            0.693232
systolic_tpu  ,      88, -0.645100,       1.355000,            2.461934,            3.208320,            4.158843,            0.741116,            0.742335,            0.736880
uberddr3      ,     100, -0.395700,       0.286200,            2.282622,            3.076502,            4.171368,            0.687138,            0.711836,            0.739099
verilog_axi   ,     100, -0.600400,       0.467600,            2.727307,            3.668471,            4.798124,            0.821001,            0.848804,            0.850150
viterbi       ,     100, -2.457900,       3.645600,            1.240056,            1.988248,            2.914039,            0.373294,            0.460037,            0.516321
wb_dma        ,     100, -7.552700,       7.752800,            0.662844,            0.895548,            1.677863,            0.199536,            0.207210,            0.297290
