design,n_paths,wns_ns,slack_range_ns,entropy_bits_10bins,entropy_bits_20bins,entropy_bits_50bins,entropy_norm_10bins,entropy_norm_20bins,entropy_norm_50bins
aes,342,-0.387900,1.099200,2.994105,3.892820,5.012136,0.901315,0.900714,0.888069
bitonic_sorter,8,-0.182900,0.327800,1.500000,1.500000,1.500000,0.451545,0.347067,0.265776
double_fpu,100,-0.605300,0.861500,1.506527,1.976780,2.908926,0.453510,0.457384,0.515415
e203,100,-3.029200,0.453000,0.080793,0.080793,0.080793,0.024321,0.018694,0.014315
jpeg_encoder,100,-1.080000,0.778600,1.754815,2.510592,3.460670,0.528252,0.580896,0.613175
reed_solomon,100,-0.483600,0.495200,2.117919,2.935181,3.773349,0.637557,0.679137,0.668576
sha512,100,-1.081800,1.956600,2.028879,2.648766,3.648118,0.610753,0.612867,0.646387
systolic_tpu,100,-0.645100,0.475900,1.482110,2.187217,3.352123,0.446160,0.506074,0.593942
uberddr3,100,-0.395700,0.279300,2.182307,3.092302,4.131892,0.656940,0.715491,0.732104
verilog_axi,100,-0.600400,0.190000,2.796588,3.640610,4.444701,0.841857,0.842358,0.787529
viterbi,100,-2.457900,2.201900,1.137005,1.675871,2.465833,0.342273,0.387760,0.436906
wb_dma,100,-7.552700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
