design,n_paths,wns_ns,spread_top10_ns,spread_top50_ns,spread_top100_ns,spread_top10_rel_wns,spread_top50_rel_wns,spread_top100_rel_wns,cv_top10,cv_top50,cv_top100
aes,1000,-0.387938,0.001089,0.001458,0.002516,0.002807,0.003758,0.006486,0.001108,0.001251,0.001562
bitonic_sorter,500,-0.182861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
double_fpu,500,-0.605278,0.003311,0.007231,0.008836,0.005470,0.011947,0.014598,0.001964,0.003109,0.003315
e203,1030,-3.029185,0.452980,0.452980,0.452980,0.149539,0.149539,0.149539,0.051838,0.024530,0.017464
jpeg_encoder,565,-1.080011,0.007581,0.014571,0.018472,0.007019,0.013492,0.017104,0.002347,0.003531,0.004136
reed_solomon,1000,-0.483629,0.003304,0.012361,0.020722,0.006832,0.025559,0.042847,0.002588,0.006963,0.012245
sha512,1000,-1.081769,0.001057,0.002164,0.002845,0.000977,0.002000,0.002630,0.000362,0.000503,0.000615
systolic_tpu,500,-0.645071,0.002750,0.008352,0.012065,0.004263,0.012947,0.018703,0.001318,0.003735,0.004728
uberddr3,500,-0.395712,0.000023,0.000041,0.000252,0.000058,0.000104,0.000637,0.000022,0.000032,0.000193
verilog_axi,500,-0.600372,0.006410,0.021038,0.026699,0.010677,0.035042,0.044471,0.003822,0.010799,0.012037
viterbi,1000,-2.457875,0.001019,0.001934,0.002431,0.000415,0.000787,0.000989,0.000145,0.000195,0.000212
wb_dma,1000,-7.552693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
