design        , n_paths, wns_ns   , spread_top10_ns, spread_top50_ns, spread_top100_ns, spread_top10_rel_wns, spread_top50_rel_wns, spread_top100_rel_wns, cv_top10 , cv_top50 , cv_top100
aes           ,     100, -0.387900,        0.105200,        0.633400,         0.872200,             0.271204,             1.632895,              2.248518,  0.090828,  2.778286,  1.770351
bitonic_sorter,       8, -0.182900,                ,                ,                 ,                     ,                     ,                      ,          ,          ,
double_fpu    ,     100, -0.605300,        0.088000,        0.845800,         0.869800,             0.145382,             1.397324,              1.436973,  0.053511,  6.163167,  2.813168
e203          ,     100, -3.029200,        0.453000,        0.453000,         0.504300,             0.149544,             0.149544,              0.166480,  0.051841,  0.024531,  0.017732
jpeg_encoder  ,     100, -1.080000,        1.149700,        1.192100,         1.566900,             1.064537,             1.103796,              1.450833,  3.329896,  3.309095,  1.030776
reed_solomon  ,     100, -0.483600,        0.494700,        0.541200,         0.599300,             1.022953,             1.119107,              1.239247,  1.954237, 16.980190,  1.831352
sha512        ,     100, -1.081800,        0.857700,        1.882100,         2.123800,             0.792845,             1.739786,              1.963209,  0.452357,  1.825088,  0.817213
systolic_tpu  ,      88, -0.645100,        0.718400,        1.090900,                 ,             1.113626,             1.691056,                      ,  1.573853,  1.158304,
uberddr3      ,     100, -0.395700,        0.155900,        0.248700,         0.286200,             0.393985,             0.628506,              0.723275,  0.173437,  0.298606,  0.338298
verilog_axi   ,     100, -0.600400,        0.147200,        0.376200,         0.467600,             0.245170,             0.626582,              0.778814,  0.101233,  0.306047,  0.451335
viterbi       ,     100, -2.457900,        3.086100,        3.306700,         3.645600,             1.255584,             1.345335,              1.483217, 10.607684,  0.917712,  0.558555
wb_dma        ,     100, -7.552700,        0.000000,        7.667700,         7.752800,             0.000000,             1.015226,              1.026494,  0.000000,  1.506676,  2.582095
