design,n_paths,wns_ns,spread_top10_ns,spread_top50_ns,spread_top100_ns,spread_top10_rel_wns,spread_top50_rel_wns,spread_top100_rel_wns,cv_top10,cv_top50,cv_top100
aes,342,-0.387900,0.069100,0.248200,0.342500,0.178139,0.639856,0.882960,0.056045,0.239216,0.509719
bitonic_sorter,8,-0.182900,,,,,,,,,
double_fpu,100,-0.605300,0.088000,0.842900,0.861500,0.145382,1.392533,1.423261,0.053511,5.968084,2.896624
e203,100,-3.029200,0.453000,0.453000,0.453000,0.149544,0.149544,0.149544,0.051841,0.024531,0.017465
jpeg_encoder,100,-1.080000,0.040600,0.090100,0.778600,0.037593,0.083426,0.720926,0.012811,0.021991,0.433824
reed_solomon,100,-0.483600,0.073700,0.460500,0.495200,0.152399,0.952233,1.023987,0.057416,0.554610,1.274827
sha512,100,-1.081800,0.857700,1.869800,1.956600,0.792845,1.728416,1.808652,0.452357,1.882596,0.828848
systolic_tpu,100,-0.645100,0.372300,0.422900,0.475900,0.577120,0.655557,0.737715,0.421173,0.319641,0.298196
uberddr3,100,-0.395700,0.155900,0.247400,0.279300,0.393985,0.625221,0.705838,0.173437,0.296648,0.321844
verilog_axi,100,-0.600400,0.055900,0.157000,0.190000,0.093105,0.261492,0.316456,0.030759,0.082360,0.104350
viterbi,100,-2.457900,0.070800,0.177700,2.201900,0.028805,0.072297,0.895846,0.010491,0.017349,0.619910
wb_dma,100,-7.552700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
