design        , n_paths, wns_ns   , n_near_1pct, input_incident_frac_1pct, output_incident_frac_1pct, port_incident_frac_1pct, weighted_port_incident_frac_1pct, n_near_5pct, input_incident_frac_5pct, output_incident_frac_5pct, port_incident_frac_5pct, weighted_port_incident_frac_5pct, n_near_10pct, input_incident_frac_10pct, output_incident_frac_10pct, port_incident_frac_10pct, weighted_port_incident_frac_10pct, n_near_20pct, input_incident_frac_20pct, output_incident_frac_20pct, port_incident_frac_20pct, weighted_port_incident_frac_20pct
aes           ,    1000, -0.387938,         432,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
bitonic_sorter,     500, -0.182861,         270,                 1.000000,                  0.000000,                1.000000,                         1.000000,         420,                 1.000000,                  0.000000,                1.000000,                         1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000
double_fpu    ,     500, -0.605278,          30,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
e203          ,    1030, -3.029185,           1,                 0.000000,                  1.000000,                1.000000,                         1.000000,           1,                 0.000000,                  1.000000,                1.000000,                         1.000000,            1,                  0.000000,                   1.000000,                 1.000000,                          1.000000,          501,                  0.998004,                   0.001996,                 1.000000,                          1.000000
jpeg_encoder  ,     565, -1.080011,          23,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
reed_solomon  ,    1000, -0.483629,          12,                 0.000000,                  0.000000,                0.000000,                         0.000000,         148,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
sha512        ,    1000, -1.081769,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
systolic_tpu  ,     500, -0.645071,          26,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
uberddr3      ,     500, -0.395712,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
verilog_axi   ,     500, -0.600372,           8,                 1.000000,                  0.000000,                1.000000,                         1.000000,         164,                 1.000000,                  0.000000,                1.000000,                         1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000
viterbi       ,    1000, -2.457875,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,         500,                 0.000000,                  0.000000,                0.000000,                         0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000,          500,                  0.000000,                   0.000000,                 0.000000,                          0.000000
wb_dma        ,    1000, -7.552693,         500,                 1.000000,                  0.000000,                1.000000,                         1.000000,         500,                 1.000000,                  0.000000,                1.000000,                         1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000,          500,                  1.000000,                   0.000000,                 1.000000,                          1.000000
