design        , n_paths, wns_ns   , n_near_1pct, input_incident_frac_1pct, output_incident_frac_1pct, port_incident_frac_1pct, weighted_port_incident_frac_1pct, n_near_5pct, input_incident_frac_5pct, output_incident_frac_5pct, port_incident_frac_5pct, weighted_port_incident_frac_5pct, n_near_10pct, input_incident_frac_10pct, output_incident_frac_10pct, port_incident_frac_10pct, weighted_port_incident_frac_10pct, n_near_20pct, input_incident_frac_20pct, output_incident_frac_20pct, port_incident_frac_20pct, weighted_port_incident_frac_20pct
aes           ,     342, -0.387900,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,            1,                  0.000000,                   0.000000,                 0.000000,                          0.000000,           10,                  0.000000,                   0.000000,                 0.000000,                          0.000000
bitonic_sorter,       8, -0.182900,           2,                 1.000000,                  0.000000,                1.000000,                         1.000000,           2,                 1.000000,                  0.000000,                1.000000,                         1.000000,            2,                  1.000000,                   0.000000,                 1.000000,                          1.000000,            2,                  1.000000,                   0.000000,                 1.000000,                          1.000000
double_fpu    ,     100, -0.605300,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,            6,                  0.000000,                   0.000000,                 0.000000,                          0.000000,           10,                  0.000000,                   0.000000,                 0.000000,                          0.000000
e203          ,     100, -3.029200,           1,                 0.000000,                  1.000000,                1.000000,                         1.000000,           1,                 0.000000,                  1.000000,                1.000000,                         1.000000,            1,                  0.000000,                   1.000000,                 1.000000,                          1.000000,          100,                  0.990000,                   0.010000,                 1.000000,                          1.000000
jpeg_encoder  ,     100, -1.080000,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,          14,                 0.000000,                  0.000000,                0.000000,                         0.000000,           57,                  0.000000,                   0.000000,                 0.000000,                          0.000000,           61,                  0.000000,                   0.000000,                 0.000000,                          0.000000
reed_solomon  ,     100, -0.483600,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,           3,                 0.000000,                  0.000000,                0.000000,                         0.000000,            5,                  0.000000,                   0.000000,                 0.000000,                          0.000000,           18,                  0.000000,                   0.000000,                 0.000000,                          0.000000
sha512        ,     100, -1.081800,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,            1,                  0.000000,                   0.000000,                 0.000000,                          0.000000,            2,                  0.000000,                   0.000000,                 0.000000,                          0.000000
systolic_tpu  ,     100, -0.645100,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,            2,                  0.000000,                   0.000000,                 0.000000,                          0.000000,            2,                  0.000000,                   0.000000,                 0.000000,                          0.000000
uberddr3      ,     100, -0.395700,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,           1,                 0.000000,                  0.000000,                0.000000,                         0.000000,            2,                  0.500000,                   0.000000,                 0.500000,                          0.500000,            3,                  0.333333,                   0.000000,                 0.333333,                          0.333333
verilog_axi   ,     100, -0.600400,           1,                 1.000000,                  0.000000,                1.000000,                         1.000000,           4,                 1.000000,                  0.000000,                1.000000,                         1.000000,           12,                  1.000000,                   0.000000,                 1.000000,                          1.000000,           26,                  1.000000,                   0.000000,                 1.000000,                          1.000000
viterbi       ,     100, -2.457900,           2,                 0.000000,                  0.000000,                0.000000,                         0.000000,          26,                 0.000000,                  0.000000,                0.000000,                         0.000000,           63,                  0.000000,                   0.000000,                 0.000000,                          0.000000,           64,                  0.000000,                   0.000000,                 0.000000,                          0.000000
wb_dma        ,     100, -7.552700,         100,                 1.000000,                  0.000000,                1.000000,                         1.000000,         100,                 1.000000,                  0.000000,                1.000000,                         1.000000,          100,                  1.000000,                   0.000000,                 1.000000,                          1.000000,          100,                  1.000000,                   0.000000,                 1.000000,                          1.000000
