# stage	1_synth
# top_module	aes
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.3879	_00605_	1
0	-0.3879	_04388_	10
0	-0.3879	_04387_	6
0	-0.3879	_04383_	2
0	-0.3879	_04379_	1
0	-0.3879	_03563_	6
0	-0.3879	_03562_	1
0	-0.3879	_03561_	3
0	-0.3879	_03560_	1
0	-0.3879	_03559_	2
0	-0.3879	_03554_	1
0	-0.3879	_03551_	1
0	-0.3879	_03326_	10
0	-0.3879	_03325_	3
0	-0.3879	_03126_	10
0	-0.3879	_03108_	7
0	-0.3879	_03107_	2
0	-0.3879	_03105_	1
0	-0.3879	_15338_	10
0	-0.3879	_15337_	10
0	-0.3879	_15292_	3
0	-0.3879	_00013_	1
0	-0.3879	core.enc_block.sword_ctr_reg[1]	3
1	-0.3879	_01504_	1
1	-0.3879	_04388_	10
1	-0.3879	_04387_	6
1	-0.3879	_04383_	2
1	-0.3879	_04379_	1
1	-0.3879	_03563_	6
1	-0.3879	_03562_	1
1	-0.3879	_03561_	3
1	-0.3879	_03560_	1
1	-0.3879	_03559_	2
1	-0.3879	_03554_	1
1	-0.3879	_03551_	1
1	-0.3879	_03326_	10
1	-0.3879	_03325_	3
1	-0.3879	_03126_	10
1	-0.3879	_03108_	7
1	-0.3879	_03107_	2
1	-0.3879	_03105_	1
1	-0.3879	_15338_	10
1	-0.3879	_15337_	10
1	-0.3879	_15292_	3
1	-0.3879	_00013_	1
1	-0.3879	core.enc_block.sword_ctr_reg[1]	3
2	-0.3879	_00859_	1
2	-0.3879	_04388_	10
2	-0.3879	_04387_	6
2	-0.3879	_04383_	2
2	-0.3879	_04379_	1
2	-0.3879	_03563_	6
2	-0.3879	_03562_	1
2	-0.3879	_03561_	3
2	-0.3879	_03560_	1
2	-0.3879	_03559_	2
2	-0.3879	_03554_	1
2	-0.3879	_03551_	1
2	-0.3879	_03326_	10
2	-0.3879	_03325_	3
2	-0.3879	_03126_	10
2	-0.3879	_03108_	7
2	-0.3879	_03107_	2
2	-0.3879	_03105_	1
2	-0.3879	_15338_	10
2	-0.3879	_15337_	10
2	-0.3879	_15292_	3
2	-0.3879	_00013_	1
2	-0.3879	core.enc_block.sword_ctr_reg[1]	3
3	-0.3879	_01250_	1
3	-0.3879	_04388_	10
3	-0.3879	_04387_	6
3	-0.3879	_04383_	2
3	-0.3879	_04379_	1
3	-0.3879	_03563_	6
3	-0.3879	_03562_	1
3	-0.3879	_03561_	3
3	-0.3879	_03560_	1
3	-0.3879	_03559_	2
3	-0.3879	_03554_	1
3	-0.3879	_03551_	1
3	-0.3879	_03326_	10
3	-0.3879	_03325_	3
3	-0.3879	_03126_	10
3	-0.3879	_03108_	7
3	-0.3879	_03107_	2
3	-0.3879	_03105_	1
3	-0.3879	_15338_	10
3	-0.3879	_15337_	10
3	-0.3879	_15292_	3
3	-0.3879	_00013_	1
3	-0.3879	core.enc_block.sword_ctr_reg[1]	3
4	-0.3837	_01631_	1
4	-0.3837	_04388_	10
4	-0.3837	_04387_	6
4	-0.3837	_04383_	2
4	-0.3837	_04379_	1
4	-0.3837	_03563_	6
4	-0.3837	_03562_	1
4	-0.3837	_03561_	3
4	-0.3837	_03560_	1
4	-0.3837	_03559_	2
4	-0.3837	_03554_	1
4	-0.3837	_03551_	1
