# stage	1_synth
# top_module	bitonic_sort
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[0]	1
0	-0.1829	_13904_	10
0	-0.1829	_13902_	5
0	-0.1829	_13901_	1
0	-0.1829	_13881_	2
0	-0.1829	_13880_	1
0	-0.1829	_06638_	2
0	-0.1829	_06636_	1
1	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[10]	1
1	-0.1829	_13903_	10
1	-0.1829	_13902_	5
1	-0.1829	_13901_	1
1	-0.1829	_13881_	2
1	-0.1829	_13880_	1
1	-0.1829	_06638_	2
1	-0.1829	_06636_	1
2	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[11]	1
2	-0.1829	_13903_	10
2	-0.1829	_13902_	5
2	-0.1829	_13901_	1
2	-0.1829	_13881_	2
2	-0.1829	_13880_	1
2	-0.1829	_06638_	2
2	-0.1829	_06636_	1
3	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[12]	1
3	-0.1829	_13903_	10
3	-0.1829	_13902_	5
3	-0.1829	_13901_	1
3	-0.1829	_13881_	2
3	-0.1829	_13880_	1
3	-0.1829	_06638_	2
3	-0.1829	_06636_	1
4	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[13]	1
4	-0.1829	_13903_	10
4	-0.1829	_13902_	5
4	-0.1829	_13901_	1
4	-0.1829	_13881_	2
4	-0.1829	_13880_	1
4	-0.1829	_06638_	2
4	-0.1829	_06636_	1
5	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[14]	1
5	-0.1829	_13903_	10
5	-0.1829	_13902_	5
5	-0.1829	_13901_	1
5	-0.1829	_13881_	2
5	-0.1829	_13880_	1
5	-0.1829	_06638_	2
5	-0.1829	_06636_	1
6	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[1]	1
6	-0.1829	_13904_	10
6	-0.1829	_13902_	5
6	-0.1829	_13901_	1
6	-0.1829	_13881_	2
6	-0.1829	_13880_	1
6	-0.1829	_06638_	2
6	-0.1829	_06636_	1
7	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[2]	1
7	-0.1829	_13904_	10
7	-0.1829	_13902_	5
7	-0.1829	_13901_	1
7	-0.1829	_13881_	2
7	-0.1829	_13880_	1
7	-0.1829	_06638_	2
7	-0.1829	_06636_	1
8	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[3]	1
8	-0.1829	_13904_	10
8	-0.1829	_13902_	5
8	-0.1829	_13901_	1
8	-0.1829	_13881_	2
8	-0.1829	_13880_	1
8	-0.1829	_06638_	2
8	-0.1829	_06636_	1
9	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[4]	1
9	-0.1829	_13904_	10
9	-0.1829	_13902_	5
9	-0.1829	_13901_	1
9	-0.1829	_13881_	2
9	-0.1829	_13880_	1
9	-0.1829	_06638_	2
9	-0.1829	_06636_	1
10	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[5]	1
10	-0.1829	_13903_	10
10	-0.1829	_13902_	5
10	-0.1829	_13901_	1
10	-0.1829	_13881_	2
10	-0.1829	_13880_	1
10	-0.1829	_06638_	2
10	-0.1829	_06636_	1
11	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[6]	1
11	-0.1829	_13903_	10
11	-0.1829	_13902_	5
11	-0.1829	_13901_	1
11	-0.1829	_13881_	2
11	-0.1829	_13880_	1
11	-0.1829	_06638_	2
11	-0.1829	_06636_	1
12	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[7]	1
12	-0.1829	_13903_	10
12	-0.1829	_13902_	5
12	-0.1829	_13901_	1
12	-0.1829	_13881_	2
12	-0.1829	_13880_	1
12	-0.1829	_06638_	2
12	-0.1829	_06636_	1
13	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[8]	1
13	-0.1829	_13903_	10
13	-0.1829	_13902_	5
13	-0.1829	_13901_	1
13	-0.1829	_13881_	2
13	-0.1829	_13880_	1
13	-0.1829	_06638_	2
13	-0.1829	_06636_	1
14	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.H_REG[9]	1
14	-0.1829	_13903_	10
14	-0.1829	_13902_	5
14	-0.1829	_13901_	1
14	-0.1829	_13881_	2
14	-0.1829	_13880_	1
14	-0.1829	_06638_	2
14	-0.1829	_06636_	1
15	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L_REG[0]	1
15	-0.1829	_13905_	10
15	-0.1829	_13902_	5
15	-0.1829	_13901_	1
15	-0.1829	_13881_	2
15	-0.1829	_13880_	1
15	-0.1829	_06638_	2
15	-0.1829	_06636_	1
16	-0.1829	SORT_STAGE[0].BLOCK[10].bitonic_block_inst.BLOCK_STAGE[0].NODE[0].bitonic_node_inst.COMP[0].comp_inst.L_REG[10]	1
16	-0.1829	_13904_	10
16	-0.1829	_13902_	5
16	-0.1829	_13901_	1
