# stage	1_synth
# top_module	fpu
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.6053	_06756_	1
0	-0.6053	_17885_	1
0	-0.6053	_17884_	1
0	-0.6053	_17883_	1
0	-0.6053	_17831_	3
0	-0.6053	_17830_	2
0	-0.6053	_17829_	2
0	-0.6053	_17828_	4
0	-0.6053	_17822_	2
0	-0.6053	_17814_	2
0	-0.6053	_17808_	2
0	-0.6053	_17807_	2
0	-0.6053	_17798_	5
0	-0.6053	_04887_	1
0	-0.6053	_43267_	1
0	-0.6053	_43264_	1
0	-0.6053	_43406_	1
0	-0.6053	_43623_	1
0	-0.6053	_43006_	1
0	-0.6053	_43003_	1
0	-0.6053	_01965_	1
0	-0.6053	_11055_	10
0	-0.6053	_10487_	9
0	-0.6053	u3.mul_a[7]	1
1	-0.5742	_10108_	1
1	-0.5742	_35118_	1
1	-0.5742	_18530_	3
1	-0.5742	_18528_	2
1	-0.5742	_18527_	1
1	-0.5742	_18526_	3
1	-0.5742	_18522_	3
1	-0.5742	_18509_	3
1	-0.5742	_18496_	1
1	-0.5742	_18488_	1
1	-0.5742	_18422_	2
1	-0.5742	_18421_	1
1	-0.5742	_18420_	5
1	-0.5742	_04599_	1
1	-0.5742	_44656_	1
1	-0.5742	_43756_	1
1	-0.5742	_41531_	1
1	-0.5742	_41528_	1
1	-0.5742	_40118_	1
1	-0.5742	_40114_	1
1	-0.5742	_01626_	1
1	-0.5742	_10682_	10
1	-0.5742	_10487_	9
1	-0.5742	u3.mul_a[7]	1
2	-0.5610	_06754_	1
2	-0.5610	_17836_	1
2	-0.5610	_17835_	1
2	-0.5610	_17832_	1
2	-0.5610	_17831_	3
2	-0.5610	_17830_	2
2	-0.5610	_17829_	2
2	-0.5610	_17828_	4
2	-0.5610	_17822_	2
2	-0.5610	_17814_	2
2	-0.5610	_17808_	2
2	-0.5610	_17807_	2
2	-0.5610	_17798_	5
2	-0.5610	_04887_	1
2	-0.5610	_43267_	1
2	-0.5610	_43264_	1
2	-0.5610	_43406_	1
2	-0.5610	_43623_	1
2	-0.5610	_43006_	1
2	-0.5610	_43003_	1
2	-0.5610	_01965_	1
2	-0.5610	_11055_	10
2	-0.5610	_10487_	9
2	-0.5610	u3.mul_a[7]	1
3	-0.5585	_06795_	1
3	-0.5585	_18212_	1
3	-0.5585	_18211_	1
3	-0.5585	_18210_	1
3	-0.5585	_18209_	1
3	-0.5585	_18208_	3
3	-0.5585	_18207_	3
3	-0.5585	_18181_	1
3	-0.5585	_18180_	2
3	-0.5585	_18089_	2
3	-0.5585	_18088_	3
3	-0.5585	_18087_	2
3	-0.5585	_18086_	5
3	-0.5585	_03781_	1
3	-0.5585	_41119_	1
3	-0.5585	_41116_	1
3	-0.5585	_41988_	1
3	-0.5585	_43350_	1
3	-0.5585	_43348_	1
3	-0.5585	_42749_	1
3	-0.5585	_01696_	1
3	-0.5585	_10553_	10
3	-0.5585	_10485_	9
3	-0.5585	u3.mul_a[8]	1
4	-0.5474	_06765_	1
4	-0.5474	_17940_	1
4	-0.5474	_17939_	1
4	-0.5474	_17938_	1
4	-0.5474	_17937_	2
4	-0.5474	_17936_	2
4	-0.5474	_17935_	1
4	-0.5474	_17933_	3
4	-0.5474	_17827_	3
4	-0.5474	_17826_	3
4	-0.5474	_17825_	1
4	-0.5474	_17824_	1
4	-0.5474	_03648_	4
4	-0.5474	_43252_	1
4	-0.5474	_43249_	1
4	-0.5474	_43397_	1
4	-0.5474	_43615_	1
4	-0.5474	_43901_	1
4	-0.5474	_44126_	1
4	-0.5474	_02928_	1
4	-0.5474	_11058_	10
4	-0.5474	_10493_	9
4	-0.5474	u3.mul_a[4]	1
5	-0.5470	_06794_	1
5	-0.5470	_18161_	1
5	-0.5470	_18160_	1
5	-0.5470	_18159_	2
5	-0.5470	_18153_	1
5	-0.5470	_18152_	4
5	-0.5470	_18141_	3
5	-0.5470	_18140_	2
5	-0.5470	_18137_	1
5	-0.5470	_18123_	2
5	-0.5470	_18122_	1
5	-0.5470	_18121_	4
5	-0.5470	_18120_	5
5	-0.5470	_03343_	1
5	-0.5470	_41145_	1
5	-0.5470	_41143_	1
5	-0.5470	_42052_	1
5	-0.5470	_42439_	1
5	-0.5470	_40962_	1
5	-0.5470	_40960_	1
5	-0.5470	_01768_	1
5	-0.5470	_10488_	10
5	-0.5470	_10487_	9
5	-0.5470	u3.mul_a[7]	1
6	-0.5431	_06798_	1
6	-0.5431	_18225_	1
6	-0.5431	_18224_	1
6	-0.5431	_18223_	1
6	-0.5431	_18222_	1
6	-0.5431	_18152_	4
6	-0.5431	_18141_	3
6	-0.5431	_18140_	2
6	-0.5431	_18137_	1
6	-0.5431	_18123_	2
6	-0.5431	_18122_	1
6	-0.5431	_18121_	4
6	-0.5431	_18120_	5
6	-0.5431	_03343_	1
6	-0.5431	_41145_	1
6	-0.5431	_41143_	1
6	-0.5431	_42052_	1
6	-0.5431	_42439_	1
6	-0.5431	_40962_	1
6	-0.5431	_40960_	1
6	-0.5431	_01768_	1
6	-0.5431	_10488_	10
6	-0.5431	_10487_	9
6	-0.5431	u3.mul_a[7]	1
7	-0.5385	_06796_	1
7	-0.5385	_18215_	1
7	-0.5385	_18214_	1
7	-0.5385	_18159_	2
7	-0.5385	_18153_	1
7	-0.5385	_18152_	4
7	-0.5385	_18141_	3
7	-0.5385	_18140_	2
7	-0.5385	_18137_	1
7	-0.5385	_18123_	2
7	-0.5385	_18122_	1
7	-0.5385	_18121_	4
7	-0.5385	_18120_	5
7	-0.5385	_03343_	1
7	-0.5385	_41145_	1
7	-0.5385	_41143_	1
7	-0.5385	_42052_	1
7	-0.5385	_42439_	1
7	-0.5385	_40962_	1
7	-0.5385	_40960_	1
7	-0.5385	_01768_	1
7	-0.5385	_10488_	10
7	-0.5385	_10487_	9
7	-0.5385	u3.mul_a[7]	1
8	-0.5367	_06901_	1
8	-0.5367	_19006_	1
8	-0.5367	_19005_	2
8	-0.5367	_18962_	2
8	-0.5367	_18957_	1
8	-0.5367	_18956_	2
