# stage	1_synth
# top_module	e203_cpu_top
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-3.0292	core_csr_clk	1386
0	-3.0292	u_e203_cpu.u_e203_clk_ctrl.u_exu_clkgate.enb	1
1	-2.5762	rst_dtcm	741
1	-2.5762	_12753_	7
2	-2.5762	rst_dtcm	741
2	-2.5762	_12753_	7
3	-2.5762	rst_dtcm	741
3	-2.5762	_12753_	7
4	-2.5762	rst_dtcm	741
4	-2.5762	_12753_	7
5	-2.5762	rst_dtcm	741
5	-2.5762	_12753_	7
6	-2.5762	rst_dtcm	741
6	-2.5762	_12753_	7
7	-2.5762	rst_dtcm	741
7	-2.5762	_12753_	7
8	-2.5762	rst_dtcm	741
8	-2.5762	_12753_	7
9	-2.5762	rst_dtcm	741
9	-2.5762	_12753_	7
10	-2.5762	rst_dtcm	741
10	-2.5762	_12753_	7
11	-2.5762	rst_dtcm	741
11	-2.5762	_12753_	7
12	-2.5762	rst_dtcm	741
12	-2.5762	_12753_	7
13	-2.5762	rst_dtcm	741
13	-2.5762	_12753_	7
14	-2.5762	rst_dtcm	741
14	-2.5762	_12753_	7
15	-2.5762	rst_dtcm	741
15	-2.5762	_12753_	7
16	-2.5762	rst_dtcm	741
16	-2.5762	_12753_	7
17	-2.5762	rst_dtcm	741
17	-2.5762	_12753_	7
18	-2.5762	rst_dtcm	741
18	-2.5762	_12753_	7
19	-2.5762	rst_dtcm	741
19	-2.5762	_12753_	7
20	-2.5762	rst_dtcm	741
20	-2.5762	_12753_	7
21	-2.5762	rst_dtcm	741
21	-2.5762	_12753_	7
22	-2.5762	rst_dtcm	741
22	-2.5762	_12753_	7
23	-2.5762	rst_dtcm	741
23	-2.5762	_12753_	7
24	-2.5762	rst_dtcm	741
24	-2.5762	_12753_	7
25	-2.5762	rst_dtcm	741
25	-2.5762	_12753_	7
26	-2.5762	rst_dtcm	741
26	-2.5762	_12753_	7
27	-2.5762	rst_dtcm	741
27	-2.5762	_12753_	7
28	-2.5762	rst_dtcm	741
28	-2.5762	_12753_	7
29	-2.5762	rst_dtcm	741
29	-2.5762	_12753_	7
30	-2.5762	rst_dtcm	741
30	-2.5762	_12753_	7
31	-2.5762	rst_dtcm	741
31	-2.5762	_12753_	7
32	-2.5762	rst_dtcm	741
32	-2.5762	_12753_	7
33	-2.5762	rst_dtcm	741
33	-2.5762	_12753_	7
34	-2.5762	rst_dtcm	741
34	-2.5762	_12753_	7
35	-2.5762	rst_dtcm	741
35	-2.5762	_12753_	7
36	-2.5762	rst_dtcm	741
36	-2.5762	_12753_	7
37	-2.5762	rst_dtcm	741
37	-2.5762	_12753_	7
38	-2.5762	rst_dtcm	741
38	-2.5762	_12753_	7
39	-2.5762	rst_dtcm	741
39	-2.5762	_12753_	7
40	-2.5762	rst_dtcm	741
40	-2.5762	_12753_	7
41	-2.5762	rst_dtcm	741
41	-2.5762	_12753_	7
42	-2.5762	rst_dtcm	741
42	-2.5762	_12753_	7
43	-2.5762	rst_dtcm	741
43	-2.5762	_12753_	7
44	-2.5762	rst_dtcm	741
44	-2.5762	_12753_	7
45	-2.5762	rst_dtcm	741
45	-2.5762	_12753_	7
46	-2.5762	rst_dtcm	741
46	-2.5762	_12753_	7
47	-2.5762	rst_dtcm	741
47	-2.5762	_12753_	7
48	-2.5762	rst_dtcm	741
48	-2.5762	_12753_	7
49	-2.5762	rst_dtcm	741
49	-2.5762	_12753_	7
50	-2.5762	rst_dtcm	741
50	-2.5762	_12753_	7
51	-2.5762	rst_dtcm	741
51	-2.5762	_12753_	7
52	-2.5762	rst_dtcm	741
52	-2.5762	_12753_	7
53	-2.5762	rst_dtcm	741
53	-2.5762	_12753_	7
54	-2.5762	rst_dtcm	741
54	-2.5762	_12753_	7
55	-2.5762	rst_dtcm	741
55	-2.5762	_12753_	7
56	-2.5762	rst_dtcm	741
56	-2.5762	_12753_	7
57	-2.5762	rst_dtcm	741
57	-2.5762	_12753_	7
58	-2.5762	rst_dtcm	741
58	-2.5762	_12753_	7
59	-2.5762	rst_dtcm	741
59	-2.5762	_12753_	7
60	-2.5762	rst_dtcm	741
60	-2.5762	_12753_	7
61	-2.5762	rst_dtcm	741
61	-2.5762	_12753_	7
62	-2.5762	rst_dtcm	741
62	-2.5762	_12753_	7
63	-2.5762	rst_dtcm	741
63	-2.5762	_12753_	7
64	-2.5762	rst_dtcm	741
64	-2.5762	_12753_	7
65	-2.5762	rst_dtcm	741
65	-2.5762	_12753_	7
66	-2.5762	rst_dtcm	741
66	-2.5762	_12753_	7
67	-2.5762	rst_dtcm	741
67	-2.5762	_12753_	7
68	-2.5762	rst_dtcm	741
68	-2.5762	_12753_	7
69	-2.5762	rst_dtcm	741
69	-2.5762	_12753_	7
70	-2.5762	rst_dtcm	741
70	-2.5762	_12753_	7
71	-2.5762	rst_dtcm	741
71	-2.5762	_12753_	7
72	-2.5762	rst_dtcm	741
72	-2.5762	_12753_	7
73	-2.5762	rst_dtcm	741
73	-2.5762	_12753_	7
74	-2.5762	rst_dtcm	741
74	-2.5762	_12753_	7
75	-2.5762	rst_dtcm	741
75	-2.5762	_12753_	7
76	-2.5762	rst_dtcm	741
76	-2.5762	_12753_	7
77	-2.5762	rst_dtcm	741
77	-2.5762	_12753_	7
78	-2.5762	rst_dtcm	741
78	-2.5762	_12753_	7
79	-2.5762	rst_dtcm	741
79	-2.5762	_12753_	7
80	-2.5762	rst_dtcm	741
80	-2.5762	_12753_	7
81	-2.5762	rst_dtcm	741
81	-2.5762	_12753_	7
82	-2.5762	rst_dtcm	741
82	-2.5762	_12753_	7
83	-2.5762	rst_dtcm	741
83	-2.5762	_12753_	7
84	-2.5762	rst_dtcm	741
84	-2.5762	_12753_	7
85	-2.5762	rst_dtcm	741
85	-2.5762	_12753_	7
86	-2.5762	rst_dtcm	741
86	-2.5762	_12753_	7
87	-2.5762	rst_dtcm	741
87	-2.5762	_12753_	7
88	-2.5762	rst_dtcm	741
88	-2.5762	_12753_	7
89	-2.5762	rst_dtcm	741
89	-2.5762	_12753_	7
90	-2.5762	rst_dtcm	741
90	-2.5762	_12753_	7
91	-2.5762	rst_dtcm	741
91	-2.5762	_12753_	7
92	-2.5762	rst_dtcm	741
92	-2.5762	_12753_	7
93	-2.5762	rst_dtcm	741
93	-2.5762	_12753_	7
94	-2.5762	rst_dtcm	741
94	-2.5762	_12753_	7
95	-2.5762	rst_dtcm	741
95	-2.5762	_12753_	7
96	-2.5762	rst_dtcm	741
96	-2.5762	_12753_	7
97	-2.5762	rst_dtcm	741
97	-2.5762	_12753_	7
98	-2.5762	rst_dtcm	741
98	-2.5762	_12753_	7
99	-2.5762	rst_dtcm	741
99	-2.5762	_12753_	7
100	-2.5762	rst_dtcm	741
100	-2.5762	_12753_	7
101	-2.5762	rst_dtcm	741
101	-2.5762	_12753_	7
102	-2.5762	rst_dtcm	741
102	-2.5762	_12753_	7
103	-2.5762	rst_dtcm	741
103	-2.5762	_12753_	7
104	-2.5762	rst_dtcm	741
104	-2.5762	_12753_	7
105	-2.5762	rst_dtcm	741
105	-2.5762	_12753_	7
106	-2.5762	rst_dtcm	741
106	-2.5762	_12753_	7
107	-2.5762	rst_dtcm	741
107	-2.5762	_12753_	7
108	-2.5762	rst_dtcm	741
108	-2.5762	_12753_	7
109	-2.5762	rst_dtcm	741
109	-2.5762	_12753_	7
110	-2.5762	rst_dtcm	741
110	-2.5762	_12753_	7
111	-2.5762	rst_dtcm	741
111	-2.5762	_12753_	7
112	-2.5762	rst_dtcm	741
112	-2.5762	_12753_	7
113	-2.5762	rst_dtcm	741
113	-2.5762	_12753_	7
114	-2.5762	rst_dtcm	741
114	-2.5762	_12753_	7
115	-2.5762	rst_dtcm	741
115	-2.5762	_12753_	7
116	-2.5762	rst_dtcm	741
116	-2.5762	_12753_	7
117	-2.5762	rst_dtcm	741
117	-2.5762	_12753_	7
118	-2.5762	rst_dtcm	741
118	-2.5762	_12753_	7
119	-2.5762	rst_dtcm	741
119	-2.5762	_12753_	7
120	-2.5762	rst_dtcm	741
120	-2.5762	_12753_	7
121	-2.5762	rst_dtcm	741
121	-2.5762	_12753_	7
122	-2.5762	rst_dtcm	741
122	-2.5762	_12753_	7
123	-2.5762	rst_dtcm	741
123	-2.5762	_12753_	7
124	-2.5762	rst_dtcm	741
124	-2.5762	_12753_	7
125	-2.5762	rst_dtcm	741
125	-2.5762	_12753_	7
126	-2.5762	rst_dtcm	741
126	-2.5762	_12753_	7
127	-2.5762	rst_dtcm	741
127	-2.5762	_12753_	7
128	-2.5762	rst_dtcm	741
128	-2.5762	_12753_	7
129	-2.5762	rst_dtcm	741
129	-2.5762	_12753_	7
130	-2.5762	rst_dtcm	741
130	-2.5762	_12753_	7
131	-2.5762	rst_dtcm	741
131	-2.5762	_12753_	7
132	-2.5762	rst_dtcm	741
132	-2.5762	_12753_	7
133	-2.5762	rst_dtcm	741
133	-2.5762	_12753_	7
134	-2.5762	rst_dtcm	741
134	-2.5762	_12753_	7
135	-2.5762	rst_dtcm	741
135	-2.5762	_12753_	7
136	-2.5762	rst_dtcm	741
136	-2.5762	_12753_	7
137	-2.5762	rst_dtcm	741
137	-2.5762	_12753_	7
138	-2.5762	rst_dtcm	741
138	-2.5762	_12753_	7
139	-2.5762	rst_dtcm	741
139	-2.5762	_12753_	7
140	-2.5762	rst_dtcm	741
140	-2.5762	_12753_	7
141	-2.5762	rst_dtcm	741
141	-2.5762	_12753_	7
142	-2.5762	rst_dtcm	741
142	-2.5762	_12753_	7
143	-2.5762	rst_dtcm	741
143	-2.5762	_12753_	7
144	-2.5762	rst_dtcm	741
144	-2.5762	_12753_	7
145	-2.5762	rst_dtcm	741
145	-2.5762	_12753_	7
146	-2.5762	rst_dtcm	741
146	-2.5762	_12753_	7
147	-2.5762	rst_dtcm	741
147	-2.5762	_12753_	7
148	-2.5762	rst_dtcm	741
148	-2.5762	_12753_	7
149	-2.5762	rst_dtcm	741
149	-2.5762	_12753_	7
150	-2.5762	rst_dtcm	741
150	-2.5762	_12753_	7
151	-2.5762	rst_dtcm	741
151	-2.5762	_12753_	7
152	-2.5762	rst_dtcm	741
152	-2.5762	_12753_	7
153	-2.5762	rst_dtcm	741
153	-2.5762	_12753_	7
154	-2.5762	rst_dtcm	741
154	-2.5762	_12753_	7
155	-2.5762	rst_dtcm	741
155	-2.5762	_12753_	7
156	-2.5762	rst_dtcm	741
156	-2.5762	_12753_	7
157	-2.5762	rst_dtcm	741
157	-2.5762	_12753_	7
158	-2.5762	rst_dtcm	741
158	-2.5762	_12753_	7
159	-2.5762	rst_dtcm	741
159	-2.5762	_12753_	7
160	-2.5762	rst_dtcm	741
160	-2.5762	_12753_	7
161	-2.5762	rst_dtcm	741
161	-2.5762	_12753_	7
162	-2.5762	rst_dtcm	741
162	-2.5762	_12753_	7
163	-2.5762	rst_dtcm	741
163	-2.5762	_12753_	7
164	-2.5762	rst_dtcm	741
164	-2.5762	_12753_	7
165	-2.5762	rst_dtcm	741
165	-2.5762	_12753_	7
166	-2.5762	rst_dtcm	741
166	-2.5762	_12753_	7
167	-2.5762	rst_dtcm	741
167	-2.5762	_12753_	7
168	-2.5762	rst_dtcm	741
168	-2.5762	_12753_	7
169	-2.5762	rst_dtcm	741
169	-2.5762	_12753_	7
170	-2.5762	rst_dtcm	741
170	-2.5762	_12753_	7
171	-2.5762	rst_dtcm	741
171	-2.5762	_12753_	7
172	-2.5762	rst_dtcm	741
172	-2.5762	_12753_	7
173	-2.5762	rst_dtcm	741
173	-2.5762	_12753_	7
174	-2.5762	rst_dtcm	741
174	-2.5762	_12753_	7
175	-2.5762	rst_dtcm	741
175	-2.5762	_12753_	7
176	-2.5762	rst_dtcm	741
176	-2.5762	_12753_	7
177	-2.5762	rst_dtcm	741
177	-2.5762	_12753_	7
178	-2.5762	rst_dtcm	741
178	-2.5762	_12753_	7
179	-2.5762	rst_dtcm	741
179	-2.5762	_12753_	7
180	-2.5762	rst_dtcm	741
180	-2.5762	_12753_	7
181	-2.5762	rst_dtcm	741
181	-2.5762	_12753_	7
182	-2.5762	rst_dtcm	741
182	-2.5762	_12753_	7
183	-2.5762	rst_dtcm	741
183	-2.5762	_12753_	7
184	-2.5762	rst_dtcm	741
184	-2.5762	_12753_	7
185	-2.5762	rst_dtcm	741
185	-2.5762	_12753_	7
186	-2.5762	rst_dtcm	741
