# stage	1_synth
# top_module	filt_fir
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-2.2546	_09817_	1
0	-2.2546	_32798_	1
0	-2.2546	_32797_	1
0	-2.2546	_32796_	1
0	-2.2546	_24132_	3
0	-2.2546	_24131_	1
0	-2.2546	_24129_	1
0	-2.2546	_24095_	3
0	-2.2546	_24005_	4
0	-2.2546	_24004_	2
0	-2.2546	_23994_	5
0	-2.2546	_04021_	1
0	-2.2546	w_mul[1245]	18
0	-2.2546	_32300_	3
0	-2.2546	_32295_	1
0	-2.2546	_32294_	2
0	-2.2546	_32291_	1
0	-2.2546	_32290_	3
0	-2.2546	_32287_	1
0	-2.2546	_32285_	3
0	-2.2546	_32273_	1
0	-2.2546	_32272_	2
0	-2.2546	_32271_	1
0	-2.2546	_10651_	4
0	-2.2546	_06050_	1
0	-2.2546	_38295_	1
0	-2.2546	_36349_	1
0	-2.2546	_36346_	1
0	-2.2546	_37203_	1
0	-2.2546	_37613_	3
0	-2.2546	w_mul[1027]	67
0	-2.2546	_00225_	5
1	-2.2438	_09822_	1
1	-2.2438	_32827_	1
1	-2.2438	_32826_	1
1	-2.2438	_32825_	1
1	-2.2438	_25469_	3
1	-2.2438	_25468_	1
1	-2.2438	_25466_	1
1	-2.2438	_25432_	3
1	-2.2438	_25431_	2
1	-2.2438	_25340_	4
1	-2.2438	_25321_	5
1	-2.2438	_05609_	1
1	-2.2438	w_mul[1245]	18
1	-2.2438	_32300_	3
1	-2.2438	_32295_	1
1	-2.2438	_32294_	2
1	-2.2438	_32291_	1
1	-2.2438	_32290_	3
1	-2.2438	_32287_	1
1	-2.2438	_32285_	3
1	-2.2438	_32273_	1
1	-2.2438	_32272_	2
1	-2.2438	_32271_	1
1	-2.2438	_10651_	4
1	-2.2438	_06050_	1
1	-2.2438	_38295_	1
1	-2.2438	_36349_	1
1	-2.2438	_36346_	1
1	-2.2438	_37203_	1
1	-2.2438	_37613_	3
1	-2.2438	w_mul[1027]	67
1	-2.2438	_00225_	5
2	-2.2314	_09803_	1
2	-2.2314	_32663_	1
2	-2.2314	_32662_	1
2	-2.2314	_32652_	1
2	-2.2314	_20483_	4
2	-2.2314	_20481_	3
2	-2.2314	_20454_	1
2	-2.2314	_20453_	2
2	-2.2314	_20347_	7
2	-2.2314	_03140_	1
2	-2.2314	w_mul[1784]	30
2	-2.2314	_11072_	1
2	-2.2314	_11070_	1
2	-2.2314	_11069_	2
2	-2.2314	_10094_	2
2	-2.2314	_10088_	1
2	-2.2314	_10085_	3
2	-2.2314	_10082_	1
