# stage	1_synth
# top_module	jpeg_encoder
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-1.0800	_13219_	1
0	-1.0800	_33415_	1
0	-1.0800	_33414_	2
0	-1.0800	_27605_	3
0	-1.0800	_27604_	3
0	-1.0800	_27603_	1
0	-1.0800	_27602_	2
0	-1.0800	_27600_	1
0	-1.0800	_27599_	2
0	-1.0800	_27598_	2
0	-1.0800	_07158_	2
0	-1.0800	_43338_	1
0	-1.0800	_43217_	1
0	-1.0800	_43013_	1
0	-1.0800	_42910_	4
0	-1.0800	_01156_	7
0	-1.0800	_13480_	10
0	-1.0800	_13336_	10
0	-1.0800	_13334_	10
0	-1.0800	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
1	-1.0684	_13229_	1
1	-1.0684	_33528_	1
1	-1.0684	_33527_	2
1	-1.0684	_28510_	3
1	-1.0684	_28509_	3
1	-1.0684	_28508_	1
1	-1.0684	_28507_	2
1	-1.0684	_20383_	2
1	-1.0684	_20382_	2
1	-1.0684	_20381_	2
1	-1.0684	_06845_	2
1	-1.0684	_44950_	1
1	-1.0684	_44195_	1
1	-1.0684	_44192_	1
1	-1.0684	_40070_	4
1	-1.0684	_01159_	5
1	-1.0684	_13480_	10
1	-1.0684	_13336_	10
1	-1.0684	_13334_	10
1	-1.0684	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
2	-1.0683	_13143_	1
2	-1.0683	_32542_	1
2	-1.0683	_32541_	2
2	-1.0683	_20388_	3
2	-1.0683	_20387_	3
2	-1.0683	_20386_	1
2	-1.0683	_20385_	2
2	-1.0683	_20383_	2
2	-1.0683	_20382_	2
2	-1.0683	_20381_	2
2	-1.0683	_06845_	2
2	-1.0683	_44950_	1
2	-1.0683	_44195_	1
2	-1.0683	_44192_	1
2	-1.0683	_40070_	4
2	-1.0683	_01159_	5
2	-1.0683	_13480_	10
2	-1.0683	_13336_	10
2	-1.0683	_13334_	10
2	-1.0683	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
3	-1.0587	_13151_	1
3	-1.0587	_32653_	1
3	-1.0587	_32652_	2
3	-1.0587	_21309_	3
3	-1.0587	_21308_	3
3	-1.0587	_21307_	1
3	-1.0587	_21306_	2
3	-1.0587	_21305_	1
3	-1.0587	_21304_	2
3	-1.0587	_21303_	2
3	-1.0587	_03914_	2
3	-1.0587	_45260_	1
3	-1.0587	_38691_	1
3	-1.0587	_38688_	1
3	-1.0587	_42916_	4
3	-1.0587	_02108_	5
3	-1.0587	_13668_	10
3	-1.0587	_13504_	10
3	-1.0587	_13334_	10
3	-1.0587	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
4	-1.0506	_13155_	1
4	-1.0506	_32703_	1
4	-1.0506	_32702_	2
4	-1.0506	_21760_	3
4	-1.0506	_21759_	3
4	-1.0506	_21758_	1
4	-1.0506	_21757_	2
4	-1.0506	_21755_	1
4	-1.0506	_21754_	2
4	-1.0506	_21753_	2
4	-1.0506	_05822_	2
4	-1.0506	_41853_	1
4	-1.0506	_41704_	1
4	-1.0506	_41609_	1
4	-1.0506	_41458_	1
4	-1.0506	_01552_	6
4	-1.0506	_13541_	10
4	-1.0506	_13504_	10
4	-1.0506	_13334_	10
4	-1.0506	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
5	-1.0487	_13107_	1
5	-1.0487	_32171_	1
5	-1.0487	_32170_	2
5	-1.0487	_17701_	3
5	-1.0487	_17700_	3
5	-1.0487	_17699_	1
5	-1.0487	_17698_	2
5	-1.0487	_17696_	1
5	-1.0487	_17695_	2
5	-1.0487	_17694_	2
5	-1.0487	_08517_	2
5	-1.0487	_46238_	1
5	-1.0487	_46152_	1
5	-1.0487	_45955_	1
5	-1.0487	_45873_	1
5	-1.0487	_01602_	6
5	-1.0487	_13603_	10
5	-1.0487	_13504_	10
5	-1.0487	_13334_	10
5	-1.0487	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
6	-1.0437	_13188_	1
6	-1.0437	_33085_	1
6	-1.0437	_33084_	2
6	-1.0437	_24979_	3
6	-1.0437	_24978_	3
6	-1.0437	_24977_	1
6	-1.0437	_24976_	2
6	-1.0437	_24974_	1
6	-1.0437	_24973_	2
6	-1.0437	_24972_	2
6	-1.0437	_06060_	2
6	-1.0437	_44530_	1
6	-1.0437	_43700_	1
6	-1.0437	_43697_	1
6	-1.0437	_46898_	1
6	-1.0437	_03045_	6
6	-1.0437	_13576_	10
6	-1.0437	_13504_	10
6	-1.0437	_13334_	10
6	-1.0437	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
7	-1.0412	_13223_	1
7	-1.0412	_33471_	1
7	-1.0412	_33470_	2
7	-1.0412	_28067_	3
7	-1.0412	_28066_	3
7	-1.0412	_28065_	1
7	-1.0412	_28064_	2
7	-1.0412	_28062_	1
7	-1.0412	_28061_	2
7	-1.0412	_28060_	2
7	-1.0412	_06185_	2
7	-1.0412	_40054_	1
7	-1.0412	_40052_	1
7	-1.0412	_39682_	1
7	-1.0412	_39680_	2
7	-1.0412	_01055_	4
7	-1.0412	_13337_	10
7	-1.0412	_13336_	10
7	-1.0412	_13334_	10
7	-1.0412	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
8	-1.0402	_13184_	1
8	-1.0402	_33033_	1
8	-1.0402	_33032_	2
8	-1.0402	_24511_	3
8	-1.0402	_24510_	3
8	-1.0402	_24509_	1
8	-1.0402	_24508_	2
8	-1.0402	_24506_	1
8	-1.0402	_24505_	2
8	-1.0402	_24504_	2
8	-1.0402	_08125_	2
8	-1.0402	_41527_	1
8	-1.0402	_38700_	1
8	-1.0402	_38697_	1
8	-1.0402	_41317_	5
8	-1.0402	_03421_	3
8	-1.0402	_13584_	10
8	-1.0402	_13504_	10
8	-1.0402	_13334_	10
8	-1.0402	fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.ddin[8]	82
9	-1.0394	_13180_	1
9	-1.0394	_32978_	1
9	-1.0394	_32977_	2
9	-1.0394	_24056_	3
9	-1.0394	_24055_	3
9	-1.0394	_24054_	1
9	-1.0394	_24053_	2
