# stage	1_synth
# top_module	modexp
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.4013	_03927_	1
0	-0.4013	_24451_	10
0	-0.4013	_24450_	5
0	-0.4013	_24446_	1
0	-0.4013	_24445_	1
0	-0.4013	_24444_	1
0	-0.4013	_24443_	1
0	-0.4013	_24442_	3
0	-0.4013	_24441_	2
0	-0.4013	_24161_	4
0	-0.4013	_24159_	2
0	-0.4013	_24157_	1
0	-0.4013	_00486_	2
0	-0.4013	_00485_	2
0	-0.4013	core_inst.montprod_inst.opa_data[0]	1
0	-0.4013	_08153_	2
0	-0.4013	_08135_	7
0	-0.4013	core_inst.montprod_select_reg[3]	1
1	-0.4013	_04237_	1
1	-0.4013	_24642_	10
1	-0.4013	_24450_	5
1	-0.4013	_24446_	1
1	-0.4013	_24445_	1
1	-0.4013	_24444_	1
1	-0.4013	_24443_	1
1	-0.4013	_24442_	3
1	-0.4013	_24441_	2
1	-0.4013	_24161_	4
1	-0.4013	_24159_	2
1	-0.4013	_24157_	1
1	-0.4013	_00486_	2
1	-0.4013	_00485_	2
1	-0.4013	core_inst.montprod_inst.opa_data[0]	1
1	-0.4013	_08153_	2
1	-0.4013	_08135_	7
1	-0.4013	core_inst.montprod_select_reg[3]	1
2	-0.4013	_04268_	1
2	-0.4013	_24642_	10
2	-0.4013	_24450_	5
2	-0.4013	_24446_	1
2	-0.4013	_24445_	1
2	-0.4013	_24444_	1
2	-0.4013	_24443_	1
2	-0.4013	_24442_	3
2	-0.4013	_24441_	2
2	-0.4013	_24161_	4
2	-0.4013	_24159_	2
2	-0.4013	_24157_	1
2	-0.4013	_00486_	2
2	-0.4013	_00485_	2
2	-0.4013	core_inst.montprod_inst.opa_data[0]	1
2	-0.4013	_08153_	2
2	-0.4013	_08135_	7
2	-0.4013	core_inst.montprod_select_reg[3]	1
3	-0.4013	_04299_	1
3	-0.4013	_24642_	10
3	-0.4013	_24450_	5
3	-0.4013	_24446_	1
3	-0.4013	_24445_	1
3	-0.4013	_24444_	1
3	-0.4013	_24443_	1
3	-0.4013	_24442_	3
3	-0.4013	_24441_	2
3	-0.4013	_24161_	4
3	-0.4013	_24159_	2
3	-0.4013	_24157_	1
3	-0.4013	_00486_	2
3	-0.4013	_00485_	2
3	-0.4013	core_inst.montprod_inst.opa_data[0]	1
3	-0.4013	_08153_	2
3	-0.4013	_08135_	7
3	-0.4013	core_inst.montprod_select_reg[3]	1
4	-0.4013	_04330_	1
4	-0.4013	_24642_	10
4	-0.4013	_24450_	5
4	-0.4013	_24446_	1
4	-0.4013	_24445_	1
