# stage	1_synth
# top_module	RsDecodeTop
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.4836	_00674_	1
0	-0.4836	_13127_	1
0	-0.4836	_13121_	2
0	-0.4836	_13120_	2
0	-0.4836	_13119_	1
0	-0.4836	_13118_	1
0	-0.4836	_13117_	1
0	-0.4836	_00151_	1
0	-0.4836	_00149_	2
0	-0.4836	_11988_	3
0	-0.4836	_11987_	1
0	-0.4836	_11986_	1
0	-0.4836	_11985_	1
0	-0.4836	_00146_	1
0	-0.4836	RsDecodeDegree_1.winner1Step2[1]	2
0	-0.4836	_11924_	2
0	-0.4836	_11923_	1
0	-0.4836	_11908_	2
0	-0.4836	_11907_	1
0	-0.4836	_11906_	1
0	-0.4836	_00223_	1
0	-0.4836	RsDecodeDegree_1.winner2Step1[0]	1
0	-0.4836	_11904_	2
0	-0.4836	_11903_	3
0	-0.4836	_00087_	1
0	-0.4836	RsDecodeDegree_1.winner5Step0[1]	3
0	-0.4836	_00083_	3
0	-0.4836	_00167_	3
0	-0.4836	_11895_	1
0	-0.4836	_11894_	5
0	-0.4836	RsDecodeChien.omegaIn_11[5]	1
1	-0.4676	_00686_	1
1	-0.4676	_13154_	1
1	-0.4676	_13151_	2
1	-0.4676	_13144_	2
1	-0.4676	_13143_	1
1	-0.4676	_13142_	1
1	-0.4676	_13141_	1
1	-0.4676	_00221_	1
1	-0.4676	_00219_	1
1	-0.4676	_12022_	2
1	-0.4676	_12021_	1
1	-0.4676	_11832_	3
1	-0.4676	_11831_	1
1	-0.4676	_11830_	1
1	-0.4676	_11829_	1
1	-0.4676	_00370_	1
1	-0.4676	RsDecodeDegree_2.winner1Step2[1]	2
1	-0.4676	_11791_	2
1	-0.4676	_11788_	2
1	-0.4676	_00367_	3
1	-0.4676	_00365_	1
1	-0.4676	_11825_	2
1	-0.4676	_07467_	3
1	-0.4676	_00166_	1
1	-0.4676	RsDecodeDegree_2.winner4Step0[3]	2
1	-0.4676	_00163_	3
1	-0.4676	_11824_	1
1	-0.4676	_11823_	1
1	-0.4676	_11822_	4
1	-0.4676	RsDecodeChien.lambdaIn_8[5]	1
2	-0.4358	_00673_	1
2	-0.4358	_13122_	1
2	-0.4358	_13121_	2
2	-0.4358	_13120_	2
2	-0.4358	_13119_	1
2	-0.4358	_13118_	1
2	-0.4358	_13117_	1
2	-0.4358	_00151_	1
2	-0.4358	_00149_	2
2	-0.4358	_11988_	3
2	-0.4358	_11987_	1
2	-0.4358	_11986_	1
2	-0.4358	_11985_	1
2	-0.4358	_00146_	1
2	-0.4358	RsDecodeDegree_1.winner1Step2[1]	2
2	-0.4358	_11924_	2
2	-0.4358	_11923_	1
2	-0.4358	_11908_	2
2	-0.4358	_11907_	1
2	-0.4358	_11906_	1
2	-0.4358	_00223_	1
2	-0.4358	RsDecodeDegree_1.winner2Step1[0]	1
2	-0.4358	_11904_	2
2	-0.4358	_11903_	3
2	-0.4358	_00087_	1
2	-0.4358	RsDecodeDegree_1.winner5Step0[1]	3
2	-0.4358	_00083_	3
2	-0.4358	_00167_	3
2	-0.4358	_11895_	1
2	-0.4358	_11894_	5
2	-0.4358	RsDecodeChien.omegaIn_11[5]	1
3	-0.4336	_00675_	1
3	-0.4336	_13130_	1
3	-0.4336	_13129_	1
3	-0.4336	_13120_	2
3	-0.4336	_13119_	1
3	-0.4336	_13118_	1
3	-0.4336	_13117_	1
3	-0.4336	_00151_	1
3	-0.4336	_00149_	2
3	-0.4336	_11988_	3
3	-0.4336	_11987_	1
3	-0.4336	_11986_	1
3	-0.4336	_11985_	1
3	-0.4336	_00146_	1
