# stage	1_synth
# top_module	sha512
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-1.0818	_05299_	1
0	-1.0818	_19845_	1
0	-1.0818	_19843_	2
0	-1.0818	_19837_	1
0	-1.0818	_13229_	4
0	-1.0818	_13226_	1
0	-1.0818	_13222_	2
0	-1.0818	_13217_	2
0	-1.0818	_13216_	3
0	-1.0818	_13212_	2
0	-1.0818	_13210_	1
0	-1.0818	_13209_	1
0	-1.0818	_13205_	1
0	-1.0818	_13202_	3
0	-1.0818	_13004_	6
0	-1.0818	_00163_	1
0	-1.0818	_24575_	1
0	-1.0818	core.t1[40]	2
0	-1.0818	_05477_	1
0	-1.0818	_05476_	1
0	-1.0818	_20347_	3
0	-1.0818	_20203_	2
0	-1.0818	_20202_	3
0	-1.0818	_20185_	1
0	-1.0818	_20126_	2
0	-1.0818	_20125_	1
0	-1.0818	_20124_	4
0	-1.0818	_20122_	5
0	-1.0818	_01491_	1
0	-1.0818	_24240_	1
0	-1.0818	_24079_	1
0	-1.0818	_24077_	1
0	-1.0818	core.w_data[20]	1
0	-1.0818	_08417_	2
0	-1.0818	_08416_	1
0	-1.0818	_08415_	1
0	-1.0818	_08414_	2
0	-1.0818	_08412_	2
0	-1.0818	_08411_	1
0	-1.0818	_08409_	2
0	-1.0818	_08408_	1
0	-1.0818	_08406_	2
0	-1.0818	_07406_	3
0	-1.0818	_07405_	2
0	-1.0818	_07398_	1
0	-1.0818	_07397_	5
0	-1.0818	_00552_	1
0	-1.0818	_24381_	1
0	-1.0818	_24319_	1
0	-1.0818	core.w_mem_inst.w_mem_update_logic.d1[4]	1
0	-1.0818	_19708_	1
0	-1.0818	_08570_	6
0	-1.0818	core.w_mem_inst.w_mem[14][10]	1
1	-1.0560	_02082_	1
1	-1.0560	_13277_	1
1	-1.0560	_13276_	1
1	-1.0560	_13275_	1
1	-1.0560	_13272_	3
1	-1.0560	_13222_	2
1	-1.0560	_13217_	2
1	-1.0560	_13216_	3
1	-1.0560	_13212_	2
1	-1.0560	_13210_	1
1	-1.0560	_13209_	1
1	-1.0560	_13205_	1
1	-1.0560	_13202_	3
1	-1.0560	_13004_	6
1	-1.0560	_00163_	1
1	-1.0560	_24575_	1
1	-1.0560	core.t1[40]	2
1	-1.0560	_05477_	1
1	-1.0560	_05476_	1
1	-1.0560	_20347_	3
1	-1.0560	_20203_	2
1	-1.0560	_20202_	3
1	-1.0560	_20185_	1
1	-1.0560	_20126_	2
1	-1.0560	_20125_	1
1	-1.0560	_20124_	4
1	-1.0560	_20122_	5
1	-1.0560	_01491_	1
1	-1.0560	_24240_	1
1	-1.0560	_24079_	1
1	-1.0560	_24077_	1
1	-1.0560	core.w_data[20]	1
1	-1.0560	_08417_	2
1	-1.0560	_08416_	1
1	-1.0560	_08415_	1
1	-1.0560	_08414_	2
1	-1.0560	_08412_	2
1	-1.0560	_08411_	1
1	-1.0560	_08409_	2
1	-1.0560	_08408_	1
1	-1.0560	_08406_	2
1	-1.0560	_07406_	3
1	-1.0560	_07405_	2
1	-1.0560	_07398_	1
