# stage	1_synth
# top_module	tpu_top
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.6451	_13033_	1
0	-0.6451	_36765_	1
0	-0.6451	_36764_	1
0	-0.6451	_36759_	4
0	-0.6451	_19348_	2
0	-0.6451	_19347_	1
0	-0.6451	_19346_	2
0	-0.6451	_19345_	2
0	-0.6451	_19342_	1
0	-0.6451	_19341_	1
0	-0.6451	_19304_	4
0	-0.6451	_05190_	1
0	-0.6451	_04935_	8
0	-0.6451	_13310_	4
0	-0.6451	_13309_	1
0	-0.6451	_13308_	2
0	-0.6451	_13307_	1
0	-0.6451	_13305_	2
0	-0.6451	_13304_	1
0	-0.6451	_13301_	1
0	-0.6451	_13300_	3
0	-0.6451	_13299_	1
0	-0.6451	_08884_	3
0	-0.6451	_42951_	1
0	-0.6451	_42900_	1
0	-0.6451	_42898_	1
0	-0.6451	_45990_	1
0	-0.6451	_03465_	1
0	-0.6451	_15522_	8
0	-0.6451	systolic.weight_queue[63][2]	1
1	-0.5929	_11316_	1
1	-0.5929	_20606_	1
1	-0.5929	_20603_	1
1	-0.5929	_20602_	1
1	-0.5929	_20601_	1
1	-0.5929	_20600_	2
1	-0.5929	_20597_	1
1	-0.5929	_20593_	2
1	-0.5929	_20592_	1
1	-0.5929	_20553_	6
1	-0.5929	_07933_	1
1	-0.5929	_07923_	11
1	-0.5929	_13233_	1
1	-0.5929	_13232_	2
1	-0.5929	_13231_	1
1	-0.5929	_13214_	2
1	-0.5929	_13213_	1
1	-0.5929	_13210_	1
1	-0.5929	_13209_	4
1	-0.5929	_10134_	1
1	-0.5929	_42178_	1
1	-0.5929	_42176_	1
1	-0.5929	_40464_	1
1	-0.5929	_40128_	5
1	-0.5929	_03093_	2
1	-0.5929	_15750_	10
1	-0.5929	systolic.data_queue[57][0]	1
2	-0.5921	_13039_	1
2	-0.5921	_36835_	1
2	-0.5921	_36825_	2
2	-0.5921	_36824_	1
2	-0.5921	_20600_	2
2	-0.5921	_20597_	1
2	-0.5921	_20593_	2
2	-0.5921	_20592_	1
2	-0.5921	_20553_	6
2	-0.5921	_07933_	1
2	-0.5921	_07923_	11
2	-0.5921	_13233_	1
2	-0.5921	_13232_	2
2	-0.5921	_13231_	1
2	-0.5921	_13214_	2
2	-0.5921	_13213_	1
2	-0.5921	_13210_	1
2	-0.5921	_13209_	4
2	-0.5921	_10134_	1
2	-0.5921	_42178_	1
2	-0.5921	_42176_	1
2	-0.5921	_40464_	1
2	-0.5921	_40128_	5
2	-0.5921	_03093_	2
2	-0.5921	_15750_	10
2	-0.5921	systolic.data_queue[57][0]	1
3	-0.5885	_13096_	1
3	-0.5885	_37514_	1
3	-0.5885	_37513_	1
3	-0.5885	_37512_	1
3	-0.5885	_37507_	3
3	-0.5885	_31316_	2
3	-0.5885	_31313_	1
3	-0.5885	_31312_	2
3	-0.5885	_31309_	1
3	-0.5885	_31308_	1
3	-0.5885	_31246_	5
3	-0.5885	_10207_	1
3	-0.5885	_06082_	5
3	-0.5885	_17042_	6
3	-0.5885	_17041_	1
3	-0.5885	_17040_	2
3	-0.5885	_17039_	1
3	-0.5885	_17038_	2
3	-0.5885	_17034_	2
3	-0.5885	_17033_	2
3	-0.5885	_17032_	1
3	-0.5885	_09356_	3
3	-0.5885	_47550_	1
3	-0.5885	_47548_	1
3	-0.5885	_46157_	1
3	-0.5885	_46153_	1
3	-0.5885	_03432_	1
3	-0.5885	_15454_	10
3	-0.5885	systolic.data_queue[0][3]	1
4	-0.5871	_13081_	1
4	-0.5871	_37338_	1
4	-0.5871	_37335_	1
4	-0.5871	_37334_	1
4	-0.5871	_37333_	2
4	-0.5871	_28549_	2
4	-0.5871	_28546_	2
4	-0.5871	_28526_	1
4	-0.5871	_28509_	6
4	-0.5871	_08677_	1
4	-0.5871	_04422_	9
4	-0.5871	_13400_	1
4	-0.5871	_13399_	2
4	-0.5871	_13398_	2
4	-0.5871	_13390_	1
4	-0.5871	_13389_	4
4	-0.5871	_05601_	1
4	-0.5871	_43135_	1
4	-0.5871	_42434_	1
4	-0.5871	_41447_	1
4	-0.5871	_41441_	5
4	-0.5871	_03237_	2
4	-0.5871	_15406_	9
4	-0.5871	systolic.weight_queue[15][7]	1
5	-0.5822	_11736_	1
