# stage	1_synth
# top_module	ddr3_controller
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.3957	_06252_	1
0	-0.3957	_34298_	1
0	-0.3957	_34292_	10
0	-0.3957	_34291_	3
0	-0.3957	_34215_	8
0	-0.3957	_34214_	1
0	-0.3957	_34211_	7
0	-0.3957	_34210_	1
0	-0.3957	_00338_	1
0	-0.3957	_00336_	2
0	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
0	-0.3957	_06805_	1
0	-0.3957	_06804_	1
0	-0.3957	_06691_	10
0	-0.3957	_06607_	10
0	-0.3957	_06606_	10
0	-0.3957	_06605_	10
0	-0.3957	_06604_	10
0	-0.3957	_06603_	10
0	-0.3957	_06602_	10
0	-0.3957	_06601_	4
0	-0.3957	lane[1]	3
1	-0.3957	_06251_	1
1	-0.3957	_34295_	1
1	-0.3957	_34292_	10
1	-0.3957	_34291_	3
1	-0.3957	_34215_	8
1	-0.3957	_34214_	1
1	-0.3957	_34211_	7
1	-0.3957	_34210_	1
1	-0.3957	_00338_	1
1	-0.3957	_00336_	2
1	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
1	-0.3957	_06805_	1
1	-0.3957	_06804_	1
1	-0.3957	_06691_	10
1	-0.3957	_06607_	10
1	-0.3957	_06606_	10
1	-0.3957	_06605_	10
1	-0.3957	_06604_	10
1	-0.3957	_06603_	10
1	-0.3957	_06602_	10
1	-0.3957	_06601_	4
1	-0.3957	lane[1]	3
2	-0.3957	_06250_	1
2	-0.3957	_34293_	1
2	-0.3957	_34292_	10
2	-0.3957	_34291_	3
2	-0.3957	_34215_	8
2	-0.3957	_34214_	1
2	-0.3957	_34211_	7
2	-0.3957	_34210_	1
2	-0.3957	_00338_	1
2	-0.3957	_00336_	2
2	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
2	-0.3957	_06805_	1
2	-0.3957	_06804_	1
2	-0.3957	_06691_	10
2	-0.3957	_06607_	10
2	-0.3957	_06606_	10
2	-0.3957	_06605_	10
2	-0.3957	_06604_	10
2	-0.3957	_06603_	10
2	-0.3957	_06602_	10
2	-0.3957	_06601_	4
2	-0.3957	lane[1]	3
3	-0.3957	_06258_	1
3	-0.3957	_34312_	1
3	-0.3957	_34307_	10
3	-0.3957	_34306_	3
3	-0.3957	_34215_	8
3	-0.3957	_34214_	1
3	-0.3957	_34211_	7
3	-0.3957	_34210_	1
3	-0.3957	_00338_	1
3	-0.3957	_00336_	2
3	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
3	-0.3957	_06805_	1
3	-0.3957	_06804_	1
3	-0.3957	_06691_	10
3	-0.3957	_06607_	10
3	-0.3957	_06606_	10
3	-0.3957	_06605_	10
3	-0.3957	_06604_	10
3	-0.3957	_06603_	10
3	-0.3957	_06602_	10
3	-0.3957	_06601_	4
3	-0.3957	lane[1]	3
4	-0.3957	_06257_	1
4	-0.3957	_34310_	1
4	-0.3957	_34307_	10
4	-0.3957	_34306_	3
4	-0.3957	_34215_	8
4	-0.3957	_34214_	1
4	-0.3957	_34211_	7
4	-0.3957	_34210_	1
4	-0.3957	_00338_	1
4	-0.3957	_00336_	2
4	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
4	-0.3957	_06805_	1
4	-0.3957	_06804_	1
4	-0.3957	_06691_	10
4	-0.3957	_06607_	10
4	-0.3957	_06606_	10
4	-0.3957	_06605_	10
4	-0.3957	_06604_	10
4	-0.3957	_06603_	10
4	-0.3957	_06602_	10
4	-0.3957	_06601_	4
4	-0.3957	lane[1]	3
5	-0.3957	_06264_	1
5	-0.3957	_34327_	1
5	-0.3957	_34322_	10
5	-0.3957	_34321_	3
5	-0.3957	_34215_	8
5	-0.3957	_34214_	1
5	-0.3957	_34211_	7
5	-0.3957	_34210_	1
5	-0.3957	_00338_	1
5	-0.3957	_00336_	2
5	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
5	-0.3957	_06805_	1
5	-0.3957	_06804_	1
5	-0.3957	_06691_	10
5	-0.3957	_06607_	10
5	-0.3957	_06606_	10
5	-0.3957	_06605_	10
5	-0.3957	_06604_	10
5	-0.3957	_06603_	10
5	-0.3957	_06602_	10
5	-0.3957	_06601_	4
5	-0.3957	lane[1]	3
6	-0.3957	_06263_	1
6	-0.3957	_34325_	1
6	-0.3957	_34322_	10
6	-0.3957	_34321_	3
6	-0.3957	_34215_	8
6	-0.3957	_34214_	1
6	-0.3957	_34211_	7
6	-0.3957	_34210_	1
6	-0.3957	_00338_	1
6	-0.3957	_00336_	2
6	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
6	-0.3957	_06805_	1
6	-0.3957	_06804_	1
6	-0.3957	_06691_	10
6	-0.3957	_06607_	10
6	-0.3957	_06606_	10
6	-0.3957	_06605_	10
6	-0.3957	_06604_	10
6	-0.3957	_06603_	10
6	-0.3957	_06602_	10
6	-0.3957	_06601_	4
6	-0.3957	lane[1]	3
7	-0.3957	_06270_	1
7	-0.3957	_34341_	1
7	-0.3957	_34336_	10
7	-0.3957	_34335_	3
7	-0.3957	_34215_	8
7	-0.3957	_34214_	1
7	-0.3957	_34211_	7
7	-0.3957	_34210_	1
7	-0.3957	_00338_	1
7	-0.3957	_00336_	2
7	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
7	-0.3957	_06805_	1
7	-0.3957	_06804_	1
7	-0.3957	_06691_	10
7	-0.3957	_06607_	10
7	-0.3957	_06606_	10
7	-0.3957	_06605_	10
7	-0.3957	_06604_	10
7	-0.3957	_06603_	10
7	-0.3957	_06602_	10
7	-0.3957	_06601_	4
7	-0.3957	lane[1]	3
8	-0.3957	_06269_	1
8	-0.3957	_34339_	1
8	-0.3957	_34336_	10
8	-0.3957	_34335_	3
8	-0.3957	_34215_	8
8	-0.3957	_34214_	1
8	-0.3957	_34211_	7
8	-0.3957	_34210_	1
8	-0.3957	_00338_	1
8	-0.3957	_00336_	2
8	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
8	-0.3957	_06805_	1
8	-0.3957	_06804_	1
8	-0.3957	_06691_	10
8	-0.3957	_06607_	10
8	-0.3957	_06606_	10
8	-0.3957	_06605_	10
8	-0.3957	_06604_	10
8	-0.3957	_06603_	10
8	-0.3957	_06602_	10
8	-0.3957	_06601_	4
8	-0.3957	lane[1]	3
9	-0.3957	_06234_	1
9	-0.3957	_34254_	1
9	-0.3957	_34249_	10
9	-0.3957	_34248_	3
9	-0.3957	_34215_	8
9	-0.3957	_34214_	1
9	-0.3957	_34211_	7
9	-0.3957	_34210_	1
9	-0.3957	_00338_	1
9	-0.3957	_00336_	2
9	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
9	-0.3957	_06805_	1
9	-0.3957	_06804_	1
9	-0.3957	_06691_	10
9	-0.3957	_06607_	10
9	-0.3957	_06606_	10
9	-0.3957	_06605_	10
9	-0.3957	_06604_	10
9	-0.3957	_06603_	10
9	-0.3957	_06602_	10
9	-0.3957	_06601_	4
9	-0.3957	lane[1]	3
10	-0.3957	_06233_	1
10	-0.3957	_34252_	1
10	-0.3957	_34249_	10
10	-0.3957	_34248_	3
10	-0.3957	_34215_	8
10	-0.3957	_34214_	1
10	-0.3957	_34211_	7
10	-0.3957	_34210_	1
10	-0.3957	_00338_	1
10	-0.3957	_00336_	2
10	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
10	-0.3957	_06805_	1
10	-0.3957	_06804_	1
10	-0.3957	_06691_	10
10	-0.3957	_06607_	10
10	-0.3957	_06606_	10
10	-0.3957	_06605_	10
10	-0.3957	_06604_	10
10	-0.3957	_06603_	10
10	-0.3957	_06602_	10
10	-0.3957	_06601_	4
10	-0.3957	lane[1]	3
11	-0.3957	_06246_	1
11	-0.3957	_34283_	1
11	-0.3957	_34278_	10
11	-0.3957	_34277_	3
11	-0.3957	_34215_	8
11	-0.3957	_34214_	1
11	-0.3957	_34211_	7
11	-0.3957	_34210_	1
11	-0.3957	_00338_	1
11	-0.3957	_00336_	2
11	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
11	-0.3957	_06805_	1
11	-0.3957	_06804_	1
11	-0.3957	_06691_	10
11	-0.3957	_06607_	10
11	-0.3957	_06606_	10
11	-0.3957	_06605_	10
11	-0.3957	_06604_	10
11	-0.3957	_06603_	10
11	-0.3957	_06602_	10
11	-0.3957	_06601_	4
11	-0.3957	lane[1]	3
12	-0.3957	_06245_	1
12	-0.3957	_34281_	1
12	-0.3957	_34278_	10
12	-0.3957	_34277_	3
12	-0.3957	_34215_	8
12	-0.3957	_34214_	1
12	-0.3957	_34211_	7
12	-0.3957	_34210_	1
12	-0.3957	_00338_	1
12	-0.3957	_00336_	2
12	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
12	-0.3957	_06805_	1
12	-0.3957	_06804_	1
12	-0.3957	_06691_	10
12	-0.3957	_06607_	10
12	-0.3957	_06606_	10
12	-0.3957	_06605_	10
12	-0.3957	_06604_	10
12	-0.3957	_06603_	10
12	-0.3957	_06602_	10
12	-0.3957	_06601_	4
12	-0.3957	lane[1]	3
13	-0.3957	_06240_	1
13	-0.3957	_34268_	1
13	-0.3957	_34263_	10
13	-0.3957	_34262_	3
13	-0.3957	_34215_	8
13	-0.3957	_34214_	1
13	-0.3957	_34211_	7
13	-0.3957	_34210_	1
13	-0.3957	_00338_	1
13	-0.3957	_00336_	2
13	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
13	-0.3957	_06805_	1
13	-0.3957	_06804_	1
13	-0.3957	_06691_	10
13	-0.3957	_06607_	10
13	-0.3957	_06606_	10
13	-0.3957	_06605_	10
13	-0.3957	_06604_	10
13	-0.3957	_06603_	10
13	-0.3957	_06602_	10
13	-0.3957	_06601_	4
13	-0.3957	lane[1]	3
14	-0.3957	_06239_	1
14	-0.3957	_34266_	1
14	-0.3957	_34263_	10
14	-0.3957	_34262_	3
14	-0.3957	_34215_	8
14	-0.3957	_34214_	1
14	-0.3957	_34211_	7
14	-0.3957	_34210_	1
14	-0.3957	_00338_	1
14	-0.3957	_00336_	2
14	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
14	-0.3957	_06805_	1
14	-0.3957	_06804_	1
14	-0.3957	_06691_	10
14	-0.3957	_06607_	10
14	-0.3957	_06606_	10
14	-0.3957	_06605_	10
14	-0.3957	_06604_	10
14	-0.3957	_06603_	10
14	-0.3957	_06602_	10
14	-0.3957	_06601_	4
14	-0.3957	lane[1]	3
15	-0.3957	_06256_	1
15	-0.3957	_34308_	1
15	-0.3957	_34307_	10
15	-0.3957	_34306_	3
15	-0.3957	_34215_	8
15	-0.3957	_34214_	1
15	-0.3957	_34211_	7
15	-0.3957	_34210_	1
15	-0.3957	_00338_	1
15	-0.3957	_00336_	2
15	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
15	-0.3957	_06805_	1
15	-0.3957	_06804_	1
15	-0.3957	_06691_	10
15	-0.3957	_06607_	10
15	-0.3957	_06606_	10
15	-0.3957	_06605_	10
15	-0.3957	_06604_	10
15	-0.3957	_06603_	10
15	-0.3957	_06602_	10
15	-0.3957	_06601_	4
15	-0.3957	lane[1]	3
16	-0.3957	_06262_	1
16	-0.3957	_34323_	1
16	-0.3957	_34322_	10
16	-0.3957	_34321_	3
16	-0.3957	_34215_	8
16	-0.3957	_34214_	1
16	-0.3957	_34211_	7
16	-0.3957	_34210_	1
16	-0.3957	_00338_	1
16	-0.3957	_00336_	2
16	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
16	-0.3957	_06805_	1
16	-0.3957	_06804_	1
16	-0.3957	_06691_	10
16	-0.3957	_06607_	10
16	-0.3957	_06606_	10
16	-0.3957	_06605_	10
16	-0.3957	_06604_	10
16	-0.3957	_06603_	10
16	-0.3957	_06602_	10
16	-0.3957	_06601_	4
16	-0.3957	lane[1]	3
17	-0.3957	_06268_	1
17	-0.3957	_34337_	1
17	-0.3957	_34336_	10
17	-0.3957	_34335_	3
17	-0.3957	_34215_	8
17	-0.3957	_34214_	1
17	-0.3957	_34211_	7
17	-0.3957	_34210_	1
17	-0.3957	_00338_	1
17	-0.3957	_00336_	2
17	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
17	-0.3957	_06805_	1
17	-0.3957	_06804_	1
17	-0.3957	_06691_	10
17	-0.3957	_06607_	10
17	-0.3957	_06606_	10
17	-0.3957	_06605_	10
17	-0.3957	_06604_	10
17	-0.3957	_06603_	10
17	-0.3957	_06602_	10
17	-0.3957	_06601_	4
17	-0.3957	lane[1]	3
18	-0.3957	_06232_	1
18	-0.3957	_34250_	1
18	-0.3957	_34249_	10
18	-0.3957	_34248_	3
18	-0.3957	_34215_	8
18	-0.3957	_34214_	1
18	-0.3957	_34211_	7
18	-0.3957	_34210_	1
18	-0.3957	_00338_	1
18	-0.3957	_00336_	2
18	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
18	-0.3957	_06805_	1
18	-0.3957	_06804_	1
18	-0.3957	_06691_	10
18	-0.3957	_06607_	10
18	-0.3957	_06606_	10
18	-0.3957	_06605_	10
18	-0.3957	_06604_	10
18	-0.3957	_06603_	10
18	-0.3957	_06602_	10
18	-0.3957	_06601_	4
18	-0.3957	lane[1]	3
19	-0.3957	_06244_	1
19	-0.3957	_34279_	1
19	-0.3957	_34278_	10
19	-0.3957	_34277_	3
19	-0.3957	_34215_	8
19	-0.3957	_34214_	1
19	-0.3957	_34211_	7
19	-0.3957	_34210_	1
19	-0.3957	_00338_	1
19	-0.3957	_00336_	2
19	-0.3957	o_phy_idelay_data_cntvaluein[0]	4
19	-0.3957	_06805_	1
19	-0.3957	_06804_	1
19	-0.3957	_06691_	10
19	-0.3957	_06607_	10
19	-0.3957	_06606_	10
19	-0.3957	_06605_	10
19	-0.3957	_06604_	10
19	-0.3957	_06603_	10
19	-0.3957	_06602_	10
19	-0.3957	_06601_	4
19	-0.3957	lane[1]	3
20	-0.3956	_06238_	1
20	-0.3956	_34264_	1
20	-0.3956	_34263_	10
20	-0.3956	_34262_	3
20	-0.3956	_34215_	8
20	-0.3956	_34214_	1
20	-0.3956	_34211_	7
20	-0.3956	_34210_	1
20	-0.3956	_00338_	1
20	-0.3956	_00336_	2
20	-0.3956	o_phy_idelay_data_cntvaluein[0]	4
20	-0.3956	_06805_	1
20	-0.3956	_06804_	1
20	-0.3956	_06691_	10
20	-0.3956	_06607_	10
20	-0.3956	_06606_	10
20	-0.3956	_06605_	10
20	-0.3956	_06604_	10
20	-0.3956	_06603_	10
20	-0.3956	_06602_	10
20	-0.3956	_06601_	4
20	-0.3956	lane[1]	3
21	-0.3924	_06228_	1
21	-0.3924	_34231_	1
21	-0.3924	_34219_	10
21	-0.3924	_34216_	3
21	-0.3924	_34215_	8
21	-0.3924	_34214_	1
21	-0.3924	_34211_	7
21	-0.3924	_34210_	1
21	-0.3924	_00338_	1
21	-0.3924	_00336_	2
21	-0.3924	o_phy_idelay_data_cntvaluein[0]	4
21	-0.3924	_06805_	1
21	-0.3924	_06804_	1
21	-0.3924	_06691_	10
21	-0.3924	_06607_	10
21	-0.3924	_06606_	10
21	-0.3924	_06605_	10
21	-0.3924	_06604_	10
21	-0.3924	_06603_	10
21	-0.3924	_06602_	10
21	-0.3924	_06601_	4
21	-0.3924	lane[1]	3
22	-0.3924	_06227_	1
22	-0.3924	_34225_	1
22	-0.3924	_34219_	10
22	-0.3924	_34216_	3
22	-0.3924	_34215_	8
22	-0.3924	_34214_	1
22	-0.3924	_34211_	7
22	-0.3924	_34210_	1
22	-0.3924	_00338_	1
22	-0.3924	_00336_	2
22	-0.3924	o_phy_idelay_data_cntvaluein[0]	4
22	-0.3924	_06805_	1
22	-0.3924	_06804_	1
22	-0.3924	_06691_	10
22	-0.3924	_06607_	10
22	-0.3924	_06606_	10
22	-0.3924	_06605_	10
22	-0.3924	_06604_	10
22	-0.3924	_06603_	10
22	-0.3924	_06602_	10
22	-0.3924	_06601_	4
22	-0.3924	lane[1]	3
23	-0.3922	_06230_	1
23	-0.3922	_34240_	1
23	-0.3922	_34219_	10
23	-0.3922	_34216_	3
