# stage	1_synth
# top_module	axi_crossbar_wrap_8x8
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-0.6004	_05266_	1
0	-0.6004	_33246_	1
0	-0.6004	_33245_	1
0	-0.6004	_33244_	1
0	-0.6004	_33243_	1
0	-0.6004	_33242_	1
0	-0.6004	_21895_	2
0	-0.6004	_00985_	2
0	-0.6004	_00814_	3
0	-0.6004	_00810_	3
0	-0.6004	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_trans_start[1]	1
0	-0.6004	_08010_	5
0	-0.6004	_08006_	4
0	-0.6004	_07986_	1
0	-0.6004	_07985_	1
0	-0.6004	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_next[0]	5
0	-0.6004	_07958_	3
0	-0.6004	_07955_	4
0	-0.6004	_07953_	2
0	-0.6004	_07951_	9
1	-0.5990	_05255_	1
1	-0.5990	_33203_	1
1	-0.5990	_33202_	1
1	-0.5990	_33201_	1
1	-0.5990	_33200_	1
1	-0.5990	_33199_	1
1	-0.5990	_21821_	2
1	-0.5990	_01270_	2
1	-0.5990	_00836_	3
1	-0.5990	_00832_	3
1	-0.5990	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_trans_start[0]	1
1	-0.5990	_08010_	5
1	-0.5990	_08006_	4
1	-0.5990	_07986_	1
1	-0.5990	_07985_	1
1	-0.5990	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_next[0]	5
1	-0.5990	_07958_	3
1	-0.5990	_07955_	4
1	-0.5990	_07953_	2
1	-0.5990	_07951_	9
2	-0.5875	_05371_	1
2	-0.5875	_33666_	1
2	-0.5875	_33665_	1
2	-0.5875	_33664_	1
2	-0.5875	_33663_	1
2	-0.5875	_33662_	1
2	-0.5875	_24252_	2
2	-0.5875	_00921_	2
2	-0.5875	_00564_	3
2	-0.5875	_00560_	3
2	-0.5875	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.thread_trans_start[1]	1
2	-0.5875	_01428_	4
2	-0.5875	_24213_	4
2	-0.5875	_24212_	3
2	-0.5875	_24195_	1
2	-0.5875	_24194_	1
2	-0.5875	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_select_next[0]	5
2	-0.5875	_10848_	4
2	-0.5875	_10847_	2
2	-0.5875	_10846_	9
3	-0.5828	_05364_	1
3	-0.5828	_33630_	1
3	-0.5828	_33629_	1
3	-0.5828	_33628_	1
3	-0.5828	_33627_	1
3	-0.5828	_33626_	1
3	-0.5828	_24224_	2
3	-0.5828	_00931_	2
3	-0.5828	_00703_	3
3	-0.5828	_00699_	3
3	-0.5828	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.thread_trans_start[0]	1
3	-0.5828	_01428_	4
3	-0.5828	_24213_	4
3	-0.5828	_24212_	3
3	-0.5828	_24195_	1
3	-0.5828	_24194_	1
3	-0.5828	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_select_next[0]	5
3	-0.5828	_10848_	4
3	-0.5828	_10847_	2
3	-0.5828	_10846_	9
4	-0.5723	_03262_	1
4	-0.5723	_21824_	1
4	-0.5723	_21823_	1
4	-0.5723	_21822_	1
4	-0.5723	_21820_	1
4	-0.5723	_01272_	1
4	-0.5723	_00836_	3
4	-0.5723	_00832_	3
4	-0.5723	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_trans_start[0]	1
4	-0.5723	_08010_	5
4	-0.5723	_08006_	4
4	-0.5723	_07986_	1
4	-0.5723	_07985_	1
4	-0.5723	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_next[0]	5
4	-0.5723	_07958_	3
4	-0.5723	_07955_	4
4	-0.5723	_07953_	2
4	-0.5723	_07951_	9
5	-0.5723	_03289_	1
5	-0.5723	_21898_	1
5	-0.5723	_21897_	1
5	-0.5723	_21896_	1
5	-0.5723	_21894_	1
5	-0.5723	_01009_	1
5	-0.5723	_00814_	3
5	-0.5723	_00810_	3
5	-0.5723	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_trans_start[1]	1
5	-0.5723	_08010_	5
5	-0.5723	_08006_	4
5	-0.5723	_07986_	1
5	-0.5723	_07985_	1
5	-0.5723	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_next[0]	5
5	-0.5723	_07958_	3
5	-0.5723	_07955_	4
5	-0.5723	_07953_	2
5	-0.5723	_07951_	9
6	-0.5722	_05256_	1
6	-0.5722	_33208_	1
6	-0.5722	_33207_	1
6	-0.5722	_33206_	1
6	-0.5722	_33205_	1
6	-0.5722	_33204_	1
6	-0.5722	_21834_	2
6	-0.5722	_01225_	2
6	-0.5722	_00522_	3
6	-0.5722	_00517_	3
6	-0.5722	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_start	1
6	-0.5722	_08010_	5
6	-0.5722	_08006_	4
6	-0.5722	_07986_	1
6	-0.5722	_07985_	1
6	-0.5722	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_next[0]	5
6	-0.5722	_07958_	3
6	-0.5722	_07955_	4
6	-0.5722	_07953_	2
6	-0.5722	_07951_	9
7	-0.5705	_05081_	1
7	-0.5705	_32517_	1
7	-0.5705	_32516_	1
7	-0.5705	_32515_	1
7	-0.5705	_32514_	1
7	-0.5705	_32513_	1
7	-0.5705	_17455_	2
7	-0.5705	_00923_	2
7	-0.5705	_00750_	3
7	-0.5705	_00746_	3
7	-0.5705	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_trans_start[1]	1
7	-0.5705	_17467_	10
7	-0.5705	_17466_	3
7	-0.5705	_17419_	4
7	-0.5705	_17400_	2
7	-0.5705	_17395_	1
7	-0.5705	_17394_	1
7	-0.5705	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_select_next[2]	5
7	-0.5705	_10641_	3
7	-0.5705	_10640_	3
7	-0.5705	_10639_	9
8	-0.5686	_05072_	1
8	-0.5686	_32459_	1
8	-0.5686	_32458_	1
8	-0.5686	_32457_	1
8	-0.5686	_32456_	1
8	-0.5686	_32455_	1
8	-0.5686	_17426_	2
8	-0.5686	_01157_	2
8	-0.5686	_00708_	3
8	-0.5686	_00704_	3
8	-0.5686	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_trans_start[0]	1
8	-0.5686	_17422_	10
8	-0.5686	_17421_	3
8	-0.5686	_17419_	4
8	-0.5686	_17400_	2
8	-0.5686	_17395_	1
8	-0.5686	_17394_	1
8	-0.5686	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_select_next[2]	5
8	-0.5686	_10641_	3
8	-0.5686	_10640_	3
8	-0.5686	_10639_	9
9	-0.5669	_05130_	1
9	-0.5669	_32696_	1
9	-0.5669	_32695_	1
9	-0.5669	_32694_	1
9	-0.5669	_32693_	1
9	-0.5669	_32692_	1
9	-0.5669	_18925_	2
9	-0.5669	_01283_	2
9	-0.5669	_00574_	3
9	-0.5669	_00570_	3
9	-0.5669	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.thread_trans_start[0]	1
9	-0.5669	_18921_	10
9	-0.5669	_18920_	3
9	-0.5669	_18917_	7
9	-0.5669	_18913_	1
9	-0.5669	_18907_	1
9	-0.5669	_18906_	1
9	-0.5669	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_select_next[1]	5
9	-0.5669	_10319_	3
9	-0.5669	_10318_	3
9	-0.5669	_10316_	9
10	-0.5669	_05249_	1
10	-0.5669	_33186_	1
10	-0.5669	_33185_	1
10	-0.5669	_33184_	1
10	-0.5669	_33183_	1
10	-0.5669	_33182_	1
10	-0.5669	_21785_	2
10	-0.5669	_01203_	2
10	-0.5669	_00724_	3
10	-0.5669	_00720_	3
10	-0.5669	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.thread_trans_start[1]	1
10	-0.5669	_21800_	10
10	-0.5669	_21799_	3
10	-0.5669	_18917_	7
10	-0.5669	_18913_	1
10	-0.5669	_18907_	1
10	-0.5669	_18906_	1
10	-0.5669	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_select_next[1]	5
10	-0.5669	_10319_	3
10	-0.5669	_10318_	3
10	-0.5669	_10316_	9
11	-0.5549	_05384_	1
11	-0.5549	_33707_	1
11	-0.5549	_33706_	1
11	-0.5549	_33705_	1
11	-0.5549	_33704_	1
11	-0.5549	_33703_	1
11	-0.5549	_24748_	2
11	-0.5549	_01278_	2
11	-0.5549	_00527_	3
11	-0.5549	_00523_	3
11	-0.5549	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[2].addr_inst.thread_trans_start[0]	1
11	-0.5549	_24743_	10
11	-0.5549	_24742_	3
11	-0.5549	_10311_	4
11	-0.5549	_10307_	2
11	-0.5549	_10306_	1
11	-0.5549	_10305_	1
11	-0.5549	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[2].addr_inst.m_select_next[2]	5
11	-0.5549	_10296_	3
11	-0.5549	_10256_	3
11	-0.5549	_10255_	9
12	-0.5549	_05418_	1
12	-0.5549	_33867_	1
12	-0.5549	_33866_	1
12	-0.5549	_33865_	1
12	-0.5549	_33864_	1
12	-0.5549	_33863_	1
12	-0.5549	_25754_	2
12	-0.5549	_01459_	2
12	-0.5549	_00825_	3
12	-0.5549	_00821_	3
12	-0.5549	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[2].addr_inst.thread_trans_start[1]	1
12	-0.5549	_25818_	10
12	-0.5549	_25817_	3
12	-0.5549	_10311_	4
12	-0.5549	_10307_	2
12	-0.5549	_10306_	1
12	-0.5549	_10305_	1
12	-0.5549	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[2].addr_inst.m_select_next[2]	5
12	-0.5549	_10296_	3
12	-0.5549	_10256_	3
12	-0.5549	_10255_	9
13	-0.5547	_03729_	1
13	-0.5547	_24227_	1
13	-0.5547	_24226_	1
13	-0.5547	_24225_	1
13	-0.5547	_24223_	1
13	-0.5547	_00935_	1
13	-0.5547	_00703_	3
13	-0.5547	_00699_	3
13	-0.5547	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.thread_trans_start[0]	1
13	-0.5547	_01428_	4
13	-0.5547	_24213_	4
13	-0.5547	_24212_	3
13	-0.5547	_24195_	1
13	-0.5547	_24194_	1
13	-0.5547	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_select_next[0]	5
13	-0.5547	_10848_	4
13	-0.5547	_10847_	2
13	-0.5547	_10846_	9
14	-0.5547	_03739_	1
14	-0.5547	_24255_	1
14	-0.5547	_24254_	1
14	-0.5547	_24253_	1
14	-0.5547	_24251_	1
14	-0.5547	_00902_	1
14	-0.5547	_00564_	3
14	-0.5547	_00560_	3
14	-0.5547	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.thread_trans_start[1]	1
14	-0.5547	_01428_	4
14	-0.5547	_24213_	4
14	-0.5547	_24212_	3
14	-0.5547	_24195_	1
14	-0.5547	_24194_	1
14	-0.5547	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_select_next[0]	5
14	-0.5547	_10848_	4
14	-0.5547	_10847_	2
14	-0.5547	_10846_	9
15	-0.5530	_05132_	1
15	-0.5530	_32707_	1
15	-0.5530	_32706_	1
15	-0.5530	_32705_	1
15	-0.5530	_32704_	1
15	-0.5530	_32703_	1
15	-0.5530	_18940_	2
15	-0.5530	_00957_	2
15	-0.5530	_00745_	3
15	-0.5530	_00740_	3
15	-0.5530	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.trans_start	1
15	-0.5530	_31758_	3
15	-0.5530	_18917_	7
15	-0.5530	_18913_	1
15	-0.5530	_18907_	1
15	-0.5530	_18906_	1
