# stage	1_synth
# top_module	viterbi_core
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-2.4579	_14674_	1
0	-2.4579	_37603_	7
0	-2.4579	_37598_	1
0	-2.4579	_37591_	2
0	-2.4579	_37590_	1
0	-2.4579	_37589_	2
0	-2.4579	_37588_	1
0	-2.4579	_37586_	2
0	-2.4579	_37585_	1
0	-2.4579	_01826_	2
0	-2.4579	pm_normalize_inst.final_max_matric_s[1]	64
0	-2.4579	_18093_	1
0	-2.4579	_18063_	1
0	-2.4579	_17910_	6
0	-2.4579	_17909_	4
0	-2.4579	_17908_	3
0	-2.4579	_17906_	1
0	-2.4579	_17905_	1
0	-2.4579	_17902_	1
0	-2.4579	_17901_	1
0	-2.4579	_12231_	2
0	-2.4579	pm_normalize_inst.max_matric_2nd_01_s[1]	2
0	-2.4579	_18690_	2
0	-2.4579	_18597_	1
0	-2.4579	_18272_	5
0	-2.4579	_18250_	8
0	-2.4579	_18249_	1
0	-2.4579	_18247_	1
0	-2.4579	_18239_	1
0	-2.4579	_18238_	1
0	-2.4579	_05911_	2
0	-2.4579	pm_normalize_inst.max_matric_2nd_3_s[4]	1
0	-2.4579	_18271_	6
0	-2.4579	_18266_	1
0	-2.4579	_18265_	2
0	-2.4579	_18264_	1
0	-2.4579	_18262_	1
0	-2.4579	_18261_	1
0	-2.4579	_05551_	2
0	-2.4579	_05549_	3
0	-2.4579	_20329_	1
0	-2.4579	_19192_	6
0	-2.4579	_18206_	4
0	-2.4579	_18204_	3
0	-2.4579	_18107_	2
0	-2.4579	_18106_	1
0	-2.4579	_18105_	2
0	-2.4579	_07132_	2
0	-2.4579	pm_normalize_inst.max_matric_56_01_s[5]	1
0	-2.4579	_20332_	10
0	-2.4579	_18129_	8
0	-2.4579	_18128_	1
0	-2.4579	_18122_	1
0	-2.4579	_18114_	2
0	-2.4579	_18113_	2
0	-2.4579	_13820_	2
0	-2.4579	_13818_	3
0	-2.4579	_20327_	1
0	-2.4579	_18227_	6
0	-2.4579	_18225_	6
0	-2.4579	_18217_	2
0	-2.4579	_18216_	2
0	-2.4579	_12913_	3
0	-2.4579	acs_inst_53.pm_o[2]	4
1	-2.4567	_14746_	1
1	-2.4567	_38097_	7
1	-2.4567	_38096_	1
1	-2.4567	_38094_	2
1	-2.4567	_38093_	1
1	-2.4567	_38092_	2
1	-2.4567	_38091_	1
1	-2.4567	_38089_	2
1	-2.4567	_38088_	1
1	-2.4567	_02587_	2
1	-2.4567	pm_normalize_inst.final_max_matric_s[1]	64
1	-2.4567	_18093_	1
1	-2.4567	_18063_	1
1	-2.4567	_17910_	6
1	-2.4567	_17909_	4
1	-2.4567	_17908_	3
1	-2.4567	_17906_	1
1	-2.4567	_17905_	1
1	-2.4567	_17902_	1
1	-2.4567	_17901_	1
1	-2.4567	_12231_	2
1	-2.4567	pm_normalize_inst.max_matric_2nd_01_s[1]	2
1	-2.4567	_18690_	2
1	-2.4567	_18597_	1
1	-2.4567	_18272_	5
1	-2.4567	_18250_	8
1	-2.4567	_18249_	1
1	-2.4567	_18247_	1
1	-2.4567	_18239_	1
1	-2.4567	_18238_	1
1	-2.4567	_05911_	2
1	-2.4567	pm_normalize_inst.max_matric_2nd_3_s[4]	1
1	-2.4567	_18271_	6
1	-2.4567	_18266_	1
1	-2.4567	_18265_	2
1	-2.4567	_18264_	1
1	-2.4567	_18262_	1
1	-2.4567	_18261_	1
