# stage	1_synth
# top_module	wb_dma_top
# top_n	1000
# kind	top_path_net_fanout
# path_idx	slack_ns	net_name	fanout
0	-7.5527	_00180_	1785
1	-7.5527	_00180_	1785
2	-7.5527	_00180_	1785
3	-7.5527	_00180_	1785
4	-7.5527	_00180_	1785
5	-7.5527	_00180_	1785
6	-7.5527	_00180_	1785
7	-7.5527	_00180_	1785
8	-7.5527	_00180_	1785
9	-7.5527	_00180_	1785
10	-7.5527	_00180_	1785
11	-7.5527	_00180_	1785
12	-7.5527	_00180_	1785
13	-7.5527	_00180_	1785
14	-7.5527	_00180_	1785
15	-7.5527	_00180_	1785
16	-7.5527	_00180_	1785
17	-7.5527	_00180_	1785
18	-7.5527	_00180_	1785
19	-7.5527	_00180_	1785
20	-7.5527	_00180_	1785
21	-7.5527	_00180_	1785
22	-7.5527	_00180_	1785
23	-7.5527	_00180_	1785
24	-7.5527	_00180_	1785
25	-7.5527	_00180_	1785
26	-7.5527	_00180_	1785
27	-7.5527	_00180_	1785
28	-7.5527	_00180_	1785
29	-7.5527	_00180_	1785
30	-7.5527	_00180_	1785
31	-7.5527	_00180_	1785
32	-7.5527	_00180_	1785
33	-7.5527	_00180_	1785
34	-7.5527	_00180_	1785
35	-7.5527	_00180_	1785
36	-7.5527	_00180_	1785
37	-7.5527	_00180_	1785
38	-7.5527	_00180_	1785
39	-7.5527	_00180_	1785
40	-7.5527	_00180_	1785
41	-7.5527	_00180_	1785
42	-7.5527	_00180_	1785
43	-7.5527	_00180_	1785
44	-7.5527	_00180_	1785
45	-7.5527	_00180_	1785
46	-7.5527	_00180_	1785
47	-7.5527	_00180_	1785
48	-7.5527	_00180_	1785
49	-7.5527	_00180_	1785
50	-7.5527	_00180_	1785
51	-7.5527	_00180_	1785
52	-7.5527	_00180_	1785
53	-7.5527	_00180_	1785
54	-7.5527	_00180_	1785
55	-7.5527	_00180_	1785
56	-7.5527	_00180_	1785
57	-7.5527	_00180_	1785
58	-7.5527	_00180_	1785
59	-7.5527	_00180_	1785
60	-7.5527	_00180_	1785
61	-7.5527	_00180_	1785
62	-7.5527	_00180_	1785
63	-7.5527	_00180_	1785
64	-7.5527	_00180_	1785
65	-7.5527	_00180_	1785
66	-7.5527	_00180_	1785
67	-7.5527	_00180_	1785
68	-7.5527	_00180_	1785
69	-7.5527	_00180_	1785
70	-7.5527	_00180_	1785
71	-7.5527	_00180_	1785
72	-7.5527	_00180_	1785
73	-7.5527	_00180_	1785
74	-7.5527	_00180_	1785
75	-7.5527	_00180_	1785
76	-7.5527	_00180_	1785
77	-7.5527	_00180_	1785
78	-7.5527	_00180_	1785
79	-7.5527	_00180_	1785
80	-7.5527	_00180_	1785
81	-7.5527	_00180_	1785
82	-7.5527	_00180_	1785
83	-7.5527	_00180_	1785
84	-7.5527	_00180_	1785
85	-7.5527	_00180_	1785
86	-7.5527	_00180_	1785
87	-7.5527	_00180_	1785
88	-7.5527	_00180_	1785
89	-7.5527	_00180_	1785
90	-7.5527	_00180_	1785
91	-7.5527	_00180_	1785
92	-7.5527	_00180_	1785
93	-7.5527	_00180_	1785
94	-7.5527	_00180_	1785
95	-7.5527	_00180_	1785
96	-7.5527	_00180_	1785
97	-7.5527	_00180_	1785
98	-7.5527	_00180_	1785
99	-7.5527	_00180_	1785
100	-7.5527	_00180_	1785
101	-7.5527	_00180_	1785
102	-7.5527	_00180_	1785
103	-7.5527	_00180_	1785
104	-7.5527	_00180_	1785
105	-7.5527	_00180_	1785
106	-7.5527	_00180_	1785
107	-7.5527	_00180_	1785
108	-7.5527	_00180_	1785
109	-7.5527	_00180_	1785
110	-7.5527	_00180_	1785
111	-7.5527	_00180_	1785
112	-7.5527	_00180_	1785
113	-7.5527	_00180_	1785
114	-7.5527	_00180_	1785
115	-7.5527	_00180_	1785
116	-7.5527	_00180_	1785
117	-7.5527	_00180_	1785
118	-7.5527	_00180_	1785
119	-7.5527	_00180_	1785
120	-7.5527	_00180_	1785
121	-7.5527	_00180_	1785
122	-7.5527	_00180_	1785
123	-7.5527	_00180_	1785
124	-7.5527	_00180_	1785
125	-7.5527	_00180_	1785
126	-7.5527	_00180_	1785
127	-7.5527	_00180_	1785
128	-7.5527	_00180_	1785
129	-7.5527	_00180_	1785
130	-7.5527	_00180_	1785
131	-7.5527	_00180_	1785
132	-7.5527	_00180_	1785
133	-7.5527	_00180_	1785
134	-7.5527	_00180_	1785
135	-7.5527	_00180_	1785
136	-7.5527	_00180_	1785
137	-7.5527	_00180_	1785
138	-7.5527	_00180_	1785
139	-7.5527	_00180_	1785
140	-7.5527	_00180_	1785
141	-7.5527	_00180_	1785
142	-7.5527	_00180_	1785
143	-7.5527	_00180_	1785
144	-7.5527	_00180_	1785
145	-7.5527	_00180_	1785
146	-7.5527	_00180_	1785
147	-7.5527	_00180_	1785
148	-7.5527	_00180_	1785
149	-7.5527	_00180_	1785
150	-7.5527	_00180_	1785
151	-7.5527	_00180_	1785
152	-7.5527	_00180_	1785
153	-7.5527	_00180_	1785
154	-7.5527	_00180_	1785
155	-7.5527	_00180_	1785
156	-7.5527	_00180_	1785
157	-7.5527	_00180_	1785
158	-7.5527	_00180_	1785
159	-7.5527	_00180_	1785
160	-7.5527	_00180_	1785
161	-7.5527	_00180_	1785
162	-7.5527	_00180_	1785
163	-7.5527	_00180_	1785
164	-7.5527	_00180_	1785
165	-7.5527	_00180_	1785
166	-7.5527	_00180_	1785
167	-7.5527	_00180_	1785
168	-7.5527	_00180_	1785
169	-7.5527	_00180_	1785
170	-7.5527	_00180_	1785
171	-7.5527	_00180_	1785
172	-7.5527	_00180_	1785
173	-7.5527	_00180_	1785
174	-7.5527	_00180_	1785
175	-7.5527	_00180_	1785
176	-7.5527	_00180_	1785
177	-7.5527	_00180_	1785
178	-7.5527	_00180_	1785
179	-7.5527	_00180_	1785
180	-7.5527	_00180_	1785
181	-7.5527	_00180_	1785
182	-7.5527	_00180_	1785
183	-7.5527	_00180_	1785
184	-7.5527	_00180_	1785
185	-7.5527	_00180_	1785
186	-7.5527	_00180_	1785
187	-7.5527	_00180_	1785
188	-7.5527	_00180_	1785
189	-7.5527	_00180_	1785
190	-7.5527	_00180_	1785
191	-7.5527	_00180_	1785
192	-7.5527	_00180_	1785
193	-7.5527	_00180_	1785
194	-7.5527	_00180_	1785
195	-7.5527	_00180_	1785
196	-7.5527	_00180_	1785
197	-7.5527	_00180_	1785
198	-7.5527	_00180_	1785
199	-7.5527	_00180_	1785
200	-7.5527	_00180_	1785
201	-7.5527	_00180_	1785
202	-7.5527	_00180_	1785
203	-7.5527	_00180_	1785
204	-7.5527	_00180_	1785
205	-7.5527	_00180_	1785
206	-7.5527	_00180_	1785
207	-7.5527	_00180_	1785
208	-7.5527	_00180_	1785
209	-7.5527	_00180_	1785
210	-7.5527	_00180_	1785
211	-7.5527	_00180_	1785
