held_out,beta_input_ns,beta_output_ns,train_mean_rbo,rbo_raw,rbo_filter_only,rbo_corrected,gain_corr_over_filter,gain_corr_over_raw
aes,0.35000000000000087,-0.2999999999999997,0.7466464856014973,0.7508686555408153,0.7508686555408153,0.7493815812125477,-0.001487074328267557,-0.001487074328267557
bitonic_sorter,0.35000000000000087,-0.2999999999999997,0.7291672657117289,0.6478059857142857,0.6478059857142857,0.9416530000000001,0.29384701428571436,0.29384701428571436
double_fpu,0.35000000000000087,-0.2999999999999997,0.7523608486513841,0.6848002254919756,0.6848002254919756,0.6865235876637914,0.0017233621718157899,0.0017233621718157899
e203,0.35000000000000087,-0.2999999999999997,0.7656172749305363,0.0,0.6284035860831108,0.540702898593116,-0.08770068748999471,0.540702898593116
jpeg_encoder,0.35000000000000087,-0.2999999999999997,0.7425460401543001,0.4356406338856582,0.4356406338856582,0.7944864811317162,0.35884584724605795,0.35884584724605795
reed_solomon,0.3000000000000008,-0.34999999999999976,0.7455096810611374,0.4852407546377083,0.4852407546377083,0.5831340453273639,0.09789329068965558,0.09789329068965558
sha512,0.35000000000000087,-0.2999999999999997,0.7281841412278386,0.9468671066045179,0.9468689565949142,0.9524673693227931,0.005598412727878865,0.005600262718275184
systolic_tpu,0.35000000000000087,-0.2999999999999997,0.7373012863866301,0.7597211689303462,0.7597211689303462,0.8521787725760859,0.09245760364573963,0.09245760364573963
uberddr3,0.35000000000000087,-0.2999999999999997,0.7615475573331675,0.16516883181743505,0.16516883181743505,0.5854697921641753,0.42030096034674025,0.42030096034674025
verilog_axi,0.2500000000000008,-0.2999999999999997,0.7768504376722365,0.045797712278899796,0.045797712278899796,0.3212286671957242,0.2754309549168244,0.2754309549168244
viterbi,0.35000000000000087,-0.2999999999999997,0.7499416012843223,0.6773710604548677,0.6773703347245623,0.7131353087014725,0.03576497397691014,0.035764248246604735
wb_dma,0.35000000000000087,-0.2999999999999997,0.7311191853150578,0.06671676832290943,0.8276673036205795,0.9201818843633807,0.09251458074280117,0.8534651160404713
