held_out,beta_input_ns,beta_output_ns,beta_internal_ns,beta_both_derived_ns,rbo_raw,rbo_filter_only,rbo_corrected,gain_filter_over_raw,gain_corr_over_filter,gain_corr_over_raw
aes,0.22611649999999994,-0.32511100000000004,-0.04163925,-0.057355250000000094,0.7508686555408153,0.7508686555408153,0.7491702945024242,0.0,-0.0016983610383910497,-0.0016983610383910497
bitonic_sorter,0.22611649999999994,-0.320279,-0.0502035,-0.04395900000000004,0.6478059857142857,0.6478059857142857,0.9416530000000001,0.0,0.29384701428571436,0.29384701428571436
double_fpu,0.22611649999999994,-0.320279,-0.041862750000000004,-0.052299750000000034,0.6848002254919756,0.6848002254919756,0.6869592485719415,0.0,0.0021590230799658494,0.0021590230799658494
e203,0.22601974999999996,-0.32511100000000004,-0.04998,-0.04911125000000008,0.0,0.6284035860831108,0.5606660562659601,0.6284035860831108,-0.06773752981715064,0.5606660562659601
jpeg_encoder,0.22592299999999998,-0.320279,-0.0502035,-0.0441525,0.4356406338856582,0.4356406338856582,0.8002352699130046,0.0,0.36459463602734643,0.36459463602734643
reed_solomon,0.22592299999999998,-0.320279,-0.0502035,-0.0441525,0.4852407546377083,0.4852407546377083,0.7257464664475297,0.0,0.2405057118098214,0.2405057118098214
sha512,0.22592299999999998,-0.320279,-0.04163925,-0.05271674999999999,0.9468671066045179,0.9468689565949142,0.9607899006690555,1.8499903963187236e-06,0.01392094407414124,0.013922794064537558
systolic_tpu,0.22611649999999994,-0.32511100000000004,-0.04163925,-0.057355250000000094,0.7597211689303462,0.7597211689303462,0.8612361983909416,0.0,0.10151502946059532,0.10151502946059532
uberddr3,0.22592299999999998,-0.32511100000000004,-0.0502035,-0.048984500000000056,0.16516883181743505,0.16516883181743505,0.57755486454699,0.0,0.412386032729555,0.412386032729555
verilog_axi,0.22592299999999998,-0.320279,-0.0502035,-0.0441525,0.045797712278899796,0.045797712278899796,0.3321994544830568,0.0,0.28640174220415704,0.28640174220415704
viterbi,0.22611649999999994,-0.32511100000000004,-0.04163925,-0.057355250000000094,0.6773710604548677,0.6773703347245623,0.7156794879782105,-7.257303054064579e-07,0.03830915325364814,0.038308427523342736
wb_dma,0.22601974999999996,-0.32511100000000004,-0.04163925,-0.05745200000000007,0.06671676832290943,0.8276673036205795,0.9183705060447817,0.7609505352976701,0.09070320242420216,0.8516537377218723
