design,rbo_raw_p060,rbo_post_async_p060,rbo_post_io_p060,rbo_raw_p090,rbo_post_async_p090,rbo_post_io_p090,rbo_raw_p096,rbo_post_async_p096,rbo_post_io_p096
aes,0.7744,0.7744,0.7744,0.7509,0.7509,0.7499,0.7994,0.7994,0.8202
bitonic_sorter,0.1654,0.1654,0.9200,0.6478,0.6478,0.9417,0.8415,0.8415,0.9721
double_fpu,0.2698,0.2698,0.2698,0.6848,0.6848,0.6868,0.7729,0.7729,0.8134
e203,0.0000,0.3420,0.3366,0.0000,0.6284,0.5607,0.0000,0.7496,0.6851
jpeg_encoder,0.8217,0.8217,0.8869,0.4356,0.4356,0.8062,0.4093,0.4093,0.8069
reed_solomon,0.4863,0.4863,0.5280,0.4852,0.4852,0.7298,0.3758,0.3758,0.7769
sha512,0.9753,0.9753,0.9753,0.9469,0.9469,0.9621,0.8782,0.8791,0.9388
systolic_tpu,0.9102,0.9102,0.9154,0.7597,0.7597,0.8644,0.7105,0.7105,0.8757
uberddr3,0.0199,0.0199,0.2128,0.1652,0.1652,0.5763,0.2604,0.2604,0.6264
verilog_axi,0.0001,0.0001,0.2138,0.0458,0.0458,0.3384,0.1643,0.1643,0.5224
viterbi,0.7884,0.7884,0.7904,0.6774,0.6774,0.7153,0.6484,0.6480,0.7398
wb_dma,0.0001,0.9666,0.9974,0.0667,0.8277,0.9190,0.2567,0.7891,0.8581
MEAN,0.4343,0.5434,0.6517,0.4722,0.5879,0.7375,0.5098,0.6167,0.7863
