held_out,n_iters,beta_input_ns,beta_output_ns,beta_internal_ns,beta_both_derived_ns,rbo_raw_p060,rbo_corr_p060,rbo_raw_p090,rbo_corr_p090,rbo_raw_p096,rbo_corr_p096
aes,12,0.23430325000000002,-0.33269499999999996,-0.034226999999999994,-0.06416474999999995,0.5932257538772486,0.5260813104070022,0.7671855787447385,0.7412775134691927,0.7856953131349952,0.8152456716401814
bitonic_sorter,12,0.23430325000000002,-0.33269499999999996,-0.03076050000000005,-0.06763124999999989,0.3787666285714286,0.8683769904761905,0.7340781571428571,0.9348449976190478,0.8801316164110631,0.9699946414040991
double_fpu,12,0.23430325000000002,-0.3313005,-0.034226999999999994,-0.06277024999999999,0.42479774478158333,0.4247973697187415,0.6669493491660544,0.6674132817088038,0.7587811977102755,0.7760934530957379
e203,10,0.2274585,-0.33269499999999996,-0.034226999999999994,-0.07100949999999996,0.36028982974547413,0.35645478279734266,0.5147252615506537,0.5635505768012508,0.46967355770485975,0.6695620389940411
jpeg_encoder,12,0.2274585,-0.3313005,-0.034226999999999994,-0.069615,0.808091723737716,0.8338684929148062,0.527114966515729,0.8066023410006816,0.44358070829361834,0.791436053997999
reed_solomon,10,0.2274585,-0.33269499999999996,-0.034226999999999994,-0.07100949999999996,0.3229550117128238,0.5681325253590959,0.27214325067039047,0.6154637574933659,0.23881062937904413,0.7128828637984894
sha512,12,0.23430325000000002,-0.3313005,-0.03076050000000005,-0.06623674999999993,0.7526265687030689,0.7682274161559656,0.8333365657371489,0.8548442964192527,0.8088749477316911,0.8709670756171954
systolic_tpu,12,0.23430325000000002,-0.33269499999999996,-0.03076050000000005,-0.06763124999999989,0.47874807216925097,0.49010783506221123,0.4931043934843069,0.6696344357525111,0.4882589124769943,0.7499987164800664
uberddr3,12,0.2274585,-0.3313005,-0.03076050000000005,-0.07308149999999994,0.09578318703371792,0.3062652186996576,0.2860953484021435,0.6249709455615708,0.36173539929299525,0.6761507551040142
verilog_axi,12,0.2274585,-0.3313005,-0.03076050000000005,-0.07308149999999994,0.00020045819370914577,0.240300884414497,0.052857749668739705,0.5573494726062037,0.16466387504570598,0.659512130848437
viterbi,12,0.23430325000000002,-0.33269499999999996,-0.034226999999999994,-0.06416474999999995,0.8395118679830132,0.8429845863079359,0.6942112970343873,0.725070809835677,0.6469679048168328,0.7309857377641847
wb_dma,12,0.2274585,-0.3313005,-0.03076050000000005,-0.07308149999999994,0.8382275800057495,0.9005431821545041,0.7415600176536209,0.8765284845199032,0.7361954481113879,0.8225926738768853
