design,port_class,n_iters,median_delta_ns
aes,both,4,-0.048591
aes,input_only,12,0.14430649999999998
aes,internal,12,-0.02768624999999994
aes,output_only,12,-0.286053
bitonic_sorter,input_only,12,0.14033725000000002
bitonic_sorter,internal,12,-0.04234725
bitonic_sorter,output_only,12,-0.32943075
double_fpu,input_only,12,0.1968845
double_fpu,internal,12,-0.03076050000000005
double_fpu,output_only,12,-0.333596
e203,both,10,0.042109999999999995
e203,input_only,10,0.34059724999999996
e203,internal,10,0.16318875
e203,output_only,10,-0.20816000000000007
jpeg_encoder,input_only,12,0.26978725
jpeg_encoder,internal,12,-0.007220749999999998
jpeg_encoder,output_only,12,-0.33269499999999996
reed_solomon,input_only,10,0.27906675
reed_solomon,internal,10,-0.017471749999999966
reed_solomon,output_only,10,-0.327483
sha512,both,12,-0.06624425
sha512,input_only,12,0.19633100000000003
sha512,internal,12,-0.16295200000000004
sha512,output_only,12,-0.3540225
systolic_tpu,input_only,12,0.2274585
systolic_tpu,internal,12,-0.05642125000000002
systolic_tpu,output_only,12,-0.32908574999999995
uberddr3,input_only,12,0.23430325000000002
uberddr3,internal,12,-0.034226999999999994
uberddr3,output_only,12,-0.33426750000000005
verilog_axi,both,12,-0.07659200000000001
verilog_axi,input_only,12,0.23479075
verilog_axi,internal,12,-0.05551249999999999
verilog_axi,output_only,12,-0.350597
viterbi,input_only,12,0.1648775
viterbi,internal,12,-0.015696500000000002
viterbi,output_only,12,-0.3313005
wb_dma,both,12,-0.027908499999999996
wb_dma,input_only,12,0.23683500000000002
wb_dma,internal,12,-0.12259199999999992
wb_dma,output_only,12,-0.36681699999999995
