iter_id,design,port_class,n,median_delta_ns
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_1,bitonic_sorter,input_only,2,-0.02941350000000001
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_1,bitonic_sorter,internal,4,-0.033015499999999996
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_1,bitonic_sorter,output_only,2,-0.3168065
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_2,bitonic_sorter,input_only,2,0.13760850000000002
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_2,bitonic_sorter,internal,4,-0.073373
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_2,bitonic_sorter,output_only,2,-0.32650100000000004
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_3,bitonic_sorter,input_only,2,0.096524
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_3,bitonic_sorter,internal,4,-0.06338599999999998
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_3,bitonic_sorter,output_only,2,-0.3565675
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_4,bitonic_sorter,input_only,2,0.143066
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_4,bitonic_sorter,internal,4,-0.051427
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_1__iter_4,bitonic_sorter,output_only,2,-0.3376935
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_1,bitonic_sorter,input_only,2,0.144424
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_1,bitonic_sorter,internal,4,-0.053266499999999994
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_1,bitonic_sorter,output_only,2,-0.32836
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_2,bitonic_sorter,input_only,1,-0.056194999999999995
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_2,bitonic_sorter,internal,1,-0.061843
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_2,bitonic_sorter,output_only,1,-0.326259
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_3,bitonic_sorter,input_only,1,-0.026171
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_3,bitonic_sorter,internal,1,-0.07191399999999999
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_3,bitonic_sorter,output_only,1,-0.32633899999999993
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_4,bitonic_sorter,input_only,1,-0.010610000000000008
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_4,bitonic_sorter,internal,3,0.03373999999999999
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_2__iter_4,bitonic_sorter,output_only,2,-0.326266
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_1,bitonic_sorter,input_only,2,0.15735700000000002
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_1,bitonic_sorter,internal,4,-0.033267500000000005
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_1,bitonic_sorter,output_only,2,-0.3305015
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_2,bitonic_sorter,input_only,2,0.15735700000000002
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_2,bitonic_sorter,internal,4,-0.033267500000000005
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_2,bitonic_sorter,output_only,2,-0.3305015
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_3,bitonic_sorter,input_only,2,0.15735700000000002
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_3,bitonic_sorter,internal,4,-0.033267500000000005
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_3,bitonic_sorter,output_only,2,-0.3305015
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_4,bitonic_sorter,input_only,2,0.15735700000000002
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_4,bitonic_sorter,internal,4,-0.033267500000000005
2026-06-05_11-31-11__mcjtag__bitonic_sorter__reference_epoch_3__iter_4,bitonic_sorter,output_only,2,-0.3305015
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_1,double_fpu,input_only,173,0.20529200000000003
