held_out,n_iters,n_train_iters,nfev,train_rbo_target,beta_input_ns,beta_output_ns,beta_internal_ns,beta_both_derived_ns,rbo_raw_p060,rbo_corr_p060,rbo_raw_p090,rbo_corr_p090,rbo_raw_p096,rbo_corr_p096
aes,12,128,82,0.719474779408894,0.2312570964238635,-0.3397694828033613,-0.03606238733657148,-0.0724499990429263,0.5932257538772433,0.5160868916864952,0.7671381952916091,0.7376439746853461,0.7815031618344309,0.8095086763498096
bitonic_sorter,12,128,96,0.7024691684662283,0.19348450106015871,-0.3372161813723902,-0.035014563671450984,-0.10871711664078049,0.3787666285714286,0.8829689904761905,0.7340781571428571,0.9448754976190479,0.8801316164110631,0.9747653345240987
double_fpu,12,128,64,0.7261560812900947,0.235919250410616,-0.33810726503300637,-0.03454776309644077,-0.06764025152594959,0.42479774575504203,0.4247977457845204,0.6670711038658647,0.6677287122006524,0.7590604903892942,0.7780539707636162
e203,10,130,62,0.7356491537788166,0.22382821585059395,-0.3390200043737318,-0.036682983909778304,-0.07850880461335955,0.36028982974547413,0.35646695693954883,0.5147252615506537,0.5640054215694887,0.46967355770485975,0.6705444582486144
jpeg_encoder,12,128,76,0.7150052976940264,0.2098380756519541,-0.33827440281857935,-0.03464526151419453,-0.09379106565243073,0.808091723737716,0.8342412508084657,0.5271146151302276,0.8074890214244973,0.44346171431378084,0.7898742346552502
reed_solomon,10,130,75,0.7314541424781584,0.20842592945366745,-0.3472499352476589,-0.036016090673993535,-0.10280791511999793,0.322955014099962,0.514996547743751,0.2722525808245192,0.6124174471561767,0.23914883277322813,0.7190143678090435
sha512,12,128,78,0.7090551214784143,0.24016786795237555,-0.3326618944045304,-0.030309467039305427,-0.06218455941284945,0.7526265687002952,0.7682279703363789,0.8332894957673669,0.8548787016298324,0.80756676099415,0.8696481190181373
systolic_tpu,12,128,79,0.7276930926761076,0.19759222629916262,-0.3496784468251587,-0.03257429906214702,-0.11951192146384906,0.47874807216925097,0.48646412443914583,0.4931043934843069,0.6511370393134795,0.4882589124769943,0.7334182751464392
uberddr3,12,128,59,0.7300287042348536,0.22819914544917733,-0.33206232716377854,-0.030964630468241067,-0.07289855124636015,0.09578733916167448,0.30228537213620493,0.288361908930458,0.6248493411746707,0.3678369991759311,0.6812800444106344
verilog_axi,12,128,89,0.7390328657740665,0.19067387135149977,-0.3221391500738954,-0.03596377632243284,-0.09550150239996277,0.00020045819370914577,0.22367115014828376,0.052857749668739705,0.5186895604283929,0.16466387504570598,0.628975803181254
viterbi,12,128,87,0.7222234168346308,0.20550088286736568,-0.33680267403011116,-0.03629278739865433,-0.09500900376409116,0.8395130195667289,0.8429887184556812,0.6937817014059929,0.7251890392254318,0.6320693859340223,0.7191242055226992
wb_dma,12,128,80,0.7087173463542558,0.2125675351525222,-0.3351043536149575,-0.031567533970057945,-0.09096928449237736,0.8382275800062678,0.9007578891202085,0.7415727253507227,0.876686069830228,0.7362878484977818,0.8216118490101522
