design,n_iters,baseline_rbo,async_corrected_rbo,mom_rbo,rbo_rbo,mom_gain,rbo_gain,mom_beta_input,mom_beta_output,mom_beta_internal,rbo_beta_input,rbo_beta_output,rbo_beta_internal,rbo_nfev
aes,12,0.7671383653133131,0.7671381952916091,0.7411962209440764,0.7376439746853461,-0.025941974347532648,-0.029494220606262944,0.23430325000000002,-0.33269499999999996,-0.034226999999999994,0.2312570964238635,-0.3397694828033613,-0.03606238733657148,82.0
bitonic_sorter,12,0.7340781571428571,0.7340781571428571,0.9448754976190479,0.9448754976190479,0.2107973404761908,0.2107973404761908,0.23430325000000002,-0.33269499999999996,-0.03076050000000005,0.19348450106015871,-0.3372161813723902,-0.035014563671450984,96.0
double_fpu,12,0.6670711038658647,0.6670711038658647,0.6677395016924114,0.6677287122006524,0.0006683978265467072,0.0006576083347877848,0.23430325000000002,-0.3313005,-0.034226999999999994,0.235919250410616,-0.33810726503300637,-0.03454776309644077,64.0
e203,10,0.07010585552062679,0.5147252615506537,0.563550557534752,0.5640054215694887,0.04882529598409835,0.04928016001883506,0.2274585,-0.33269499999999996,-0.034226999999999994,0.22382821585059395,-0.3390200043737318,-0.036682983909778304,62.0
jpeg_encoder,12,0.5271146151302276,0.5271146151302276,0.8079333394889576,0.8074890214244973,0.28081872435873,0.2803744062942697,0.2274585,-0.3313005,-0.034226999999999994,0.2098380756519541,-0.33827440281857935,-0.03464526151419453,76.0
reed_solomon,10,0.2722525808245192,0.2722525808245192,0.6234631625356427,0.6124174471561767,0.3512105817111235,0.34016486633165754,0.2274585,-0.33269499999999996,-0.034226999999999994,0.20842592945366745,-0.3472499352476589,-0.036016090673993535,75.0
sha512,12,0.8332894438193343,0.8332894957673669,0.8547798349121405,0.8548787016298324,0.021490339144773607,0.021589205862465488,0.23430325000000002,-0.3313005,-0.03076050000000005,0.24016786795237555,-0.3326618944045304,-0.030309467039305427,78.0
systolic_tpu,12,0.4931043934843069,0.4931043934843069,0.6622996125422379,0.6511370393134795,0.169195219057931,0.15803264582917265,0.23430325000000002,-0.33269499999999996,-0.03076050000000005,0.19759222629916262,-0.3496784468251587,-0.03257429906214702,79.0
uberddr3,12,0.288361908930458,0.288361908930458,0.6249653035527433,0.6248493411746707,0.3366033946222853,0.33648743224421274,0.2274585,-0.3313005,-0.03076050000000005,0.22819914544917733,-0.33206232716377854,-0.030964630468241067,59.0
verilog_axi,12,0.052857749668739705,0.052857749668739705,0.5573493164128748,0.5186895604283929,0.5044915667441351,0.4658318107596532,0.2274585,-0.3313005,-0.03076050000000005,0.19067387135149977,-0.3221391500738954,-0.03596377632243284,89.0
viterbi,12,0.6937822038435838,0.6937817014059929,0.724903873084957,0.7251890392254318,0.031122171678964028,0.03140733781943883,0.23430325000000002,-0.33269499999999996,-0.034226999999999994,0.20550088286736568,-0.33680267403011116,-0.03629278739865433,87.0
wb_dma,12,0.6809362524814526,0.7415727253507227,0.8773471175349267,0.876686069830228,0.13577439218420395,0.1351133444795053,0.2274585,-0.3313005,-0.03076050000000005,0.2125675351525222,-0.3351043536149575,-0.031567533970057945,80.0
MEAN (per-design),11,0.5066743858354402,0.5487789907011099,0.7208669448212306,0.7154658188547703,0.17208795412012082,0.16668682815366054,,,,,,,
MEAN (iter-weighted),140,0.5162599620543794,0.5532158498300678,0.7245058043865459,0.7191016584116828,0.17128995455647822,0.16588580858161517,,,,,,,
