held_out,beta_input_ns,beta_output_ns,beta_both_ns,rbo_raw,rbo_filter_only,rbo_corrected,gain_filter_over_raw,gain_corr_over_filter,gain_corr_over_raw
aes,0.22611649999999994,-0.32511100000000004,-0.03551625000000001,0.7744217937533022,0.7744217937533022,0.7744049001800827,0.0,-1.689357321954521e-05,-1.689357321954521e-05
bitonic_sorter,0.22611649999999994,-0.320279,-0.025986000000000002,0.16542994285714285,0.16542994285714285,0.9200320000000002,0.0,0.7546020571428573,0.7546020571428573
double_fpu,0.22611649999999994,-0.320279,-0.025986000000000002,0.2697752834501902,0.2697752834501902,0.26977527267585777,0.0,-1.077433242624437e-08,-1.077433242624437e-08
e203,0.22601974999999996,-0.32511100000000004,-0.04295325000000001,0.0,0.34204329538205447,0.3365893925026214,0.34204329538205447,-0.005453902879433092,0.3365893925026214
jpeg_encoder,0.22592299999999998,-0.320279,-0.025986000000000002,0.8217228832596994,0.8217228832596994,0.8832576869468216,0.0,0.061534803687122164,0.061534803687122164
reed_solomon,0.22592299999999998,-0.320279,-0.025986000000000002,0.48633510950219405,0.48633510950219405,0.5094695993241104,0.0,0.02313448982191635,0.02313448982191635
sha512,0.22592299999999998,-0.320279,-0.018549000000000003,0.9753238604803697,0.9753238604803697,0.9757222960546488,0.0,0.00039843557427909904,0.00039843557427909904
systolic_tpu,0.22611649999999994,-0.32511100000000004,-0.025986000000000002,0.9101946472278073,0.9101946472278073,0.9145229978174684,0.0,0.0043283505896610786,0.0043283505896610786
uberddr3,0.22592299999999998,-0.32511100000000004,-0.025986000000000002,0.01992576508041522,0.01992576508041522,0.21416668651888804,0.0,0.19424092143847282,0.19424092143847282
verilog_axi,0.22592299999999998,-0.320279,-0.018549000000000003,0.00011776818576086357,0.00011776818576086357,0.019217393070519395,0.0,0.019099624884758533,0.019099624884758533
viterbi,0.22611649999999994,-0.32511100000000004,-0.025986000000000002,0.7883523685725131,0.7883523685725131,0.7903832084674147,0.0,0.0020308398949016038,0.0020308398949016038
wb_dma,0.22601974999999996,-0.32511100000000004,-0.04295325000000001,6.297969714734684e-05,0.9665753291105258,0.9973515031705779,0.9665123494133785,0.030776174060052064,0.9972885234734306
