design,port_class,n,median_delta_ns,ci_lo_ns,ci_hi_ns
aes,input_only,24,0.19090250000000003,0.174481,0.200507
aes,output_only,7,-0.295212,-0.327951,-0.24895
aes,both,3,-0.025986000000000002,-0.05065899999999998,-0.016978000000000007
aes,internal,75,-0.050427,-0.06517899999999999,-0.03767315000000069
bitonic_sorter,input_only,2,0.157318,0.157103,0.157533
bitonic_sorter,output_only,2,-0.3305135,-0.332263,-0.328764
bitonic_sorter,both,0,,,
bitonic_sorter,internal,4,-0.03329850000000001,-0.03771500000000001,-0.031094999999999998
double_fpu,input_only,49,0.21159099999999997,0.203727,0.21905700000000003
double_fpu,output_only,7,-0.331617,-0.340558,-0.32382
double_fpu,both,0,,,
double_fpu,internal,93,-0.04998,-0.065691,-0.034966
e203,input_only,0,,,
e203,output_only,83,-0.19903400000000004,-0.22616599999999998,-0.17566500000000007
e203,both,18,0.11346199999999995,-0.049938999999999956,0.29734799999999995
e203,internal,0,,,
jpeg_encoder,input_only,49,0.273167,0.26654900000000004,0.28640699999999997
jpeg_encoder,output_only,5,-0.328879,-0.332526,-0.32676
jpeg_encoder,both,0,,,
jpeg_encoder,internal,43,-0.02226699999999998,-0.029310000000000003,-0.015714000000000006
reed_solomon,input_only,63,0.288346,0.277894,0.29568900000000004
reed_solomon,output_only,8,-0.32511100000000004,-0.328224,-0.32195
reed_solomon,both,0,,,
reed_solomon,internal,92,-0.016721500000000014,-0.025315000000000004,-0.011536499999999998
sha512,input_only,24,0.22611649999999994,0.21744137499999996,0.23266650000000005
sha512,output_only,9,-0.397041,-0.40624800000000005,-0.37609099999999995
sha512,both,6,-0.08181700000000001,-0.13661250000000003,-0.0378625
sha512,internal,79,-0.26693,-0.304709,-0.24794099999999997
systolic_tpu,input_only,20,0.22592299999999998,0.2017245,0.24398999999999998
systolic_tpu,output_only,12,-0.311736,-0.32668050000000004,-0.30669749999999996
systolic_tpu,both,0,,,
systolic_tpu,internal,56,-0.05631650000000005,-0.090802,-0.021949400000000077
uberddr3,input_only,19,0.285016,0.264715,0.33320700000000003
uberddr3,output_only,25,-0.320279,-0.341614,-0.18098199999999998
uberddr3,both,0,,,
uberddr3,internal,103,-0.02804799999999999,-0.03980399999999999,0.006154999999999994
verilog_axi,input_only,69,0.28139800000000004,0.259039,0.30211699999999997
verilog_axi,output_only,10,-0.35947699999999994,-0.3688395,-0.301968
verilog_axi,both,2,-0.059920500000000015,-0.06887100000000002,-0.050970000000000015
verilog_axi,internal,70,-0.0023864999999999997,-0.08476300000000003,0.03002100000000002
viterbi,input_only,77,0.15350900000000012,0.11158800000000002,0.1766439999999999
viterbi,output_only,12,-0.30666550000000004,-0.315441,-0.29735550000000005
viterbi,both,0,,,
viterbi,internal,7,-0.10093299999999994,-0.12402599999999997,0.20842000000000005
wb_dma,input_only,0,,,
wb_dma,output_only,10,-0.31539300000000003,-0.380601,-0.21861699999999998
wb_dma,both,28,-0.011112000000000004,-0.0282035,0.016797000000000006
wb_dma,internal,76,-0.120501,-0.13528300000000001,-0.0931715
