design,port_class,n,median_delta_ns
aes,input_only,24,0.19092350000000002
aes,output_only,7,-0.295241
aes,both,3,-0.026002000000000004
aes,internal,123,-0.03276699999999999
bitonic_sorter,input_only,2,0.15735700000000002
bitonic_sorter,output_only,2,-0.3305015
bitonic_sorter,both,0,
bitonic_sorter,internal,4,-0.033267500000000005
double_fpu,input_only,176,0.2111435
double_fpu,output_only,1,-0.340546
double_fpu,both,0,
double_fpu,internal,712,-0.030511500000000025
e203,input_only,339,0.35201400000000005
e203,output_only,232,-0.26399150000000005
e203,both,29,0.04322599999999999
e203,internal,400,0.10300349999999997
jpeg_encoder,input_only,52,0.27209149999999993
jpeg_encoder,output_only,5,-0.32892099999999996
jpeg_encoder,both,0,
jpeg_encoder,internal,144,-0.007673999999999959
reed_solomon,input_only,75,0.28088399999999997
reed_solomon,output_only,8,-0.325148
reed_solomon,both,0,
reed_solomon,internal,229,-0.011114000000000013
sha512,input_only,24,0.2261575
sha512,output_only,9,-0.39700899999999995
sha512,both,6,-0.08177200000000001
sha512,internal,167,-0.17212000000000005
systolic_tpu,input_only,20,0.2259275
systolic_tpu,output_only,12,-0.311724
systolic_tpu,both,0,
systolic_tpu,internal,56,-0.05630250000000003
uberddr3,input_only,56,0.24578700000000003
uberddr3,output_only,45,-0.32576499999999997
uberddr3,both,0,
uberddr3,internal,899,-0.030723999999999974
verilog_axi,input_only,256,0.23883300000000002
verilog_axi,output_only,45,-0.35489699999999996
verilog_axi,both,2,-0.05994050000000001
verilog_axi,internal,675,-0.055903999999999995
viterbi,input_only,77,0.15350400000000008
viterbi,output_only,12,-0.30668999999999996
viterbi,both,0,
viterbi,internal,112,-0.01740649999999999
wb_dma,input_only,33,0.266969
wb_dma,output_only,18,-0.36097
wb_dma,both,28,-0.011157499999999999
wb_dma,internal,447,-0.10418100000000002
